Organization Name,Invested In,Api Url,Description,Rank
Pivot Investment Partners,openfin,https://api.crunchbase.com/v3.1/organizations/openfin,"",2209
Pivot Investment Partners,dv01,https://api.crunchbase.com/v3.1/organizations/dv01,"",7123
Pivot Investment Partners,icapital-network,https://api.crunchbase.com/v3.1/organizations/icapital-network,"",4714
Pivot Investment Partners,xor-data-exchange,https://api.crunchbase.com/v3.1/organizations/xor-data-exchange,"",26501
Pivot Investment Partners,market-realist,https://api.crunchbase.com/v3.1/organizations/market-realist,"",12381
Pivot Investment Partners,avidxchange,https://api.crunchbase.com/v3.1/organizations/avidxchange,"",1327
Pivot Investment Partners,droit-financial-technologies,https://api.crunchbase.com/v3.1/organizations/droit-financial-technologies,"",8184
Pivot Investment Partners,lendio,https://api.crunchbase.com/v3.1/organizations/lendio,"",24528
Pivot Investment Partners,trov,https://api.crunchbase.com/v3.1/organizations/trov,"",1771
Pivot Investment Partners,streetshares-inc,https://api.crunchbase.com/v3.1/organizations/streetshares-inc,"",5369
Pivot Investment Partners,fenway-summer-ventures,https://api.crunchbase.com/v3.1/organizations/fenway-summer-ventures,"",12313
Pivot Investment Partners,ethoca,https://api.crunchbase.com/v3.1/organizations/ethoca,"",5358
Pivot Investment Partners,breeze-4,https://api.crunchbase.com/v3.1/organizations/breeze-4,"",15645
Pivot Investment Partners,goveem,https://api.crunchbase.com/v3.1/organizations/goveem,"",2884
Pivot Investment Partners,college-ave-student-loans,https://api.crunchbase.com/v3.1/organizations/college-ave-student-loans,"",4741
Pivot Investment Partners,untapt,https://api.crunchbase.com/v3.1/organizations/untapt,"",17017
Pivot Investment Partners,gusto,https://api.crunchbase.com/v3.1/organizations/gusto,"",37
Pivot Investment Partners,anthemis-group,https://api.crunchbase.com/v3.1/organizations/anthemis-group,"",29175
Pivot Investment Partners,bento,https://api.crunchbase.com/v3.1/organizations/bento,"",3149
Pivot Investment Partners,card-com,https://api.crunchbase.com/v3.1/organizations/card-com,"",3876
