Organization Name,Invested In,Api Url,Description,Rank
Playground Global,strand-therapeutics,https://api.crunchbase.com/v3.1/organizations/strand-therapeutics,"",12997
Playground Global,owl-labs,https://api.crunchbase.com/v3.1/organizations/owl-labs,"",5202
Playground Global,righthand-robotics,https://api.crunchbase.com/v3.1/organizations/righthand-robotics,"",5047
Playground Global,ayar-labs,https://api.crunchbase.com/v3.1/organizations/ayar-labs,"",5806
Playground Global,rapidsos,https://api.crunchbase.com/v3.1/organizations/rapidsos,"",1570
Playground Global,virta,https://api.crunchbase.com/v3.1/organizations/virta,"",1758
Playground Global,relativity-space,https://api.crunchbase.com/v3.1/organizations/relativity-space,"",932
Playground Global,agility-robotics,https://api.crunchbase.com/v3.1/organizations/agility-robotics,"",15150
Playground Global,fathom-computing,https://api.crunchbase.com/v3.1/organizations/fathom-computing,"",87830
Playground Global,milezero,https://api.crunchbase.com/v3.1/organizations/milezero,"",102557
Playground Global,commonsense-robotics,https://api.crunchbase.com/v3.1/organizations/commonsense-robotics,"",1898
Playground Global,skydio,https://api.crunchbase.com/v3.1/organizations/skydio,"",1535
Playground Global,sparta-science,https://api.crunchbase.com/v3.1/organizations/sparta-science,"",7784
Playground Global,anjuna,https://api.crunchbase.com/v3.1/organizations/anjuna,"",14497
Playground Global,farmwise,https://api.crunchbase.com/v3.1/organizations/farmwise,"",44289
Playground Global,canvas-technology,https://api.crunchbase.com/v3.1/organizations/canvas-technology,"",5363
Playground Global,blockfolio,https://api.crunchbase.com/v3.1/organizations/blockfolio,"",6684
Playground Global,uavionix,https://api.crunchbase.com/v3.1/organizations/uavionix,"",18856
Playground Global,algolux,https://api.crunchbase.com/v3.1/organizations/algolux,"",7734
Playground Global,lighthouse-5,https://api.crunchbase.com/v3.1/organizations/lighthouse-5,"",9305
Playground Global,deepscale,https://api.crunchbase.com/v3.1/organizations/deepscale,"",34528
Playground Global,phin,https://api.crunchbase.com/v3.1/organizations/phin,"",16095
Playground Global,devialet,https://api.crunchbase.com/v3.1/organizations/devialet,"",3228
Playground Global,subpac,https://api.crunchbase.com/v3.1/organizations/subpac,"",19739
Playground Global,eero,https://api.crunchbase.com/v3.1/organizations/eero,"",1119
Playground Global,nauto-inc,https://api.crunchbase.com/v3.1/organizations/nauto-inc,"",1253
Playground Global,keyssa,https://api.crunchbase.com/v3.1/organizations/keyssa,"",12055
Playground Global,essential-2,https://api.crunchbase.com/v3.1/organizations/essential-2,"",30286
Playground Global,bodyport,https://api.crunchbase.com/v3.1/organizations/bodyport,"",28183
Playground Global,castar-by-technical-illusions,https://api.crunchbase.com/v3.1/organizations/castar-by-technical-illusions,"",35247
Playground Global,nixie,https://api.crunchbase.com/v3.1/organizations/nixie,"",22197
Playground Global,nervana-systems,https://api.crunchbase.com/v3.1/organizations/nervana-systems,"",6099
