Organization Name,Invested In,Api Url,Description,Rank
Plug and Play Insurtech,hepster-moinsure-gmbh,https://api.crunchbase.com/v3.1/organizations/hepster-moinsure-gmbh,"",106255
Plug and Play Insurtech,zensurance,https://api.crunchbase.com/v3.1/organizations/zensurance,"",16189
Plug and Play Insurtech,zeguro,https://api.crunchbase.com/v3.1/organizations/zeguro,"",7025
Plug and Play Insurtech,datarobot,https://api.crunchbase.com/v3.1/organizations/datarobot,"",1404
Plug and Play Insurtech,sure-inc,https://api.crunchbase.com/v3.1/organizations/sure-inc,"",26577
Plug and Play Insurtech,pypestream,https://api.crunchbase.com/v3.1/organizations/pypestream,"",4637
Plug and Play Insurtech,neosurance,https://api.crunchbase.com/v3.1/organizations/neosurance,"",27901
Plug and Play Insurtech,cyberwrite,https://api.crunchbase.com/v3.1/organizations/cyberwrite,"",14013
Plug and Play Insurtech,riskbazaar,https://api.crunchbase.com/v3.1/organizations/riskbazaar,"",192125
Plug and Play Insurtech,instanda,https://api.crunchbase.com/v3.1/organizations/instanda,"",12255
Plug and Play Insurtech,aureus-analytics,https://api.crunchbase.com/v3.1/organizations/aureus-analytics,"",10731
Plug and Play Insurtech,risc-ai,https://api.crunchbase.com/v3.1/organizations/risc-ai,"",224217
Plug and Play Insurtech,situative,https://api.crunchbase.com/v3.1/organizations/situative,"",201211
Plug and Play Insurtech,atidot,https://api.crunchbase.com/v3.1/organizations/atidot,"",52248
Plug and Play Insurtech,levelfunded-health,https://api.crunchbase.com/v3.1/organizations/levelfunded-health,"",159472
Plug and Play Insurtech,limelight-health,https://api.crunchbase.com/v3.1/organizations/limelight-health,"",3123
Plug and Play Insurtech,brokerlift-inc,https://api.crunchbase.com/v3.1/organizations/brokerlift-inc,"",146236
Plug and Play Insurtech,pointivo,https://api.crunchbase.com/v3.1/organizations/pointivo,"",15268
Plug and Play Insurtech,benrevo,https://api.crunchbase.com/v3.1/organizations/benrevo,"",22988
Plug and Play Insurtech,safesite,https://api.crunchbase.com/v3.1/organizations/safesite,"",28373
Plug and Play Insurtech,cape-analytics,https://api.crunchbase.com/v3.1/organizations/cape-analytics,"",2902
Plug and Play Insurtech,nauto-inc,https://api.crunchbase.com/v3.1/organizations/nauto-inc,"",1253
Plug and Play Insurtech,inbenta-semantic-search,https://api.crunchbase.com/v3.1/organizations/inbenta-semantic-search,"",5482
Plug and Play Insurtech,enigma-2,https://api.crunchbase.com/v3.1/organizations/enigma-2,"",6844
Plug and Play Insurtech,social-intelligence,https://api.crunchbase.com/v3.1/organizations/social-intelligence,"",116706
Plug and Play Insurtech,rainvow,https://api.crunchbase.com/v3.1/organizations/rainvow,"",195825
Plug and Play Insurtech,betterview,https://api.crunchbase.com/v3.1/organizations/betterview,"",3615
Plug and Play Insurtech,cytora,https://api.crunchbase.com/v3.1/organizations/cytora,"",2370
Plug and Play Insurtech,clientdesk,https://api.crunchbase.com/v3.1/organizations/clientdesk,"",147099
Plug and Play Insurtech,vivametrica,https://api.crunchbase.com/v3.1/organizations/vivametrica,"",96414
Plug and Play Insurtech,claimkit,https://api.crunchbase.com/v3.1/organizations/claimkit,"",24958
Plug and Play Insurtech,splitsecnd,https://api.crunchbase.com/v3.1/organizations/splitsecnd,"",30501
Plug and Play Insurtech,dropin-inc,https://api.crunchbase.com/v3.1/organizations/dropin-inc,"",86789
Plug and Play Insurtech,isaac-reinsurance-group,https://api.crunchbase.com/v3.1/organizations/isaac-reinsurance-group,"",76183
Plug and Play Insurtech,livegenic,https://api.crunchbase.com/v3.1/organizations/livegenic,"",31250
Plug and Play Insurtech,driveway-software,https://api.crunchbase.com/v3.1/organizations/driveway-software,"",11395
Plug and Play Insurtech,amodo,https://api.crunchbase.com/v3.1/organizations/amodo,"",15151
Plug and Play Insurtech,simple-disability-insurance,https://api.crunchbase.com/v3.1/organizations/simple-disability-insurance,"",45920
