Organization Name,Invested In,Api Url,Description,Rank
Point72 Ventures,credijusto,https://api.crunchbase.com/v3.1/organizations/credijusto,"",1311
Point72 Ventures,flybits,https://api.crunchbase.com/v3.1/organizations/flybits,"",237
Point72 Ventures,moneydesktop,https://api.crunchbase.com/v3.1/organizations/moneydesktop,"",463
Point72 Ventures,tempo-automation,https://api.crunchbase.com/v3.1/organizations/tempo-automation,"",1996
Point72 Ventures,unravel-data-systems,https://api.crunchbase.com/v3.1/organizations/unravel-data-systems,"",2357
Point72 Ventures,clickswitch,https://api.crunchbase.com/v3.1/organizations/clickswitch,"",6418
Point72 Ventures,extend-enterprises-inc,https://api.crunchbase.com/v3.1/organizations/extend-enterprises-inc,"",6138
Point72 Ventures,vestwell,https://api.crunchbase.com/v3.1/organizations/vestwell,"",4066
Point72 Ventures,poly-ai,https://api.crunchbase.com/v3.1/organizations/poly-ai,"",4971
Point72 Ventures,armorblox,https://api.crunchbase.com/v3.1/organizations/armorblox,"",4032
Point72 Ventures,hanetf,https://api.crunchbase.com/v3.1/organizations/hanetf,"",120780
Point72 Ventures,creditera,https://api.crunchbase.com/v3.1/organizations/creditera,"",2521
Point72 Ventures,contabilizei-contabilidade-online,https://api.crunchbase.com/v3.1/organizations/contabilizei-contabilidade-online,"",6600
Point72 Ventures,kindur,https://api.crunchbase.com/v3.1/organizations/kindur,"",3699
Point72 Ventures,uala,https://api.crunchbase.com/v3.1/organizations/uala,"",4451
Point72 Ventures,netradyne,https://api.crunchbase.com/v3.1/organizations/netradyne,"",3860
Point72 Ventures,flare-hr,https://api.crunchbase.com/v3.1/organizations/flare-hr,"",9480
Point72 Ventures,invia-robotics,https://api.crunchbase.com/v3.1/organizations/invia-robotics,"",7796
Point72 Ventures,imperative-execution,https://api.crunchbase.com/v3.1/organizations/imperative-execution,"",20335
Point72 Ventures,asayinc,https://api.crunchbase.com/v3.1/organizations/asayinc,"",6944
Point72 Ventures,deepscale,https://api.crunchbase.com/v3.1/organizations/deepscale,"",34528
Point72 Ventures,drivewealth,https://api.crunchbase.com/v3.1/organizations/drivewealth,"",2078
Point72 Ventures,spherical-defence-labs,https://api.crunchbase.com/v3.1/organizations/spherical-defence-labs,"",16872
Point72 Ventures,apprente,https://api.crunchbase.com/v3.1/organizations/apprente,"",12045
Point72 Ventures,roostify,https://api.crunchbase.com/v3.1/organizations/roostify,"",2192
Point72 Ventures,alphaflow,https://api.crunchbase.com/v3.1/organizations/alphaflow,"",6971
Point72 Ventures,agolo,https://api.crunchbase.com/v3.1/organizations/agolo,"",1330
Point72 Ventures,street-contxt,https://api.crunchbase.com/v3.1/organizations/street-contxt,"",12588
Point72 Ventures,pico-quantitative-trading,https://api.crunchbase.com/v3.1/organizations/pico-quantitative-trading,"",4769
Point72 Ventures,fauna,https://api.crunchbase.com/v3.1/organizations/fauna,"",7165
Point72 Ventures,dotalign,https://api.crunchbase.com/v3.1/organizations/dotalign,"",29884
Point72 Ventures,quantopian,https://api.crunchbase.com/v3.1/organizations/quantopian,"",5099
Point72 Ventures,cloud9-technologies,https://api.crunchbase.com/v3.1/organizations/cloud9-technologies,"",7481
Point72 Ventures,acorns-grow,https://api.crunchbase.com/v3.1/organizations/acorns-grow,"",219
