Organization Name,Invested In,Api Url,Description,Rank
Polychain,horizon-blockchain-games,https://api.crunchbase.com/v3.1/organizations/horizon-blockchain-games,"",3183
Polychain,altonomy,https://api.crunchbase.com/v3.1/organizations/altonomy,"",1318
Polychain,o-1-labs-2abc,https://api.crunchbase.com/v3.1/organizations/o-1-labs-2abc,"",13154
Polychain,celo-3846,https://api.crunchbase.com/v3.1/organizations/celo-3846,"",2928
Polychain,coinflex,https://api.crunchbase.com/v3.1/organizations/coinflex,"",76963
Polychain,dharma-labs,https://api.crunchbase.com/v3.1/organizations/dharma-labs,"",43702
Polychain,ava-labs,https://api.crunchbase.com/v3.1/organizations/ava-labs,"",10509
Polychain,anchorage,https://api.crunchbase.com/v3.1/organizations/anchorage,"",536
Polychain,coinbase,https://api.crunchbase.com/v3.1/organizations/coinbase,"",243
Polychain,dydx,https://api.crunchbase.com/v3.1/organizations/dydx,"",7306
Polychain,paradigm-144e,https://api.crunchbase.com/v3.1/organizations/paradigm-144e,"",102065
Polychain,loanscan,https://api.crunchbase.com/v3.1/organizations/loanscan,"",118838
Polychain,bloqboard,https://api.crunchbase.com/v3.1/organizations/bloqboard,"",90647
Polychain,mycrypto,https://api.crunchbase.com/v3.1/organizations/mycrypto,"",14211
Polychain,terra-d41a,https://api.crunchbase.com/v3.1/organizations/terra-d41a,"",4301
Polychain,dfinity-network,https://api.crunchbase.com/v3.1/organizations/dfinity-network,"",19708
Polychain,nervos,https://api.crunchbase.com/v3.1/organizations/nervos,"",8499
Polychain,oasis-labs,https://api.crunchbase.com/v3.1/organizations/oasis-labs,"",3409
Polychain,haja-networks,https://api.crunchbase.com/v3.1/organizations/haja-networks,"",123192
Polychain,compound-labs,https://api.crunchbase.com/v3.1/organizations/compound-labs,"",48399
Polychain,orchid-labs,https://api.crunchbase.com/v3.1/organizations/orchid-labs,"",42944
Polychain,basecoin,https://api.crunchbase.com/v3.1/organizations/basecoin,"",44118
Polychain,coinlist,https://api.crunchbase.com/v3.1/organizations/coinlist,"",7297
Polychain,keep,https://api.crunchbase.com/v3.1/organizations/keep,"",97885
Polychain,republic-protocol,https://api.crunchbase.com/v3.1/organizations/republic-protocol,"",54154
Polychain,o-1-labs,https://api.crunchbase.com/v3.1/organizations/o-1-labs,"",60315
Polychain,starkware-industries-ltd,https://api.crunchbase.com/v3.1/organizations/starkware-industries-ltd,"",5713
Polychain,makerdao,https://api.crunchbase.com/v3.1/organizations/makerdao,"",18521
Polychain,nucypher,https://api.crunchbase.com/v3.1/organizations/nucypher,"",10906
Polychain,raiden-network,https://api.crunchbase.com/v3.1/organizations/raiden-network,"",116122
Polychain,polkadot,https://api.crunchbase.com/v3.1/organizations/polkadot,"",1654
Polychain,kik-interactive,https://api.crunchbase.com/v3.1/organizations/kik-interactive,"",19126
