Organization Name,Invested In,Api Url,Description,Rank
Precursor Ventures,holloway,https://api.crunchbase.com/v3.1/organizations/holloway,"",2627
Precursor Ventures,bravado-network,https://api.crunchbase.com/v3.1/organizations/bravado-network,"",2125
Precursor Ventures,finix-payments,https://api.crunchbase.com/v3.1/organizations/finix-payments,"",655
Precursor Ventures,homeroom-1ee8,https://api.crunchbase.com/v3.1/organizations/homeroom-1ee8,"",4221
Precursor Ventures,anyroad,https://api.crunchbase.com/v3.1/organizations/anyroad,"",2968
Precursor Ventures,try-pico,https://api.crunchbase.com/v3.1/organizations/try-pico,"",6413
Precursor Ventures,hostfully-inc,https://api.crunchbase.com/v3.1/organizations/hostfully-inc,"",8402
Precursor Ventures,intellimize,https://api.crunchbase.com/v3.1/organizations/intellimize,"",7261
Precursor Ventures,co-star,https://api.crunchbase.com/v3.1/organizations/co-star,"",4114
Precursor Ventures,populus-4158,https://api.crunchbase.com/v3.1/organizations/populus-4158,"",8122
Precursor Ventures,truckmap,https://api.crunchbase.com/v3.1/organizations/truckmap,"",89717
Precursor Ventures,elroy-air,https://api.crunchbase.com/v3.1/organizations/elroy-air,"",8482
Precursor Ventures,caper,https://api.crunchbase.com/v3.1/organizations/caper,"",5663
Precursor Ventures,shipsi-inc,https://api.crunchbase.com/v3.1/organizations/shipsi-inc,"",8187
Precursor Ventures,drivetime-3f10,https://api.crunchbase.com/v3.1/organizations/drivetime-3f10,"",10546
Precursor Ventures,currant,https://api.crunchbase.com/v3.1/organizations/currant,"",17260
Precursor Ventures,knack-3,https://api.crunchbase.com/v3.1/organizations/knack-3,"",10622
Precursor Ventures,pair-eyewear,https://api.crunchbase.com/v3.1/organizations/pair-eyewear,"",19110
Precursor Ventures,medinas,https://api.crunchbase.com/v3.1/organizations/medinas,"",8170
Precursor Ventures,passport,https://api.crunchbase.com/v3.1/organizations/passport,"",11679
Precursor Ventures,peachme,https://api.crunchbase.com/v3.1/organizations/peachme,"",12726
Precursor Ventures,the-beans,https://api.crunchbase.com/v3.1/organizations/the-beans,"",35256
Precursor Ventures,tastemakers-africa-2,https://api.crunchbase.com/v3.1/organizations/tastemakers-africa-2,"",26688
Precursor Ventures,observr,https://api.crunchbase.com/v3.1/organizations/observr,"",134226
Precursor Ventures,envested,https://api.crunchbase.com/v3.1/organizations/envested,"",9594
Precursor Ventures,petalfox,https://api.crunchbase.com/v3.1/organizations/petalfox,"",93549
Precursor Ventures,trash,https://api.crunchbase.com/v3.1/organizations/trash,"",86159
Precursor Ventures,kinside,https://api.crunchbase.com/v3.1/organizations/kinside,"",15866
Precursor Ventures,goodr,https://api.crunchbase.com/v3.1/organizations/goodr,"",13081
Precursor Ventures,dor-technologies,https://api.crunchbase.com/v3.1/organizations/dor-technologies,"",4830
Precursor Ventures,edmit,https://api.crunchbase.com/v3.1/organizations/edmit,"",12820
Precursor Ventures,smithrx,https://api.crunchbase.com/v3.1/organizations/smithrx,"",8677
Precursor Ventures,aunt-flow,https://api.crunchbase.com/v3.1/organizations/aunt-flow,"",10857
Precursor Ventures,stronghold,https://api.crunchbase.com/v3.1/organizations/stronghold,"",16586
Precursor Ventures,cathy-labs,https://api.crunchbase.com/v3.1/organizations/cathy-labs,"",20818
Precursor Ventures,safechain-llc,https://api.crunchbase.com/v3.1/organizations/safechain-llc,"",11597
Precursor Ventures,modern-health,https://api.crunchbase.com/v3.1/organizations/modern-health,"",1610
Precursor Ventures,scout-fm,https://api.crunchbase.com/v3.1/organizations/scout-fm,"",36174
Precursor Ventures,owa-haircare-inc,https://api.crunchbase.com/v3.1/organizations/owa-haircare-inc,"",35155
Precursor Ventures,decent-59db,https://api.crunchbase.com/v3.1/organizations/decent-59db,"",8818
Precursor Ventures,sweet-a-little,https://api.crunchbase.com/v3.1/organizations/sweet-a-little,"",105559
Precursor Ventures,chefhero,https://api.crunchbase.com/v3.1/organizations/chefhero,"",10162
Precursor Ventures,shearshare,https://api.crunchbase.com/v3.1/organizations/shearshare,"",8609
Precursor Ventures,agvend,https://api.crunchbase.com/v3.1/organizations/agvend,"",17075
Precursor Ventures,newcraft,https://api.crunchbase.com/v3.1/organizations/newcraft,"",33958
Precursor Ventures,hall-2,https://api.crunchbase.com/v3.1/organizations/hall-2,"",118974
Precursor Ventures,team-labs,https://api.crunchbase.com/v3.1/organizations/team-labs,"",6280
Precursor Ventures,dripkit-coffee,https://api.crunchbase.com/v3.1/organizations/dripkit-coffee,"",34433
Precursor Ventures,loris-ai,https://api.crunchbase.com/v3.1/organizations/loris-ai,"",24469
Precursor Ventures,meterfeeder,https://api.crunchbase.com/v3.1/organizations/meterfeeder,"",23585
Precursor Ventures,fuzzy,https://api.crunchbase.com/v3.1/organizations/fuzzy,"",13632
Precursor Ventures,evabot-inc,https://api.crunchbase.com/v3.1/organizations/evabot-inc,"",18965
Precursor Ventures,butterfly-2,https://api.crunchbase.com/v3.1/organizations/butterfly-2,"",14056
Precursor Ventures,carrot-fertility,https://api.crunchbase.com/v3.1/organizations/carrot-fertility,"",2414
Precursor Ventures,svacademy,https://api.crunchbase.com/v3.1/organizations/svacademy,"",2424
Precursor Ventures,werk,https://api.crunchbase.com/v3.1/organizations/werk,"",14922
Precursor Ventures,jetpack-2,https://api.crunchbase.com/v3.1/organizations/jetpack-2,"",31671
Precursor Ventures,impact-health,https://api.crunchbase.com/v3.1/organizations/impact-health,"",7425
Precursor Ventures,incredible-health,https://api.crunchbase.com/v3.1/organizations/incredible-health,"",68534
Precursor Ventures,therelishmediagroup,https://api.crunchbase.com/v3.1/organizations/therelishmediagroup,"",126954
Precursor Ventures,approved,https://api.crunchbase.com/v3.1/organizations/approved,"",20003
Precursor Ventures,zenrez,https://api.crunchbase.com/v3.1/organizations/zenrez,"",14876
Precursor Ventures,pared,https://api.crunchbase.com/v3.1/organizations/pared,"",36794
Precursor Ventures,kit-3,https://api.crunchbase.com/v3.1/organizations/kit-3,"",67300
Precursor Ventures,gethuman,https://api.crunchbase.com/v3.1/organizations/gethuman,"",21245
Precursor Ventures,atipica,https://api.crunchbase.com/v3.1/organizations/atipica,"",15899
Precursor Ventures,remedy-labs-inc,https://api.crunchbase.com/v3.1/organizations/remedy-labs-inc,"",23593
Precursor Ventures,heymarket,https://api.crunchbase.com/v3.1/organizations/heymarket,"",18496
Precursor Ventures,stackshare,https://api.crunchbase.com/v3.1/organizations/stackshare,"",6167
Precursor Ventures,omni,https://api.crunchbase.com/v3.1/organizations/omni,"",21859
Precursor Ventures,dispatch-4,https://api.crunchbase.com/v3.1/organizations/dispatch-4,"",5687
Precursor Ventures,sudo,https://api.crunchbase.com/v3.1/organizations/sudo,"",105396
Precursor Ventures,juniper-square,https://api.crunchbase.com/v3.1/organizations/juniper-square,"",24807
