Organization Name,Invested In,Api Url,Description,Rank
Presence Capital,proprio-vision,https://api.crunchbase.com/v3.1/organizations/proprio-vision,"",20700
Presence Capital,diveplane,https://api.crunchbase.com/v3.1/organizations/diveplane,"",22435
Presence Capital,camera-iq,https://api.crunchbase.com/v3.1/organizations/camera-iq,"",14616
Presence Capital,fyusion,https://api.crunchbase.com/v3.1/organizations/fyusion,"",2656
Presence Capital,sandbox-vr,https://api.crunchbase.com/v3.1/organizations/sandbox-vr,"",1636
Presence Capital,lightform,https://api.crunchbase.com/v3.1/organizations/lightform,"",9478
Presence Capital,floreo,https://api.crunchbase.com/v3.1/organizations/floreo,"",25349
Presence Capital,varjo,https://api.crunchbase.com/v3.1/organizations/varjo,"",3440
Presence Capital,escher-reality,https://api.crunchbase.com/v3.1/organizations/escher-reality,"",31478
Presence Capital,torch-3d-inc,https://api.crunchbase.com/v3.1/organizations/torch-3d-inc,"",15104
Presence Capital,nomadic-vr,https://api.crunchbase.com/v3.1/organizations/nomadic-vr,"",17819
Presence Capital,augmented-pixels-co,https://api.crunchbase.com/v3.1/organizations/augmented-pixels-co,"",18227
Presence Capital,viro-media,https://api.crunchbase.com/v3.1/organizations/viro-media,"",22350
Presence Capital,bigscreen,https://api.crunchbase.com/v3.1/organizations/bigscreen,"",8448
Presence Capital,skylights,https://api.crunchbase.com/v3.1/organizations/skylights,"",21222
Presence Capital,uru,https://api.crunchbase.com/v3.1/organizations/uru,"",24519
Presence Capital,strivr-labs-inc,https://api.crunchbase.com/v3.1/organizations/strivr-labs-inc,"",2118
Presence Capital,drifter-entertainment,https://api.crunchbase.com/v3.1/organizations/drifter-entertainment,"",33443
Presence Capital,visbit-inc,https://api.crunchbase.com/v3.1/organizations/visbit-inc,"",19022
Presence Capital,north-8daa,https://api.crunchbase.com/v3.1/organizations/north-8daa,"",2111
Presence Capital,osso-vr,https://api.crunchbase.com/v3.1/organizations/osso-vr,"",11826
Presence Capital,thewave,https://api.crunchbase.com/v3.1/organizations/thewave,"",12309
Presence Capital,superstar-games,https://api.crunchbase.com/v3.1/organizations/superstar-games,"",36401
Presence Capital,scopear,https://api.crunchbase.com/v3.1/organizations/scopear,"",5109
Presence Capital,radd3-inc,https://api.crunchbase.com/v3.1/organizations/radd3-inc,"",47450
Presence Capital,vicarious-inc,https://api.crunchbase.com/v3.1/organizations/vicarious-inc,"",234202
Presence Capital,meta-view,https://api.crunchbase.com/v3.1/organizations/meta-view,"",4133
Presence Capital,loomai,https://api.crunchbase.com/v3.1/organizations/loomai,"",8759
Presence Capital,eonite-perception-inc,https://api.crunchbase.com/v3.1/organizations/eonite-perception-inc,"",14207
Presence Capital,simbe-robotics,https://api.crunchbase.com/v3.1/organizations/simbe-robotics,"",68240
Presence Capital,immersal,https://api.crunchbase.com/v3.1/organizations/immersal,"",20551
Presence Capital,experiment-7,https://api.crunchbase.com/v3.1/organizations/experiment-7,"",243228
Presence Capital,the-rogue-initiative,https://api.crunchbase.com/v3.1/organizations/the-rogue-initiative,"",148462
Presence Capital,upload-vr,https://api.crunchbase.com/v3.1/organizations/upload-vr,"",24398
Presence Capital,baobab-studios,https://api.crunchbase.com/v3.1/organizations/baobab-studios,"",7797
Presence Capital,uncorporeal-systems-inc,https://api.crunchbase.com/v3.1/organizations/uncorporeal-systems-inc,"",143930
Presence Capital,vreal,https://api.crunchbase.com/v3.1/organizations/vreal,"",13200
Presence Capital,waygo-visual-translator,https://api.crunchbase.com/v3.1/organizations/waygo-visual-translator,"",100689
Presence Capital,resolution-games,https://api.crunchbase.com/v3.1/organizations/resolution-games,"",14053
Presence Capital,harmonix-music-systems,https://api.crunchbase.com/v3.1/organizations/harmonix-music-systems,"",20241
Presence Capital,fringefy,https://api.crunchbase.com/v3.1/organizations/fringefy,"",88170
