Organization Name,Invested In,Api Url,Description,Rank
Primary Venture Partners,cozykin,https://api.crunchbase.com/v3.1/organizations/cozykin,"",7269
Primary Venture Partners,team-mobot,https://api.crunchbase.com/v3.1/organizations/team-mobot,"",12900
Primary Venture Partners,flume-health,https://api.crunchbase.com/v3.1/organizations/flume-health,"",7562
Primary Venture Partners,small-door-veterinary,https://api.crunchbase.com/v3.1/organizations/small-door-veterinary,"",8928
Primary Venture Partners,vestwell,https://api.crunchbase.com/v3.1/organizations/vestwell,"",4066
Primary Venture Partners,hammerhead-navigation,https://api.crunchbase.com/v3.1/organizations/hammerhead-navigation,"",5659
Primary Venture Partners,kindred-817a,https://api.crunchbase.com/v3.1/organizations/kindred-817a,"",22801
Primary Venture Partners,selfmade,https://api.crunchbase.com/v3.1/organizations/selfmade,"",5805
Primary Venture Partners,kinetic-2,https://api.crunchbase.com/v3.1/organizations/kinetic-2,"",8063
Primary Venture Partners,alma-health,https://api.crunchbase.com/v3.1/organizations/alma-health,"",1687
Primary Venture Partners,chief-6603,https://api.crunchbase.com/v3.1/organizations/chief-6603,"",1513
Primary Venture Partners,latch,https://api.crunchbase.com/v3.1/organizations/latch,"",369
Primary Venture Partners,kang-health,https://api.crunchbase.com/v3.1/organizations/kang-health,"",788
Primary Venture Partners,bounce-exchange,https://api.crunchbase.com/v3.1/organizations/bounce-exchange,"",1974
Primary Venture Partners,squarefoot,https://api.crunchbase.com/v3.1/organizations/squarefoot,"",6207
Primary Venture Partners,guestfriend,https://api.crunchbase.com/v3.1/organizations/guestfriend,"",68100
Primary Venture Partners,electric,https://api.crunchbase.com/v3.1/organizations/electric,"",28895
Primary Venture Partners,coedition,https://api.crunchbase.com/v3.1/organizations/coedition,"",12542
Primary Venture Partners,mirror-439a,https://api.crunchbase.com/v3.1/organizations/mirror-439a,"",20390
Primary Venture Partners,ephemeral-solutions,https://api.crunchbase.com/v3.1/organizations/ephemeral-solutions,"",13698
Primary Venture Partners,alloy-2,https://api.crunchbase.com/v3.1/organizations/alloy-2,"",4312
Primary Venture Partners,bravely,https://api.crunchbase.com/v3.1/organizations/bravely,"",7913
Primary Venture Partners,ollie,https://api.crunchbase.com/v3.1/organizations/ollie,"",1017
Primary Venture Partners,healthify,https://api.crunchbase.com/v3.1/organizations/healthify,"",6272
Primary Venture Partners,hlth,https://api.crunchbase.com/v3.1/organizations/hlth,"",27102
Primary Venture Partners,slice,https://api.crunchbase.com/v3.1/organizations/slice,"",2486
Primary Venture Partners,simplereach,https://api.crunchbase.com/v3.1/organizations/simplereach,"",9287
Primary Venture Partners,shoptalk-2,https://api.crunchbase.com/v3.1/organizations/shoptalk-2,"",17947
Primary Venture Partners,handshake-5,https://api.crunchbase.com/v3.1/organizations/handshake-5,"",4521
Primary Venture Partners,credsimple,https://api.crunchbase.com/v3.1/organizations/credsimple,"",3755
Primary Venture Partners,reonomy,https://api.crunchbase.com/v3.1/organizations/reonomy,"",818
Primary Venture Partners,drawbridge-networks,https://api.crunchbase.com/v3.1/organizations/drawbridge-networks,"",40399
Primary Venture Partners,routehappy,https://api.crunchbase.com/v3.1/organizations/routehappy,"",18210
Primary Venture Partners,trymaple,https://api.crunchbase.com/v3.1/organizations/trymaple,"",6685
Primary Venture Partners,ps-dept,https://api.crunchbase.com/v3.1/organizations/ps-dept,"",30394
Primary Venture Partners,jet,https://api.crunchbase.com/v3.1/organizations/jet,"",507
Primary Venture Partners,fieldlens,https://api.crunchbase.com/v3.1/organizations/fieldlens,"",10549
Primary Venture Partners,makespace,https://api.crunchbase.com/v3.1/organizations/makespace,"",2315
Primary Venture Partners,greats-brand,https://api.crunchbase.com/v3.1/organizations/greats-brand,"",3844
Primary Venture Partners,iq-license,https://api.crunchbase.com/v3.1/organizations/iq-license,"",141205
Primary Venture Partners,zipmark,https://api.crunchbase.com/v3.1/organizations/zipmark,"",24764
Primary Venture Partners,bench,https://api.crunchbase.com/v3.1/organizations/bench,"",2668
Primary Venture Partners,fashion-project,https://api.crunchbase.com/v3.1/organizations/fashion-project,"",30886
Primary Venture Partners,clothes-horse,https://api.crunchbase.com/v3.1/organizations/clothes-horse,"",113343
Primary Venture Partners,keychain-logistics,https://api.crunchbase.com/v3.1/organizations/keychain-logistics,"",25010
Primary Venture Partners,amicus,https://api.crunchbase.com/v3.1/organizations/amicus,"",20179
Primary Venture Partners,tripl,https://api.crunchbase.com/v3.1/organizations/tripl,"",53391
Primary Venture Partners,accela,https://api.crunchbase.com/v3.1/organizations/accela,"",1561
Primary Venture Partners,vnomics,https://api.crunchbase.com/v3.1/organizations/vnomics,"",22284
Primary Venture Partners,apprenda,https://api.crunchbase.com/v3.1/organizations/apprenda,"",9727
Primary Venture Partners,realdirect,https://api.crunchbase.com/v3.1/organizations/realdirect,"",49093
Primary Venture Partners,widetronix,https://api.crunchbase.com/v3.1/organizations/widetronix,"",47470
Primary Venture Partners,vyou,https://api.crunchbase.com/v3.1/organizations/vyou,"",39629
Primary Venture Partners,ticketfly,https://api.crunchbase.com/v3.1/organizations/ticketfly,"",5758
Primary Venture Partners,kohort,https://api.crunchbase.com/v3.1/organizations/kohort,"",28103
Primary Venture Partners,strut-learning,https://api.crunchbase.com/v3.1/organizations/strut-learning,"",21887
Primary Venture Partners,savored,https://api.crunchbase.com/v3.1/organizations/savored,"",53305
Primary Venture Partners,divide,https://api.crunchbase.com/v3.1/organizations/divide,"",28081
Primary Venture Partners,whosay,https://api.crunchbase.com/v3.1/organizations/whosay,"",24143
Primary Venture Partners,the-newsmarket,https://api.crunchbase.com/v3.1/organizations/the-newsmarket,"",53718
Primary Venture Partners,txvia,https://api.crunchbase.com/v3.1/organizations/txvia,"",24066
Primary Venture Partners,worktopia,https://api.crunchbase.com/v3.1/organizations/worktopia,"",89155
Primary Venture Partners,pumpaudio,https://api.crunchbase.com/v3.1/organizations/pumpaudio,"",151414
Primary Venture Partners,auterra,https://api.crunchbase.com/v3.1/organizations/auterra,"",61267
Primary Venture Partners,synaptic-digital,https://api.crunchbase.com/v3.1/organizations/synaptic-digital,"",150705
Primary Venture Partners,allworx,https://api.crunchbase.com/v3.1/organizations/allworx,"",148935
