Organization Name,Invested In,Api Url,Description,Rank
Queen City Fintech,kwelia,https://api.crunchbase.com/v3.1/organizations/kwelia,"",44957
Queen City Fintech,pass-the-plate,https://api.crunchbase.com/v3.1/organizations/pass-the-plate,"",150296
Queen City Fintech,wunderfund,https://api.crunchbase.com/v3.1/organizations/wunderfund,"",45455
Queen City Fintech,divdot,https://api.crunchbase.com/v3.1/organizations/divdot,"",123157
Queen City Fintech,mimble,https://api.crunchbase.com/v3.1/organizations/mimble,"",138535
Queen City Fintech,wealthtab,https://api.crunchbase.com/v3.1/organizations/wealthtab,"",119357
Queen City Fintech,newbanking,https://api.crunchbase.com/v3.1/organizations/newbanking,"",22800
Queen City Fintech,credpal,https://api.crunchbase.com/v3.1/organizations/credpal,"",22621
Queen City Fintech,optimis,https://api.crunchbase.com/v3.1/organizations/optimis,"",68740
Queen City Fintech,invoira-inc,https://api.crunchbase.com/v3.1/organizations/invoira-inc,"",68253
Queen City Fintech,quarule,https://api.crunchbase.com/v3.1/organizations/quarule,"",61952
Queen City Fintech,capway,https://api.crunchbase.com/v3.1/organizations/capway,"",34571
Queen City Fintech,qoins,https://api.crunchbase.com/v3.1/organizations/qoins,"",29943
Queen City Fintech,hardbacon,https://api.crunchbase.com/v3.1/organizations/hardbacon,"",27815
Queen City Fintech,qbrics,https://api.crunchbase.com/v3.1/organizations/qbrics,"",50022
Queen City Fintech,spendpal,https://api.crunchbase.com/v3.1/organizations/spendpal,"",54163
Queen City Fintech,saffe,https://api.crunchbase.com/v3.1/organizations/saffe,"",48773
Queen City Fintech,regsmart,https://api.crunchbase.com/v3.1/organizations/regsmart,"",79914
Queen City Fintech,edquity,https://api.crunchbase.com/v3.1/organizations/edquity,"",13458
Queen City Fintech,curu,https://api.crunchbase.com/v3.1/organizations/curu,"",31121
Queen City Fintech,catapult-0cc6,https://api.crunchbase.com/v3.1/organizations/catapult-0cc6,"",70988
Queen City Fintech,zikher-inc-,https://api.crunchbase.com/v3.1/organizations/zikher-inc-,"",98533
Queen City Fintech,commandiv,https://api.crunchbase.com/v3.1/organizations/commandiv,"",49214
Queen City Fintech,trust-stamp,https://api.crunchbase.com/v3.1/organizations/trust-stamp,"",11743
Queen City Fintech,interloop,https://api.crunchbase.com/v3.1/organizations/interloop,"",200366
Queen City Fintech,thrive-gpo,https://api.crunchbase.com/v3.1/organizations/thrive-gpo,"",323541
Queen City Fintech,pluto-money,https://api.crunchbase.com/v3.1/organizations/pluto-money,"",18111
Queen City Fintech,carpay,https://api.crunchbase.com/v3.1/organizations/carpay,"",109076
Queen City Fintech,moulah-inc,https://api.crunchbase.com/v3.1/organizations/moulah-inc,"",209029
Queen City Fintech,brandcrowder,https://api.crunchbase.com/v3.1/organizations/brandcrowder,"",91794
Queen City Fintech,speakalytics,https://api.crunchbase.com/v3.1/organizations/speakalytics,"",262098
Queen City Fintech,dyme-co,https://api.crunchbase.com/v3.1/organizations/dyme-co,"",65087
Queen City Fintech,collegester,https://api.crunchbase.com/v3.1/organizations/collegester,"",508258
Queen City Fintech,traderion,https://api.crunchbase.com/v3.1/organizations/traderion,"",159685
Queen City Fintech,cathedral-leasing,https://api.crunchbase.com/v3.1/organizations/cathedral-leasing,"",231982
Queen City Fintech,flyinstyle,https://api.crunchbase.com/v3.1/organizations/flyinstyle,"",263843
