Organization Name,Invested In,Api Url,Description,Rank
Quake Capital Partners,trainersvault,https://api.crunchbase.com/v3.1/organizations/trainersvault,"",11662
Quake Capital Partners,left-95f9,https://api.crunchbase.com/v3.1/organizations/left-95f9,"",6802
Quake Capital Partners,ledgersync,https://api.crunchbase.com/v3.1/organizations/ledgersync,"",5413
Quake Capital Partners,mrktstar,https://api.crunchbase.com/v3.1/organizations/mrktstar,"",12596
Quake Capital Partners,nok,https://api.crunchbase.com/v3.1/organizations/nok,"",83341
Quake Capital Partners,nedl,https://api.crunchbase.com/v3.1/organizations/nedl,"",96699
Quake Capital Partners,angel-shave-club,https://api.crunchbase.com/v3.1/organizations/angel-shave-club,"",88221
Quake Capital Partners,ampathy,https://api.crunchbase.com/v3.1/organizations/ampathy,"",41309
Quake Capital Partners,70-million-jobs,https://api.crunchbase.com/v3.1/organizations/70-million-jobs,"",18050
Quake Capital Partners,hava,https://api.crunchbase.com/v3.1/organizations/hava,"",40837
Quake Capital Partners,my-lil-healthbot,https://api.crunchbase.com/v3.1/organizations/my-lil-healthbot,"",24889
Quake Capital Partners,citygrows,https://api.crunchbase.com/v3.1/organizations/citygrows,"",25609
Quake Capital Partners,kitterly,https://api.crunchbase.com/v3.1/organizations/kitterly,"",23403
Quake Capital Partners,the-labz,https://api.crunchbase.com/v3.1/organizations/the-labz,"",95086
Quake Capital Partners,alteria-automation,https://api.crunchbase.com/v3.1/organizations/alteria-automation,"",54734
Quake Capital Partners,surefyre,https://api.crunchbase.com/v3.1/organizations/surefyre,"",97149
Quake Capital Partners,chatquery,https://api.crunchbase.com/v3.1/organizations/chatquery,"",112756
Quake Capital Partners,flatlay-inc,https://api.crunchbase.com/v3.1/organizations/flatlay-inc,"",94183
Quake Capital Partners,gluetech,https://api.crunchbase.com/v3.1/organizations/gluetech,"",149584
Quake Capital Partners,drofika-labs,https://api.crunchbase.com/v3.1/organizations/drofika-labs,"",38520
Quake Capital Partners,seastraws,https://api.crunchbase.com/v3.1/organizations/seastraws,"",51750
Quake Capital Partners,upsidehealth,https://api.crunchbase.com/v3.1/organizations/upsidehealth,"",55278
Quake Capital Partners,axle-video,https://api.crunchbase.com/v3.1/organizations/axle-video,"",31542
Quake Capital Partners,kericure,https://api.crunchbase.com/v3.1/organizations/kericure,"",41353
Quake Capital Partners,aquasprouts,https://api.crunchbase.com/v3.1/organizations/aquasprouts,"",138946
Quake Capital Partners,partify,https://api.crunchbase.com/v3.1/organizations/partify,"",112666
Quake Capital Partners,carserv,https://api.crunchbase.com/v3.1/organizations/carserv,"",19207
Quake Capital Partners,marqii,https://api.crunchbase.com/v3.1/organizations/marqii,"",41194
Quake Capital Partners,ranked,https://api.crunchbase.com/v3.1/organizations/ranked,"",36398
Quake Capital Partners,open-health-network,https://api.crunchbase.com/v3.1/organizations/open-health-network,"",34106
Quake Capital Partners,trend,https://api.crunchbase.com/v3.1/organizations/trend,"",36735
Quake Capital Partners,solepower,https://api.crunchbase.com/v3.1/organizations/solepower,"",43980
Quake Capital Partners,good-boy-studios,https://api.crunchbase.com/v3.1/organizations/good-boy-studios,"",48095
Quake Capital Partners,five-to-nine,https://api.crunchbase.com/v3.1/organizations/five-to-nine,"",30203
Quake Capital Partners,bluewavetech,https://api.crunchbase.com/v3.1/organizations/bluewavetech,"",26307
Quake Capital Partners,brobe,https://api.crunchbase.com/v3.1/organizations/brobe,"",130726
Quake Capital Partners,ouchie,https://api.crunchbase.com/v3.1/organizations/ouchie,"",44266
Quake Capital Partners,adway-1814,https://api.crunchbase.com/v3.1/organizations/adway-1814,"",6616
Quake Capital Partners,oval-digital-inc,https://api.crunchbase.com/v3.1/organizations/oval-digital-inc,"",34325
Quake Capital Partners,swivl-af27,https://api.crunchbase.com/v3.1/organizations/swivl-af27,"",35882
Quake Capital Partners,duro-uas,https://api.crunchbase.com/v3.1/organizations/duro-uas,"",47233
Quake Capital Partners,aimsteady,https://api.crunchbase.com/v3.1/organizations/aimsteady,"",55995
Quake Capital Partners,fohlio,https://api.crunchbase.com/v3.1/organizations/fohlio,"",26209
Quake Capital Partners,good-company-2bbd,https://api.crunchbase.com/v3.1/organizations/good-company-2bbd,"",47565
Quake Capital Partners,baarb-inc,https://api.crunchbase.com/v3.1/organizations/baarb-inc,"",31010
Quake Capital Partners,whose-your-landlord,https://api.crunchbase.com/v3.1/organizations/whose-your-landlord,"",23369
Quake Capital Partners,hurree,https://api.crunchbase.com/v3.1/organizations/hurree,"",29389
Quake Capital Partners,pathway-ai-d8e3,https://api.crunchbase.com/v3.1/organizations/pathway-ai-d8e3,"",67629
Quake Capital Partners,man-outfitters-inc,https://api.crunchbase.com/v3.1/organizations/man-outfitters-inc,"",132487
Quake Capital Partners,gotribe,https://api.crunchbase.com/v3.1/organizations/gotribe,"",46730
Quake Capital Partners,love-goodly,https://api.crunchbase.com/v3.1/organizations/love-goodly,"",33662
Quake Capital Partners,randian-llc,https://api.crunchbase.com/v3.1/organizations/randian-llc,"",57546
Quake Capital Partners,rose-gold,https://api.crunchbase.com/v3.1/organizations/rose-gold,"",58288
Quake Capital Partners,endorsify-2,https://api.crunchbase.com/v3.1/organizations/endorsify-2,"",100740
Quake Capital Partners,locus-insights,https://api.crunchbase.com/v3.1/organizations/locus-insights,"",41009
Quake Capital Partners,radial3d,https://api.crunchbase.com/v3.1/organizations/radial3d,"",57361
Quake Capital Partners,alacarte-delivery,https://api.crunchbase.com/v3.1/organizations/alacarte-delivery,"",39176
Quake Capital Partners,dcm-digital-claim-management-gmbh,https://api.crunchbase.com/v3.1/organizations/dcm-digital-claim-management-gmbh,"",29601
Quake Capital Partners,steereo,https://api.crunchbase.com/v3.1/organizations/steereo,"",27065
Quake Capital Partners,rain-systems,https://api.crunchbase.com/v3.1/organizations/rain-systems,"",52349
Quake Capital Partners,socionado,https://api.crunchbase.com/v3.1/organizations/socionado,"",45291
Quake Capital Partners,pebby-corporation,https://api.crunchbase.com/v3.1/organizations/pebby-corporation,"",48733
Quake Capital Partners,quick-rcare,https://api.crunchbase.com/v3.1/organizations/quick-rcare,"",25348
Quake Capital Partners,recess,https://api.crunchbase.com/v3.1/organizations/recess,"",14088
Quake Capital Partners,ormigga,https://api.crunchbase.com/v3.1/organizations/ormigga,"",68290
Quake Capital Partners,elliegrid,https://api.crunchbase.com/v3.1/organizations/elliegrid,"",37951
Quake Capital Partners,blastpoint,https://api.crunchbase.com/v3.1/organizations/blastpoint,"",31473
Quake Capital Partners,babyquip,https://api.crunchbase.com/v3.1/organizations/babyquip,"",22175
Quake Capital Partners,citysmart,https://api.crunchbase.com/v3.1/organizations/citysmart,"",57784
Quake Capital Partners,frenzy-3,https://api.crunchbase.com/v3.1/organizations/frenzy-3,"",94106
Quake Capital Partners,node-capital-a4d2,https://api.crunchbase.com/v3.1/organizations/node-capital-a4d2,"",62494
Quake Capital Partners,junkless,https://api.crunchbase.com/v3.1/organizations/junkless,"",62325
Quake Capital Partners,informu,https://api.crunchbase.com/v3.1/organizations/informu,"",38183
Quake Capital Partners,bc3-technologies,https://api.crunchbase.com/v3.1/organizations/bc3-technologies,"",76913
Quake Capital Partners,mirow,https://api.crunchbase.com/v3.1/organizations/mirow,"",36296
Quake Capital Partners,morbax-hr,https://api.crunchbase.com/v3.1/organizations/morbax-hr,"",49413
