Organization Name,Invested In,Api Url,Description,Rank
Quona Capital,lulalend,https://api.crunchbase.com/v3.1/organizations/lulalend,"",4438
Quona Capital,koinworks,https://api.crunchbase.com/v3.1/organizations/koinworks,"",1481
Quona Capital,zestmoney,https://api.crunchbase.com/v3.1/organizations/zestmoney,"",870
Quona Capital,smecorner-com,https://api.crunchbase.com/v3.1/organizations/smecorner-com,"",6735
Quona Capital,contabilizei-contabilidade-online,https://api.crunchbase.com/v3.1/organizations/contabilizei-contabilidade-online,"",6600
Quona Capital,bizcapital-2,https://api.crunchbase.com/v3.1/organizations/bizcapital-2,"",8142
Quona Capital,yoco,https://api.crunchbase.com/v3.1/organizations/yoco,"",5787
Quona Capital,konfio,https://api.crunchbase.com/v3.1/organizations/konfio,"",2185
Quona Capital,azimo,https://api.crunchbase.com/v3.1/organizations/azimo,"",2695
Quona Capital,banco-neon,https://api.crunchbase.com/v3.1/organizations/banco-neon,"",3979
Quona Capital,neogrowth,https://api.crunchbase.com/v3.1/organizations/neogrowth,"",4420
Quona Capital,creditas,https://api.crunchbase.com/v3.1/organizations/creditas,"",118
Quona Capital,fisdom,https://api.crunchbase.com/v3.1/organizations/fisdom,"",36040
Quona Capital,alllife,https://api.crunchbase.com/v3.1/organizations/alllife,"",43471
Quona Capital,creditmantri,https://api.crunchbase.com/v3.1/organizations/creditmantri,"",6884
Quona Capital,dunasplus,https://api.crunchbase.com/v3.1/organizations/dunasplus,"",23839
Quona Capital,coins-ph,https://api.crunchbase.com/v3.1/organizations/coins-ph,"",6284
Quona Capital,zoona,https://api.crunchbase.com/v3.1/organizations/zoona,"",12859
Quona Capital,invoinet,https://api.crunchbase.com/v3.1/organizations/invoinet,"",35793
Quona Capital,indiamart,https://api.crunchbase.com/v3.1/organizations/indiamart,"",155
Quona Capital,eseye,https://api.crunchbase.com/v3.1/organizations/eseye,"",18779
Quona Capital,shubham-housing-development-finance-company,https://api.crunchbase.com/v3.1/organizations/shubham-housing-development-finance-company,"",15300
Quona Capital,tiaxa,https://api.crunchbase.com/v3.1/organizations/tiaxa,"",28226
Quona Capital,gkn-globokasnet,https://api.crunchbase.com/v3.1/organizations/gkn-globokasnet,"",50892
