Organization Name,Invested In,Api Url,Description,Rank
R/GA Ventures,sceenic,https://api.crunchbase.com/v3.1/organizations/sceenic,"",31623
R/GA Ventures,zero-mass-water,https://api.crunchbase.com/v3.1/organizations/zero-mass-water,"",7105
R/GA Ventures,mission-secure,https://api.crunchbase.com/v3.1/organizations/mission-secure,"",11325
R/GA Ventures,petplate,https://api.crunchbase.com/v3.1/organizations/petplate,"",9488
R/GA Ventures,lacuna-diagnostics-inc,https://api.crunchbase.com/v3.1/organizations/lacuna-diagnostics-inc,"",42609
R/GA Ventures,animalbiome,https://api.crunchbase.com/v3.1/organizations/animalbiome,"",23219
R/GA Ventures,cuidamimascota,https://api.crunchbase.com/v3.1/organizations/cuidamimascota,"",118543
R/GA Ventures,wild-earth-104d,https://api.crunchbase.com/v3.1/organizations/wild-earth-104d,"",2293
R/GA Ventures,sunfolding,https://api.crunchbase.com/v3.1/organizations/sunfolding,"",26131
R/GA Ventures,hangar-technology,https://api.crunchbase.com/v3.1/organizations/hangar-technology,"",51777
R/GA Ventures,carterlabs,https://api.crunchbase.com/v3.1/organizations/carterlabs,"",159286
R/GA Ventures,axlehire,https://api.crunchbase.com/v3.1/organizations/axlehire,"",52283
R/GA Ventures,scorestream,https://api.crunchbase.com/v3.1/organizations/scorestream,"",17336
R/GA Ventures,vidrovr,https://api.crunchbase.com/v3.1/organizations/vidrovr,"",69596
R/GA Ventures,winnow-solutions,https://api.crunchbase.com/v3.1/organizations/winnow-solutions,"",5338
R/GA Ventures,streamroot,https://api.crunchbase.com/v3.1/organizations/streamroot,"",14889
R/GA Ventures,imposium,https://api.crunchbase.com/v3.1/organizations/imposium,"",160064
R/GA Ventures,cognitivevr,https://api.crunchbase.com/v3.1/organizations/cognitivevr,"",111507
R/GA Ventures,gankstars,https://api.crunchbase.com/v3.1/organizations/gankstars,"",154849
R/GA Ventures,transmit-live,https://api.crunchbase.com/v3.1/organizations/transmit-live,"",101676
R/GA Ventures,keemotion,https://api.crunchbase.com/v3.1/organizations/keemotion,"",13582
R/GA Ventures,adlightning,https://api.crunchbase.com/v3.1/organizations/adlightning,"",19256
R/GA Ventures,relativ-ai,https://api.crunchbase.com/v3.1/organizations/relativ-ai,"",245341
R/GA Ventures,popwallet,https://api.crunchbase.com/v3.1/organizations/popwallet,"",15751
R/GA Ventures,quickfra-me,https://api.crunchbase.com/v3.1/organizations/quickfra-me,"",74471
R/GA Ventures,future-ad-labs,https://api.crunchbase.com/v3.1/organizations/future-ad-labs,"",13854
R/GA Ventures,dashbot-io,https://api.crunchbase.com/v3.1/organizations/dashbot-io,"",8197
R/GA Ventures,humblee,https://api.crunchbase.com/v3.1/organizations/humblee,"",54065
R/GA Ventures,greenfly-2,https://api.crunchbase.com/v3.1/organizations/greenfly-2,"",11922
R/GA Ventures,darkstore,https://api.crunchbase.com/v3.1/organizations/darkstore,"",32854
