Organization Name,Invested In,Api Url,Description,Rank
Reach Capital,outschool,https://api.crunchbase.com/v3.1/organizations/outschool,"",3694
Reach Capital,peoplegrove,https://api.crunchbase.com/v3.1/organizations/peoplegrove,"",4632
Reach Capital,futurefuel,https://api.crunchbase.com/v3.1/organizations/futurefuel,"",5696
Reach Capital,gradeslam,https://api.crunchbase.com/v3.1/organizations/gradeslam,"",21145
Reach Capital,honehq,https://api.crunchbase.com/v3.1/organizations/honehq,"",6325
Reach Capital,handshake-2,https://api.crunchbase.com/v3.1/organizations/handshake-2,"",1150
Reach Capital,aura-health,https://api.crunchbase.com/v3.1/organizations/aura-health,"",8212
Reach Capital,mrs-wordsmith,https://api.crunchbase.com/v3.1/organizations/mrs-wordsmith,"",9420
Reach Capital,lingokids,https://api.crunchbase.com/v3.1/organizations/lingokids,"",6218
Reach Capital,winnie,https://api.crunchbase.com/v3.1/organizations/winnie,"",6406
Reach Capital,gradescope,https://api.crunchbase.com/v3.1/organizations/gradescope,"",11408
Reach Capital,booknook,https://api.crunchbase.com/v3.1/organizations/booknook,"",16867
Reach Capital,holberton-school,https://api.crunchbase.com/v3.1/organizations/holberton-school,"",4528
Reach Capital,ellevation,https://api.crunchbase.com/v3.1/organizations/ellevation,"",8213
Reach Capital,frank-financial-aid,https://api.crunchbase.com/v3.1/organizations/frank-financial-aid,"",6956
Reach Capital,betterlesson,https://api.crunchbase.com/v3.1/organizations/betterlesson,"",11347
Reach Capital,piper-2,https://api.crunchbase.com/v3.1/organizations/piper-2,"",12696
Reach Capital,lightneer,https://api.crunchbase.com/v3.1/organizations/lightneer,"",23890
Reach Capital,tinkergarten,https://api.crunchbase.com/v3.1/organizations/tinkergarten,"",7263
Reach Capital,abl-schools,https://api.crunchbase.com/v3.1/organizations/abl-schools,"",9122
Reach Capital,mystery-science,https://api.crunchbase.com/v3.1/organizations/mystery-science,"",12267
Reach Capital,teachfx,https://api.crunchbase.com/v3.1/organizations/teachfx,"",21971
Reach Capital,epic,https://api.crunchbase.com/v3.1/organizations/epic,"",3065
Reach Capital,kaymbu,https://api.crunchbase.com/v3.1/organizations/kaymbu,"",20723
Reach Capital,nearpod,https://api.crunchbase.com/v3.1/organizations/nearpod,"",34523
Reach Capital,admithub,https://api.crunchbase.com/v3.1/organizations/admithub,"",7985
Reach Capital,replit,https://api.crunchbase.com/v3.1/organizations/replit,"",50581
Reach Capital,tynker,https://api.crunchbase.com/v3.1/organizations/tynker,"",6066
Reach Capital,kickup,https://api.crunchbase.com/v3.1/organizations/kickup,"",24132
Reach Capital,freshgrade,https://api.crunchbase.com/v3.1/organizations/freshgrade,"",9671
Reach Capital,classdojo,https://api.crunchbase.com/v3.1/organizations/classdojo,"",2576
Reach Capital,volley-labs,https://api.crunchbase.com/v3.1/organizations/volley-labs,"",9270
Reach Capital,schoolmint,https://api.crunchbase.com/v3.1/organizations/schoolmint,"",10512
Reach Capital,edsurge,https://api.crunchbase.com/v3.1/organizations/edsurge,"",6105
Reach Capital,writelab,https://api.crunchbase.com/v3.1/organizations/writelab,"",24716
Reach Capital,schoolzilla,https://api.crunchbase.com/v3.1/organizations/schoolzilla,"",12008
Reach Capital,newsela,https://api.crunchbase.com/v3.1/organizations/newsela,"",2761
Reach Capital,lab4u,https://api.crunchbase.com/v3.1/organizations/lab4u,"",36562
Reach Capital,espark,https://api.crunchbase.com/v3.1/organizations/espark,"",18722
Reach Capital,zeal-learning,https://api.crunchbase.com/v3.1/organizations/zeal-learning,"",111048
Reach Capital,hapara,https://api.crunchbase.com/v3.1/organizations/hapara,"",18068
