Organization Name,Invested In,Api Url,Description,Rank
Refactor Capital,umbrella-7e35,https://api.crunchbase.com/v3.1/organizations/umbrella-7e35,"",1822
Refactor Capital,solugen,https://api.crunchbase.com/v3.1/organizations/solugen,"",4465
Refactor Capital,vital-6fc2,https://api.crunchbase.com/v3.1/organizations/vital-6fc2,"",9654
Refactor Capital,culture-robotics,https://api.crunchbase.com/v3.1/organizations/culture-robotics,"",7710
Refactor Capital,cambridge-cancer-genomics,https://api.crunchbase.com/v3.1/organizations/cambridge-cancer-genomics,"",6952
Refactor Capital,hero-health,https://api.crunchbase.com/v3.1/organizations/hero-health,"",811
Refactor Capital,blockfolio,https://api.crunchbase.com/v3.1/organizations/blockfolio,"",6684
Refactor Capital,factoryfour,https://api.crunchbase.com/v3.1/organizations/factoryfour,"",14651
Refactor Capital,checkerspot,https://api.crunchbase.com/v3.1/organizations/checkerspot,"",11743
Refactor Capital,tl-biolabs,https://api.crunchbase.com/v3.1/organizations/tl-biolabs,"",9363
Refactor Capital,biobot-analytics,https://api.crunchbase.com/v3.1/organizations/biobot-analytics,"",11355
Refactor Capital,astranis,https://api.crunchbase.com/v3.1/organizations/astranis,"",4740
Refactor Capital,uniform-teeth,https://api.crunchbase.com/v3.1/organizations/uniform-teeth,"",50820
Refactor Capital,pathai,https://api.crunchbase.com/v3.1/organizations/pathai,"",795
Refactor Capital,octant-bio,https://api.crunchbase.com/v3.1/organizations/octant-bio,"",18136
Refactor Capital,enzyme-2,https://api.crunchbase.com/v3.1/organizations/enzyme-2,"",16209
Refactor Capital,cofactor-genomics,https://api.crunchbase.com/v3.1/organizations/cofactor-genomics,"",10204
Refactor Capital,call9,https://api.crunchbase.com/v3.1/organizations/call9,"",2651
Refactor Capital,gencove-2,https://api.crunchbase.com/v3.1/organizations/gencove-2,"",14114
Refactor Capital,clover-health,https://api.crunchbase.com/v3.1/organizations/clover-health,"",535
Refactor Capital,pluto-search,https://api.crunchbase.com/v3.1/organizations/pluto-search,"",13356
Refactor Capital,tl-biolabs-9280,https://api.crunchbase.com/v3.1/organizations/tl-biolabs-9280,"",29426
Refactor Capital,legalist,https://api.crunchbase.com/v3.1/organizations/legalist,"",84192
Refactor Capital,finova-financial,https://api.crunchbase.com/v3.1/organizations/finova-financial,"",11282
Refactor Capital,trace-genomics,https://api.crunchbase.com/v3.1/organizations/trace-genomics,"",4025
Refactor Capital,kip-labs,https://api.crunchbase.com/v3.1/organizations/kip-labs,"",89293
Refactor Capital,alloy-3,https://api.crunchbase.com/v3.1/organizations/alloy-3,"",33319
Refactor Capital,verge-genomics,https://api.crunchbase.com/v3.1/organizations/verge-genomics,"",4579
Refactor Capital,headspace,https://api.crunchbase.com/v3.1/organizations/headspace,"",324
Refactor Capital,picnichealth,https://api.crunchbase.com/v3.1/organizations/picnichealth,"",7681
