Organization Name,Invested In,Api Url,Description,Rank
Rise of the Rest,amplion-research,https://api.crunchbase.com/v3.1/organizations/amplion-research,"",8206
Rise of the Rest,ubiquitilink,https://api.crunchbase.com/v3.1/organizations/ubiquitilink,"",2154
Rise of the Rest,pops-diabetes-care,https://api.crunchbase.com/v3.1/organizations/pops-diabetes-care,"",3790
Rise of the Rest,jammber,https://api.crunchbase.com/v3.1/organizations/jammber,"",7719
Rise of the Rest,anvl,https://api.crunchbase.com/v3.1/organizations/anvl,"",11823
Rise of the Rest,pryon,https://api.crunchbase.com/v3.1/organizations/pryon,"",1674
Rise of the Rest,appharvest,https://api.crunchbase.com/v3.1/organizations/appharvest,"",5979
Rise of the Rest,slingshot-aerospace,https://api.crunchbase.com/v3.1/organizations/slingshot-aerospace,"",7635
Rise of the Rest,backlot-cars,https://api.crunchbase.com/v3.1/organizations/backlot-cars,"",4797
Rise of the Rest,smartwyre,https://api.crunchbase.com/v3.1/organizations/smartwyre,"",24916
Rise of the Rest,qwick,https://api.crunchbase.com/v3.1/organizations/qwick,"",7652
Rise of the Rest,freightwaves,https://api.crunchbase.com/v3.1/organizations/freightwaves,"",33
Rise of the Rest,patientone,https://api.crunchbase.com/v3.1/organizations/patientone,"",28550
Rise of the Rest,trustandwill,https://api.crunchbase.com/v3.1/organizations/trustandwill,"",9591
Rise of the Rest,partyslate,https://api.crunchbase.com/v3.1/organizations/partyslate,"",12474
Rise of the Rest,blanket,https://api.crunchbase.com/v3.1/organizations/blanket,"",8422
Rise of the Rest,loop-and-tie,https://api.crunchbase.com/v3.1/organizations/loop-and-tie,"",21711
Rise of the Rest,megh-computing,https://api.crunchbase.com/v3.1/organizations/megh-computing,"",27971
Rise of the Rest,whyhotel,https://api.crunchbase.com/v3.1/organizations/whyhotel,"",3777
Rise of the Rest,visage-payroll,https://api.crunchbase.com/v3.1/organizations/visage-payroll,"",14886
Rise of the Rest,wirewheel-io,https://api.crunchbase.com/v3.1/organizations/wirewheel-io,"",5947
Rise of the Rest,summersalt,https://api.crunchbase.com/v3.1/organizations/summersalt,"",6123
Rise of the Rest,k4connect,https://api.crunchbase.com/v3.1/organizations/k4connect,"",7145
Rise of the Rest,the-minte,https://api.crunchbase.com/v3.1/organizations/the-minte,"",14752
Rise of the Rest,understory,https://api.crunchbase.com/v3.1/organizations/understory,"",6608
Rise of the Rest,increasecard,https://api.crunchbase.com/v3.1/organizations/increasecard,"",6554
Rise of the Rest,caribu,https://api.crunchbase.com/v3.1/organizations/caribu,"",8757
Rise of the Rest,gaurdhat-technologies,https://api.crunchbase.com/v3.1/organizations/gaurdhat-technologies,"",7693
Rise of the Rest,sisu-global-health,https://api.crunchbase.com/v3.1/organizations/sisu-global-health,"",28565
Rise of the Rest,chassi,https://api.crunchbase.com/v3.1/organizations/chassi,"",37944
Rise of the Rest,safechain-llc,https://api.crunchbase.com/v3.1/organizations/safechain-llc,"",11597
Rise of the Rest,ordway-labs,https://api.crunchbase.com/v3.1/organizations/ordway-labs,"",14109
Rise of the Rest,structural,https://api.crunchbase.com/v3.1/organizations/structural,"",22638
Rise of the Rest,stord,https://api.crunchbase.com/v3.1/organizations/stord,"",21411
Rise of the Rest,foxtrot,https://api.crunchbase.com/v3.1/organizations/foxtrot,"",46727
Rise of the Rest,cotopaxi,https://api.crunchbase.com/v3.1/organizations/cotopaxi,"",4362
Rise of the Rest,zenbusiness,https://api.crunchbase.com/v3.1/organizations/zenbusiness,"",45452
Rise of the Rest,zylo,https://api.crunchbase.com/v3.1/organizations/zylo,"",6033
Rise of the Rest,seeva,https://api.crunchbase.com/v3.1/organizations/seeva,"",74061
Rise of the Rest,jobmarketmaker,https://api.crunchbase.com/v3.1/organizations/jobmarketmaker,"",47489
Rise of the Rest,catalyst-devworks,https://api.crunchbase.com/v3.1/organizations/catalyst-devworks,"",2562
Rise of the Rest,losant-share,https://api.crunchbase.com/v3.1/organizations/losant-share,"",51562
Rise of the Rest,peanut-butter-inc,https://api.crunchbase.com/v3.1/organizations/peanut-butter-inc,"",19873
Rise of the Rest,lifeloop,https://api.crunchbase.com/v3.1/organizations/lifeloop,"",52918
