Organization Name,Invested In,Api Url,Description,Rank
RiverPark Ventures,bolt-5,https://api.crunchbase.com/v3.1/organizations/bolt-5,"",2305
RiverPark Ventures,sweet-reason-beverage,https://api.crunchbase.com/v3.1/organizations/sweet-reason-beverage,"",7372
RiverPark Ventures,ocrolus,https://api.crunchbase.com/v3.1/organizations/ocrolus,"",1005
RiverPark Ventures,peoplegrove,https://api.crunchbase.com/v3.1/organizations/peoplegrove,"",4625
RiverPark Ventures,candid-4,https://api.crunchbase.com/v3.1/organizations/candid-4,"",20920
RiverPark Ventures,petal,https://api.crunchbase.com/v3.1/organizations/petal,"",1761
RiverPark Ventures,future-family,https://api.crunchbase.com/v3.1/organizations/future-family,"",1569
RiverPark Ventures,cargo-3,https://api.crunchbase.com/v3.1/organizations/cargo-3,"",2421
RiverPark Ventures,yumble-1eb8,https://api.crunchbase.com/v3.1/organizations/yumble-1eb8,"",6100
RiverPark Ventures,ordermark,https://api.crunchbase.com/v3.1/organizations/ordermark,"",241
RiverPark Ventures,lumen-aca6,https://api.crunchbase.com/v3.1/organizations/lumen-aca6,"",7806
RiverPark Ventures,worklete,https://api.crunchbase.com/v3.1/organizations/worklete,"",7320
RiverPark Ventures,krome-photos,https://api.crunchbase.com/v3.1/organizations/krome-photos,"",32313
RiverPark Ventures,modumate-inc,https://api.crunchbase.com/v3.1/organizations/modumate-inc,"",24278
RiverPark Ventures,cleargov,https://api.crunchbase.com/v3.1/organizations/cleargov,"",10572
RiverPark Ventures,porter-road-butcher,https://api.crunchbase.com/v3.1/organizations/porter-road-butcher,"",20564
RiverPark Ventures,amenify,https://api.crunchbase.com/v3.1/organizations/amenify,"",12564
RiverPark Ventures,sidelineswap,https://api.crunchbase.com/v3.1/organizations/sidelineswap,"",8248
RiverPark Ventures,by-chloe,https://api.crunchbase.com/v3.1/organizations/by-chloe,"",12604
RiverPark Ventures,spindrift-beverage,https://api.crunchbase.com/v3.1/organizations/spindrift-beverage,"",3104
RiverPark Ventures,katerra,https://api.crunchbase.com/v3.1/organizations/katerra,"",887
RiverPark Ventures,love-stories-tv,https://api.crunchbase.com/v3.1/organizations/love-stories-tv,"",20134
RiverPark Ventures,ample-hills-creamery,https://api.crunchbase.com/v3.1/organizations/ample-hills-creamery,"",16659
RiverPark Ventures,homemade-2,https://api.crunchbase.com/v3.1/organizations/homemade-2,"",38130
RiverPark Ventures,honest-buildings,https://api.crunchbase.com/v3.1/organizations/honest-buildings,"",457
RiverPark Ventures,keyme,https://api.crunchbase.com/v3.1/organizations/keyme,"",2051
RiverPark Ventures,vendsy-inc,https://api.crunchbase.com/v3.1/organizations/vendsy-inc,"",80187
RiverPark Ventures,via-transportation,https://api.crunchbase.com/v3.1/organizations/via-transportation,"",352
RiverPark Ventures,ollie,https://api.crunchbase.com/v3.1/organizations/ollie,"",1015
RiverPark Ventures,minibar-delivery,https://api.crunchbase.com/v3.1/organizations/minibar-delivery,"",9551
RiverPark Ventures,bentobox,https://api.crunchbase.com/v3.1/organizations/bentobox,"",2939
RiverPark Ventures,slice,https://api.crunchbase.com/v3.1/organizations/slice,"",2486
RiverPark Ventures,fitivity,https://api.crunchbase.com/v3.1/organizations/fitivity,"",40469
RiverPark Ventures,fresh-nation,https://api.crunchbase.com/v3.1/organizations/fresh-nation,"",19626
RiverPark Ventures,squarefoot,https://api.crunchbase.com/v3.1/organizations/squarefoot,"",6207
RiverPark Ventures,tovala,https://api.crunchbase.com/v3.1/organizations/tovala,"",5019
RiverPark Ventures,adverator,https://api.crunchbase.com/v3.1/organizations/adverator,"",22629
RiverPark Ventures,eponym,https://api.crunchbase.com/v3.1/organizations/eponym,"",34023
RiverPark Ventures,mack-weldon,https://api.crunchbase.com/v3.1/organizations/mack-weldon,"",3874
RiverPark Ventures,narvar,https://api.crunchbase.com/v3.1/organizations/narvar,"",1632
RiverPark Ventures,ivyconnect,https://api.crunchbase.com/v3.1/organizations/ivyconnect,"",4431
RiverPark Ventures,venuebook,https://api.crunchbase.com/v3.1/organizations/venuebook,"",15592
RiverPark Ventures,the-greatist,https://api.crunchbase.com/v3.1/organizations/the-greatist,"",11721
RiverPark Ventures,nestio,https://api.crunchbase.com/v3.1/organizations/nestio,"",5537
RiverPark Ventures,squad-2,https://api.crunchbase.com/v3.1/organizations/squad-2,"",22106
RiverPark Ventures,electric-objects,https://api.crunchbase.com/v3.1/organizations/electric-objects,"",20064
RiverPark Ventures,servy,https://api.crunchbase.com/v3.1/organizations/servy,"",28989
RiverPark Ventures,chewse,https://api.crunchbase.com/v3.1/organizations/chewse,"",3243
RiverPark Ventures,sothebys-home,https://api.crunchbase.com/v3.1/organizations/sothebys-home,"",24564
RiverPark Ventures,valetanywhere,https://api.crunchbase.com/v3.1/organizations/valetanywhere,"",26917
RiverPark Ventures,fuisz-media,https://api.crunchbase.com/v3.1/organizations/fuisz-media,"",30444
RiverPark Ventures,tapiture,https://api.crunchbase.com/v3.1/organizations/tapiture,"",24639
RiverPark Ventures,fashion-project,https://api.crunchbase.com/v3.1/organizations/fashion-project,"",30886
RiverPark Ventures,apploi,https://api.crunchbase.com/v3.1/organizations/apploi,"",16173
RiverPark Ventures,way-better,https://api.crunchbase.com/v3.1/organizations/way-better,"",16296
RiverPark Ventures,amstatz,https://api.crunchbase.com/v3.1/organizations/amstatz,"",40012
RiverPark Ventures,nailsnaps,https://api.crunchbase.com/v3.1/organizations/nailsnaps,"",51460
RiverPark Ventures,overture-me,https://api.crunchbase.com/v3.1/organizations/overture-me,"",242864
RiverPark Ventures,ash-improvement-technology-inc-,https://api.crunchbase.com/v3.1/organizations/ash-improvement-technology-inc-,"",85394
RiverPark Ventures,flycleaners,https://api.crunchbase.com/v3.1/organizations/flycleaners,"",14309
