Organization Name,Invested In,Api Url,Description,Rank
Rosecliff Ventures,agile-stacks-inc,https://api.crunchbase.com/v3.1/organizations/agile-stacks-inc,"",10837
Rosecliff Ventures,petal,https://api.crunchbase.com/v3.1/organizations/petal,"",1761
Rosecliff Ventures,selfmade,https://api.crunchbase.com/v3.1/organizations/selfmade,"",5805
Rosecliff Ventures,for-days,https://api.crunchbase.com/v3.1/organizations/for-days,"",10864
Rosecliff Ventures,cargo-3,https://api.crunchbase.com/v3.1/organizations/cargo-3,"",2421
Rosecliff Ventures,loanstreet,https://api.crunchbase.com/v3.1/organizations/loanstreet,"",12461
Rosecliff Ventures,yellowdig,https://api.crunchbase.com/v3.1/organizations/yellowdig,"",21142
Rosecliff Ventures,squarefoot,https://api.crunchbase.com/v3.1/organizations/squarefoot,"",6207
Rosecliff Ventures,fanai-inc,https://api.crunchbase.com/v3.1/organizations/fanai-inc,"",9990
Rosecliff Ventures,ample-hills-creamery,https://api.crunchbase.com/v3.1/organizations/ample-hills-creamery,"",16659
Rosecliff Ventures,heyday-5825,https://api.crunchbase.com/v3.1/organizations/heyday-5825,"",5474
Rosecliff Ventures,voyajoy,https://api.crunchbase.com/v3.1/organizations/voyajoy,"",18572
Rosecliff Ventures,traceme,https://api.crunchbase.com/v3.1/organizations/traceme,"",15052
Rosecliff Ventures,ollie,https://api.crunchbase.com/v3.1/organizations/ollie,"",1017
Rosecliff Ventures,banza,https://api.crunchbase.com/v3.1/organizations/banza,"",5163
Rosecliff Ventures,homer-logistics,https://api.crunchbase.com/v3.1/organizations/homer-logistics,"",12417
Rosecliff Ventures,roomi,https://api.crunchbase.com/v3.1/organizations/roomi,"",36584
Rosecliff Ventures,sothebys-home,https://api.crunchbase.com/v3.1/organizations/sothebys-home,"",24564
Rosecliff Ventures,opensponsorship,https://api.crunchbase.com/v3.1/organizations/opensponsorship,"",15793
Rosecliff Ventures,goby-2,https://api.crunchbase.com/v3.1/organizations/goby-2,"",11131
Rosecliff Ventures,w-s-c-sports,https://api.crunchbase.com/v3.1/organizations/w-s-c-sports,"",5875
Rosecliff Ventures,allbirds,https://api.crunchbase.com/v3.1/organizations/allbirds,"",318
Rosecliff Ventures,hellotwist,https://api.crunchbase.com/v3.1/organizations/hellotwist,"",32408
Rosecliff Ventures,neutun-labs,https://api.crunchbase.com/v3.1/organizations/neutun-labs,"",41651
Rosecliff Ventures,youstake,https://api.crunchbase.com/v3.1/organizations/youstake,"",28652
Rosecliff Ventures,riide,https://api.crunchbase.com/v3.1/organizations/riide,"",39603
Rosecliff Ventures,pure-growth-organics,https://api.crunchbase.com/v3.1/organizations/pure-growth-organics,"",206826
Rosecliff Ventures,brewpublik-2,https://api.crunchbase.com/v3.1/organizations/brewpublik-2,"",34751
Rosecliff Ventures,rts,https://api.crunchbase.com/v3.1/organizations/rts,"",10607
Rosecliff Ventures,sidedolla,https://api.crunchbase.com/v3.1/organizations/sidedolla,"",74857
Rosecliff Ventures,lyon-and-post,https://api.crunchbase.com/v3.1/organizations/lyon-and-post,"",157156
Rosecliff Ventures,leo-health,https://api.crunchbase.com/v3.1/organizations/leo-health,"",30197
Rosecliff Ventures,create1,https://api.crunchbase.com/v3.1/organizations/create1,"",357533
Rosecliff Ventures,nuzzel,https://api.crunchbase.com/v3.1/organizations/nuzzel,"",13971
Rosecliff Ventures,wheels-up,https://api.crunchbase.com/v3.1/organizations/wheels-up,"",3336
Rosecliff Ventures,edufii,https://api.crunchbase.com/v3.1/organizations/edufii,"",27679
