Organization Name,Invested In,Api Url,Description,Rank
Route 66 Ventures,motionsoft,https://api.crunchbase.com/v3.1/organizations/motionsoft,"",6020
Route 66 Ventures,till-inc,https://api.crunchbase.com/v3.1/organizations/till-inc,"",21472
Route 66 Ventures,accesspay,https://api.crunchbase.com/v3.1/organizations/accesspay,"",8939
Route 66 Ventures,payzer,https://api.crunchbase.com/v3.1/organizations/payzer,"",11046
Route 66 Ventures,zebit-inc,https://api.crunchbase.com/v3.1/organizations/zebit-inc,"",5531
Route 66 Ventures,clearmatics,https://api.crunchbase.com/v3.1/organizations/clearmatics,"",9958
Route 66 Ventures,drivewealth,https://api.crunchbase.com/v3.1/organizations/drivewealth,"",2078
Route 66 Ventures,qwil,https://api.crunchbase.com/v3.1/organizations/qwil,"",3194
Route 66 Ventures,nextcapital,https://api.crunchbase.com/v3.1/organizations/nextcapital,"",6012
Route 66 Ventures,quantemplate,https://api.crunchbase.com/v3.1/organizations/quantemplate,"",8309
Route 66 Ventures,maxwell-financial-labs-inc,https://api.crunchbase.com/v3.1/organizations/maxwell-financial-labs-inc,"",9688
Route 66 Ventures,vemo-education,https://api.crunchbase.com/v3.1/organizations/vemo-education,"",5800
Route 66 Ventures,digital-insurance-group,https://api.crunchbase.com/v3.1/organizations/digital-insurance-group,"",7687
Route 66 Ventures,compare-asia-group,https://api.crunchbase.com/v3.1/organizations/compare-asia-group,"",6720
Route 66 Ventures,bunker-ventures,https://api.crunchbase.com/v3.1/organizations/bunker-ventures,"",4899
Route 66 Ventures,simplesurance,https://api.crunchbase.com/v3.1/organizations/simplesurance,"",3691
Route 66 Ventures,sunlight-financial,https://api.crunchbase.com/v3.1/organizations/sunlight-financial,"",3561
Route 66 Ventures,tandem-5,https://api.crunchbase.com/v3.1/organizations/tandem-5,"",27609
Route 66 Ventures,lqd-business-finance,https://api.crunchbase.com/v3.1/organizations/lqd-business-finance,"",26152
Route 66 Ventures,knip,https://api.crunchbase.com/v3.1/organizations/knip,"",6815
Route 66 Ventures,moven,https://api.crunchbase.com/v3.1/organizations/moven,"",2234
Route 66 Ventures,coverhound,https://api.crunchbase.com/v3.1/organizations/coverhound,"",2734
Route 66 Ventures,mirror,https://api.crunchbase.com/v3.1/organizations/mirror,"",61141
Route 66 Ventures,ripple-labs,https://api.crunchbase.com/v3.1/organizations/ripple-labs,"",621
Route 66 Ventures,trusted-insight,https://api.crunchbase.com/v3.1/organizations/trusted-insight,"",221
Route 66 Ventures,judo,https://api.crunchbase.com/v3.1/organizations/judo,"",9826
Route 66 Ventures,amp-credit-technologies,https://api.crunchbase.com/v3.1/organizations/amp-credit-technologies,"",30243
Route 66 Ventures,vaamo-finanz-ag,https://api.crunchbase.com/v3.1/organizations/vaamo-finanz-ag,"",56379
Route 66 Ventures,hedgeable,https://api.crunchbase.com/v3.1/organizations/hedgeable,"",21586
Route 66 Ventures,8-securities-limited,https://api.crunchbase.com/v3.1/organizations/8-securities-limited,"",6319
Route 66 Ventures,startupbootcamp-fintech,https://api.crunchbase.com/v3.1/organizations/startupbootcamp-fintech,"",145489
