Organization Name,Invested In,Api Url,Description,Rank
S2G Ventures,intelligent-growth-solutions,https://api.crunchbase.com/v3.1/organizations/intelligent-growth-solutions,"",9523
S2G Ventures,trace-genomics,https://api.crunchbase.com/v3.1/organizations/trace-genomics,"",4025
S2G Ventures,augean-robotics,https://api.crunchbase.com/v3.1/organizations/augean-robotics,"",14853
S2G Ventures,kuli-kuli,https://api.crunchbase.com/v3.1/organizations/kuli-kuli,"",10644
S2G Ventures,mycotechnology,https://api.crunchbase.com/v3.1/organizations/mycotechnology,"",5066
S2G Ventures,greenlight-biosciences,https://api.crunchbase.com/v3.1/organizations/greenlight-biosciences,"",5342
S2G Ventures,hi-fidelity-genetics,https://api.crunchbase.com/v3.1/organizations/hi-fidelity-genetics,"",26271
S2G Ventures,safetraces,https://api.crunchbase.com/v3.1/organizations/safetraces,"",6428
S2G Ventures,once-upon-a-farm,https://api.crunchbase.com/v3.1/organizations/once-upon-a-farm,"",4421
S2G Ventures,benson-hill-biosystems,https://api.crunchbase.com/v3.1/organizations/benson-hill-biosystems,"",1315
S2G Ventures,sentera,https://api.crunchbase.com/v3.1/organizations/sentera,"",6366
S2G Ventures,apeel-sciences,https://api.crunchbase.com/v3.1/organizations/apeel-sciences,"",2573
S2G Ventures,ucan,https://api.crunchbase.com/v3.1/organizations/ucan,"",24100
S2G Ventures,good-eggs,https://api.crunchbase.com/v3.1/organizations/good-eggs,"",1497
S2G Ventures,future-meat-technologies,https://api.crunchbase.com/v3.1/organizations/future-meat-technologies,"",50574
S2G Ventures,hazel-technologies-llc,https://api.crunchbase.com/v3.1/organizations/hazel-technologies-llc,"",14265
S2G Ventures,ripple-foods,https://api.crunchbase.com/v3.1/organizations/ripple-foods,"",3232
S2G Ventures,crop-pro-insurance,https://api.crunchbase.com/v3.1/organizations/crop-pro-insurance,"",20448
S2G Ventures,newleaf-symbiotics,https://api.crunchbase.com/v3.1/organizations/newleaf-symbiotics,"",5098
S2G Ventures,fishpeople,https://api.crunchbase.com/v3.1/organizations/fishpeople,"",17027
S2G Ventures,arable,https://api.crunchbase.com/v3.1/organizations/arable,"",8615
S2G Ventures,shenandoah-valley-organic,https://api.crunchbase.com/v3.1/organizations/shenandoah-valley-organic,"",28297
S2G Ventures,midwestern-bioag,https://api.crunchbase.com/v3.1/organizations/midwestern-bioag,"",24167
S2G Ventures,terramera,https://api.crunchbase.com/v3.1/organizations/terramera,"",9775
S2G Ventures,blue-prairie,https://api.crunchbase.com/v3.1/organizations/blue-prairie,"",27138
S2G Ventures,back-to-the-roots,https://api.crunchbase.com/v3.1/organizations/back-to-the-roots,"",10249
S2G Ventures,beyond-meat,https://api.crunchbase.com/v3.1/organizations/beyond-meat,"",10
S2G Ventures,shopwell,https://api.crunchbase.com/v3.1/organizations/shopwell,"",13846
S2G Ventures,shenandoah-growers,https://api.crunchbase.com/v3.1/organizations/shenandoah-growers,"",23436
