Organization Name,Invested In,Api Url,Description,Rank
Salesforce Ventures,whitehat,https://api.crunchbase.com/v3.1/organizations/whitehat,"",538
Salesforce Ventures,qualified-com,https://api.crunchbase.com/v3.1/organizations/qualified-com,"",1331
Salesforce Ventures,blend-labs,https://api.crunchbase.com/v3.1/organizations/blend-labs,"",285
Salesforce Ventures,polsource,https://api.crunchbase.com/v3.1/organizations/polsource,"",89552
Salesforce Ventures,astound-commerce,https://api.crunchbase.com/v3.1/organizations/astound-commerce,"",61235
Salesforce Ventures,traction-guest,https://api.crunchbase.com/v3.1/organizations/traction-guest,"",3595
Salesforce Ventures,privitar,https://api.crunchbase.com/v3.1/organizations/privitar,"",1171
Salesforce Ventures,highspot-2,https://api.crunchbase.com/v3.1/organizations/highspot-2,"",793
Salesforce Ventures,sprocket-inc,https://api.crunchbase.com/v3.1/organizations/sprocket-inc,"",19831
Salesforce Ventures,ownbackup,https://api.crunchbase.com/v3.1/organizations/ownbackup,"",3009
Salesforce Ventures,sitetraker,https://api.crunchbase.com/v3.1/organizations/sitetraker,"",2194
Salesforce Ventures,attackiq,https://api.crunchbase.com/v3.1/organizations/attackiq,"",1926
Salesforce Ventures,arxxus,https://api.crunchbase.com/v3.1/organizations/arxxus,"",136397
Salesforce Ventures,osf-global-services,https://api.crunchbase.com/v3.1/organizations/osf-global-services,"",17952
Salesforce Ventures,osf-commerce,https://api.crunchbase.com/v3.1/organizations/osf-commerce,"",18891
Salesforce Ventures,fullstory,https://api.crunchbase.com/v3.1/organizations/fullstory,"",22298
Salesforce Ventures,studist,https://api.crunchbase.com/v3.1/organizations/studist,"",271163
Salesforce Ventures,6sense,https://api.crunchbase.com/v3.1/organizations/6sense,"",1947
Salesforce Ventures,eventhub,https://api.crunchbase.com/v3.1/organizations/eventhub,"",171177
Salesforce Ventures,onfido,https://api.crunchbase.com/v3.1/organizations/onfido,"",410
Salesforce Ventures,readyfor,https://api.crunchbase.com/v3.1/organizations/readyfor,"",28415
Salesforce Ventures,workfit,https://api.crunchbase.com/v3.1/organizations/workfit,"",30476
Salesforce Ventures,kespry,https://api.crunchbase.com/v3.1/organizations/kespry,"",2167
Salesforce Ventures,vlocity,https://api.crunchbase.com/v3.1/organizations/vlocity,"",852
Salesforce Ventures,bridgit,https://api.crunchbase.com/v3.1/organizations/bridgit,"",5555
Salesforce Ventures,ellevest,https://api.crunchbase.com/v3.1/organizations/ellevest,"",1555
Salesforce Ventures,futurefuel,https://api.crunchbase.com/v3.1/organizations/futurefuel,"",5696
Salesforce Ventures,wefox,https://api.crunchbase.com/v3.1/organizations/wefox,"",1524
Salesforce Ventures,odaseva,https://api.crunchbase.com/v3.1/organizations/odaseva,"",10076
Salesforce Ventures,salesbrief,https://api.crunchbase.com/v3.1/organizations/salesbrief,"",21691
Salesforce Ventures,thousandeyes,https://api.crunchbase.com/v3.1/organizations/thousandeyes,"",18410
Salesforce Ventures,gocardless,https://api.crunchbase.com/v3.1/organizations/gocardless,"",422
Salesforce Ventures,dolmen-2,https://api.crunchbase.com/v3.1/organizations/dolmen-2,"",30357
Salesforce Ventures,socialsuite-fab3,https://api.crunchbase.com/v3.1/organizations/socialsuite-fab3,"",18869
Salesforce Ventures,goco-io-inc,https://api.crunchbase.com/v3.1/organizations/goco-io-inc,"",9094
Salesforce Ventures,simplus,https://api.crunchbase.com/v3.1/organizations/simplus,"",3965
