Organization Name,Invested In,Api Url,Description,Rank
Samsung NEXT,swiftlyinc,https://api.crunchbase.com/v3.1/organizations/swiftlyinc,"",3465
Samsung NEXT,theta,https://api.crunchbase.com/v3.1/organizations/theta,"",26624
Samsung NEXT,tetrate,https://api.crunchbase.com/v3.1/organizations/tetrate,"",7676
Samsung NEXT,brodmann17,https://api.crunchbase.com/v3.1/organizations/brodmann17,"",5429
Samsung NEXT,rapiddeploy,https://api.crunchbase.com/v3.1/organizations/rapiddeploy,"",3099
Samsung NEXT,healthy-io,https://api.crunchbase.com/v3.1/organizations/healthy-io,"",5491
Samsung NEXT,stream-elements,https://api.crunchbase.com/v3.1/organizations/stream-elements,"",3165
Samsung NEXT,dashbot-io,https://api.crunchbase.com/v3.1/organizations/dashbot-io,"",8197
Samsung NEXT,playvs,https://api.crunchbase.com/v3.1/organizations/playvs,"",2300
Samsung NEXT,healthifyme,https://api.crunchbase.com/v3.1/organizations/healthifyme,"",3664
Samsung NEXT,dapper-labs,https://api.crunchbase.com/v3.1/organizations/dapper-labs,"",1143
Samsung NEXT,edgeworx,https://api.crunchbase.com/v3.1/organizations/edgeworx,"",85906
Samsung NEXT,scroll,https://api.crunchbase.com/v3.1/organizations/scroll,"",5968
Samsung NEXT,spatial-7213,https://api.crunchbase.com/v3.1/organizations/spatial-7213,"",6187
Samsung NEXT,kzen-networks,https://api.crunchbase.com/v3.1/organizations/kzen-networks,"",21021
Samsung NEXT,beekeeper,https://api.crunchbase.com/v3.1/organizations/beekeeper,"",2922
Samsung NEXT,packet-host,https://api.crunchbase.com/v3.1/organizations/packet-host,"",1222
Samsung NEXT,cylera,https://api.crunchbase.com/v3.1/organizations/cylera,"",10099
Samsung NEXT,cellsavers,https://api.crunchbase.com/v3.1/organizations/cellsavers,"",1120
Samsung NEXT,grover,https://api.crunchbase.com/v3.1/organizations/grover,"",1685
Samsung NEXT,virtru,https://api.crunchbase.com/v3.1/organizations/virtru,"",3359
Samsung NEXT,converge-3,https://api.crunchbase.com/v3.1/organizations/converge-3,"",27800
Samsung NEXT,juvo-mobile-inc,https://api.crunchbase.com/v3.1/organizations/juvo-mobile-inc,"",2245
Samsung NEXT,unbabel,https://api.crunchbase.com/v3.1/organizations/unbabel,"",2345
Samsung NEXT,intuition-robotics,https://api.crunchbase.com/v3.1/organizations/intuition-robotics,"",3186
Samsung NEXT,duka,https://api.crunchbase.com/v3.1/organizations/duka,"",431045
Samsung NEXT,homeis,https://api.crunchbase.com/v3.1/organizations/homeis,"",11284
Samsung NEXT,terapede,https://api.crunchbase.com/v3.1/organizations/terapede,"",185309
Samsung NEXT,blazing-db,https://api.crunchbase.com/v3.1/organizations/blazing-db,"",14907
Samsung NEXT,vidrovr,https://api.crunchbase.com/v3.1/organizations/vidrovr,"",69601
Samsung NEXT,intezer,https://api.crunchbase.com/v3.1/organizations/intezer,"",2318
Samsung NEXT,hyprcorp,https://api.crunchbase.com/v3.1/organizations/hyprcorp,"",4454
Samsung NEXT,sliver-tv,https://api.crunchbase.com/v3.1/organizations/sliver-tv,"",5909
Samsung NEXT,liquidsky-software,https://api.crunchbase.com/v3.1/organizations/liquidsky-software,"",10444
Samsung NEXT,public-e74d,https://api.crunchbase.com/v3.1/organizations/public-e74d,"",424102
Samsung NEXT,vicarious-systems-inc,https://api.crunchbase.com/v3.1/organizations/vicarious-systems-inc,"",2712
Samsung NEXT,mobidoo,https://api.crunchbase.com/v3.1/organizations/mobidoo,"",139255
Samsung NEXT,glooko,https://api.crunchbase.com/v3.1/organizations/glooko,"",19465
Samsung NEXT,veer-velocious,https://api.crunchbase.com/v3.1/organizations/veer-velocious,"",13557
Samsung NEXT,figure,https://api.crunchbase.com/v3.1/organizations/figure,"",5419
Samsung NEXT,unikey-technologies,https://api.crunchbase.com/v3.1/organizations/unikey-technologies,"",8843
Samsung NEXT,stae,https://api.crunchbase.com/v3.1/organizations/stae,"",17470
Samsung NEXT,bonsai-ai,https://api.crunchbase.com/v3.1/organizations/bonsai-ai,"",41311
Samsung NEXT,dataguise,https://api.crunchbase.com/v3.1/organizations/dataguise,"",8115
Samsung NEXT,branch-metrics,https://api.crunchbase.com/v3.1/organizations/branch-metrics,"",8408
Samsung NEXT,gyroscope-software,https://api.crunchbase.com/v3.1/organizations/gyroscope-software,"",134369
Samsung NEXT,filamenthq,https://api.crunchbase.com/v3.1/organizations/filamenthq,"",7265
Samsung NEXT,bayshore-networks,https://api.crunchbase.com/v3.1/organizations/bayshore-networks,"",11158
Samsung NEXT,floydhub,https://api.crunchbase.com/v3.1/organizations/floydhub,"",12065
Samsung NEXT,data-world,https://api.crunchbase.com/v3.1/organizations/data-world,"",2785
Samsung NEXT,8i,https://api.crunchbase.com/v3.1/organizations/8i,"",7742
Samsung NEXT,entrypoint,https://api.crunchbase.com/v3.1/organizations/entrypoint,"",29857
Samsung NEXT,sorenson-media,https://api.crunchbase.com/v3.1/organizations/sorenson-media,"",73425
Samsung NEXT,2sens,https://api.crunchbase.com/v3.1/organizations/2sens,"",118272
Samsung NEXT,safedk,https://api.crunchbase.com/v3.1/organizations/safedk,"",1982
Samsung NEXT,cohero-health,https://api.crunchbase.com/v3.1/organizations/cohero-health,"",8760
Samsung NEXT,baobab-studios,https://api.crunchbase.com/v3.1/organizations/baobab-studios,"",7797
Samsung NEXT,carglass-inc,https://api.crunchbase.com/v3.1/organizations/carglass-inc,"",18155
Samsung NEXT,nutonomy,https://api.crunchbase.com/v3.1/organizations/nutonomy,"",34648
Samsung NEXT,wevr,https://api.crunchbase.com/v3.1/organizations/wevr,"",10744
Samsung NEXT,vrb,https://api.crunchbase.com/v3.1/organizations/vrb,"",137447
Samsung NEXT,survios,https://api.crunchbase.com/v3.1/organizations/survios,"",1893
Samsung NEXT,vinli,https://api.crunchbase.com/v3.1/organizations/vinli,"",5877
Samsung NEXT,interlude,https://api.crunchbase.com/v3.1/organizations/interlude,"",945
Samsung NEXT,watchwith,https://api.crunchbase.com/v3.1/organizations/watchwith,"",25606
Samsung NEXT,zimperium,https://api.crunchbase.com/v3.1/organizations/zimperium,"",2957
Samsung NEXT,biobeats,https://api.crunchbase.com/v3.1/organizations/biobeats,"",7647
Samsung NEXT,cognitive-networks,https://api.crunchbase.com/v3.1/organizations/cognitive-networks,"",29217
Samsung NEXT,kngine,https://api.crunchbase.com/v3.1/organizations/kngine,"",27281
Samsung NEXT,delta-id,https://api.crunchbase.com/v3.1/organizations/delta-id,"",24675
Samsung NEXT,eyeverify,https://api.crunchbase.com/v3.1/organizations/eyeverify,"",17803
Samsung NEXT,looppay,https://api.crunchbase.com/v3.1/organizations/looppay,"",19704
Samsung NEXT,automated-insights,https://api.crunchbase.com/v3.1/organizations/automated-insights,"",29208
Samsung NEXT,life360,https://api.crunchbase.com/v3.1/organizations/life360,"",992
Samsung NEXT,careinsync,https://api.crunchbase.com/v3.1/organizations/careinsync,"",57101
Samsung NEXT,mobilespaces,https://api.crunchbase.com/v3.1/organizations/mobilespaces,"",32616
Samsung NEXT,engrade,https://api.crunchbase.com/v3.1/organizations/engrade,"",25799
Samsung NEXT,learnsprout,https://api.crunchbase.com/v3.1/organizations/learnsprout,"",37783
Samsung NEXT,famo-us,https://api.crunchbase.com/v3.1/organizations/famo-us,"",4702
Samsung NEXT,inception-mobile,https://api.crunchbase.com/v3.1/organizations/inception-mobile,"",244016
