Organization Name,Invested In,Api Url,Description,Rank
Sapphire Ventures,dapulse,https://api.crunchbase.com/v3.1/organizations/dapulse,"",4013
Sapphire Ventures,datarobot,https://api.crunchbase.com/v3.1/organizations/datarobot,"",1404
Sapphire Ventures,mixhalo,https://api.crunchbase.com/v3.1/organizations/mixhalo,"",314
Sapphire Ventures,allyo,https://api.crunchbase.com/v3.1/organizations/allyo,"",21884
Sapphire Ventures,highspot-2,https://api.crunchbase.com/v3.1/organizations/highspot-2,"",793
Sapphire Ventures,matillion,https://api.crunchbase.com/v3.1/organizations/matillion,"",18647
Sapphire Ventures,sun-basket,https://api.crunchbase.com/v3.1/organizations/sun-basket,"",18799
Sapphire Ventures,auth0,https://api.crunchbase.com/v3.1/organizations/auth0,"",708
Sapphire Ventures,exabeam,https://api.crunchbase.com/v3.1/organizations/exabeam,"",338
Sapphire Ventures,adverity,https://api.crunchbase.com/v3.1/organizations/adverity,"",35974
Sapphire Ventures,outreach,https://api.crunchbase.com/v3.1/organizations/outreach,"",425
Sapphire Ventures,pubnub,https://api.crunchbase.com/v3.1/organizations/pubnub,"",2927
Sapphire Ventures,segment-io,https://api.crunchbase.com/v3.1/organizations/segment-io,"",11747
Sapphire Ventures,portworx,https://api.crunchbase.com/v3.1/organizations/portworx,"",2265
Sapphire Ventures,leandata,https://api.crunchbase.com/v3.1/organizations/leandata,"",3854
Sapphire Ventures,overtime,https://api.crunchbase.com/v3.1/organizations/overtime,"",3841
Sapphire Ventures,influxdb,https://api.crunchbase.com/v3.1/organizations/influxdb,"",1294
Sapphire Ventures,alation,https://api.crunchbase.com/v3.1/organizations/alation,"",1224
Sapphire Ventures,contentful,https://api.crunchbase.com/v3.1/organizations/contentful,"",1466
Sapphire Ventures,netskope,https://api.crunchbase.com/v3.1/organizations/netskope,"",230
Sapphire Ventures,phoenix-labs,https://api.crunchbase.com/v3.1/organizations/phoenix-labs,"",8560
Sapphire Ventures,tidalscale,https://api.crunchbase.com/v3.1/organizations/tidalscale,"",8406
Sapphire Ventures,jfrog-ltd,https://api.crunchbase.com/v3.1/organizations/jfrog-ltd,"",1117
Sapphire Ventures,project44,https://api.crunchbase.com/v3.1/organizations/project44,"",842
Sapphire Ventures,pendo-io,https://api.crunchbase.com/v3.1/organizations/pendo-io,"",1208
Sapphire Ventures,cultureamp,https://api.crunchbase.com/v3.1/organizations/cultureamp,"",1557
Sapphire Ventures,tonal,https://api.crunchbase.com/v3.1/organizations/tonal,"",1825
Sapphire Ventures,reonomy,https://api.crunchbase.com/v3.1/organizations/reonomy,"",815
Sapphire Ventures,reltio,https://api.crunchbase.com/v3.1/organizations/reltio,"",2230
Sapphire Ventures,thoughtspot,https://api.crunchbase.com/v3.1/organizations/thoughtspot,"",16156
Sapphire Ventures,tradewind-markets,https://api.crunchbase.com/v3.1/organizations/tradewind-markets,"",8480
Sapphire Ventures,livongo-health,https://api.crunchbase.com/v3.1/organizations/livongo-health,"",639
Sapphire Ventures,punchh,https://api.crunchbase.com/v3.1/organizations/punchh,"",1849
Sapphire Ventures,convercent,https://api.crunchbase.com/v3.1/organizations/convercent,"",4506
Sapphire Ventures,followanalytics,https://api.crunchbase.com/v3.1/organizations/followanalytics,"",8812
