Organization Name,Invested In,Api Url,Description,Rank
Service Provider Capital,planetiq,https://api.crunchbase.com/v3.1/organizations/planetiq,"",5144
Service Provider Capital,bellwethr,https://api.crunchbase.com/v3.1/organizations/bellwethr,"",10174
Service Provider Capital,chartspan-medical-technologies,https://api.crunchbase.com/v3.1/organizations/chartspan-medical-technologies,"",5336
Service Provider Capital,tillable,https://api.crunchbase.com/v3.1/organizations/tillable,"",10526
Service Provider Capital,cusa-tea,https://api.crunchbase.com/v3.1/organizations/cusa-tea,"",23471
Service Provider Capital,soundstripe,https://api.crunchbase.com/v3.1/organizations/soundstripe,"",12771
Service Provider Capital,shotzr,https://api.crunchbase.com/v3.1/organizations/shotzr,"",17533
Service Provider Capital,livly,https://api.crunchbase.com/v3.1/organizations/livly,"",6876
Service Provider Capital,good-buy-gear,https://api.crunchbase.com/v3.1/organizations/good-buy-gear,"",16542
Service Provider Capital,sideqik,https://api.crunchbase.com/v3.1/organizations/sideqik,"",9201
Service Provider Capital,patientone,https://api.crunchbase.com/v3.1/organizations/patientone,"",28550
Service Provider Capital,complion,https://api.crunchbase.com/v3.1/organizations/complion,"",15942
Service Provider Capital,smartpath,https://api.crunchbase.com/v3.1/organizations/smartpath,"",19055
Service Provider Capital,thingtech,https://api.crunchbase.com/v3.1/organizations/thingtech,"",13482
Service Provider Capital,dev-con-detect,https://api.crunchbase.com/v3.1/organizations/dev-con-detect,"",11428
Service Provider Capital,tomahawk-robotics,https://api.crunchbase.com/v3.1/organizations/tomahawk-robotics,"",16649
Service Provider Capital,springbig,https://api.crunchbase.com/v3.1/organizations/springbig,"",16100
Service Provider Capital,verisolutions,https://api.crunchbase.com/v3.1/organizations/verisolutions,"",26449
Service Provider Capital,livesource-com,https://api.crunchbase.com/v3.1/organizations/livesource-com,"",17502
Service Provider Capital,apostrophe-inc,https://api.crunchbase.com/v3.1/organizations/apostrophe-inc,"",9431
Service Provider Capital,orosapparel,https://api.crunchbase.com/v3.1/organizations/orosapparel,"",11724
Service Provider Capital,moquality,https://api.crunchbase.com/v3.1/organizations/moquality,"",21107
Service Provider Capital,kobiton-inc,https://api.crunchbase.com/v3.1/organizations/kobiton-inc,"",12350
Service Provider Capital,chowly-inc,https://api.crunchbase.com/v3.1/organizations/chowly-inc,"",9396
Service Provider Capital,sopris,https://api.crunchbase.com/v3.1/organizations/sopris,"",13917
Service Provider Capital,kyckglobal,https://api.crunchbase.com/v3.1/organizations/kyckglobal,"",23215
Service Provider Capital,avvay,https://api.crunchbase.com/v3.1/organizations/avvay,"",27181
Service Provider Capital,burlywood,https://api.crunchbase.com/v3.1/organizations/burlywood,"",21829
Service Provider Capital,epharmix,https://api.crunchbase.com/v3.1/organizations/epharmix,"",18376
Service Provider Capital,turbo-tenant-llc,https://api.crunchbase.com/v3.1/organizations/turbo-tenant-llc,"",2002
Service Provider Capital,crash,https://api.crunchbase.com/v3.1/organizations/crash,"",9593
Service Provider Capital,dapix,https://api.crunchbase.com/v3.1/organizations/dapix,"",30648
Service Provider Capital,left-hand-robotics-inc,https://api.crunchbase.com/v3.1/organizations/left-hand-robotics-inc,"",14598
Service Provider Capital,walkthrough-2,https://api.crunchbase.com/v3.1/organizations/walkthrough-2,"",23139
Service Provider Capital,structural,https://api.crunchbase.com/v3.1/organizations/structural,"",22638
Service Provider Capital,idle-smart,https://api.crunchbase.com/v3.1/organizations/idle-smart,"",34847
Service Provider Capital,sondermind,https://api.crunchbase.com/v3.1/organizations/sondermind,"",11614
Service Provider Capital,lockstate,https://api.crunchbase.com/v3.1/organizations/lockstate,"",53552
Service Provider Capital,mentorcliq,https://api.crunchbase.com/v3.1/organizations/mentorcliq,"",4538
Service Provider Capital,threat-x,https://api.crunchbase.com/v3.1/organizations/threat-x,"",49399
Service Provider Capital,rachio,https://api.crunchbase.com/v3.1/organizations/rachio,"",2906
Service Provider Capital,steadymd,https://api.crunchbase.com/v3.1/organizations/steadymd,"",14840
Service Provider Capital,landscapehub,https://api.crunchbase.com/v3.1/organizations/landscapehub,"",55617
