Organization Name,Invested In,Api Url,Description,Rank
Sigma Partners,demandbase,https://api.crunchbase.com/v3.1/organizations/demandbase,"",22170
Sigma Partners,rethink-robotics,https://api.crunchbase.com/v3.1/organizations/rethink-robotics,"",4499
Sigma Partners,nasuni,https://api.crunchbase.com/v3.1/organizations/nasuni,"",4218
Sigma Partners,welltok,https://api.crunchbase.com/v3.1/organizations/welltok,"",1357
Sigma Partners,interactions,https://api.crunchbase.com/v3.1/organizations/interactions,"",3739
Sigma Partners,kateeva,https://api.crunchbase.com/v3.1/organizations/kateeva,"",35480
Sigma Partners,callminer,https://api.crunchbase.com/v3.1/organizations/callminer,"",3256
Sigma Partners,empyr,https://api.crunchbase.com/v3.1/organizations/empyr,"",7022
Sigma Partners,mogl,https://api.crunchbase.com/v3.1/organizations/mogl,"",14963
Sigma Partners,zetta,https://api.crunchbase.com/v3.1/organizations/zetta,"",13806
Sigma Partners,oversight-systems,https://api.crunchbase.com/v3.1/organizations/oversight-systems,"",13702
Sigma Partners,quantenna,https://api.crunchbase.com/v3.1/organizations/quantenna,"",7809
Sigma Partners,acquia,https://api.crunchbase.com/v3.1/organizations/acquia,"",763
Sigma Partners,damballa,https://api.crunchbase.com/v3.1/organizations/damballa,"",14073
Sigma Partners,voltdb,https://api.crunchbase.com/v3.1/organizations/voltdb,"",7395
Sigma Partners,sage-intacct,https://api.crunchbase.com/v3.1/organizations/sage-intacct,"",1228
Sigma Partners,hightail,https://api.crunchbase.com/v3.1/organizations/hightail,"",6447
Sigma Partners,view-inc,https://api.crunchbase.com/v3.1/organizations/view-inc,"",1965
Sigma Partners,everspin-technologies,https://api.crunchbase.com/v3.1/organizations/everspin-technologies,"",8642
Sigma Partners,apriori-technologies,https://api.crunchbase.com/v3.1/organizations/apriori-technologies,"",11869
Sigma Partners,gainspan,https://api.crunchbase.com/v3.1/organizations/gainspan,"",14820
Sigma Partners,vormetric,https://api.crunchbase.com/v3.1/organizations/vormetric,"",40465
Sigma Partners,mobiquity,https://api.crunchbase.com/v3.1/organizations/mobiquity,"",2123
Sigma Partners,sugarsync,https://api.crunchbase.com/v3.1/organizations/sugarsync,"",14299
Sigma Partners,high-street-partners,https://api.crunchbase.com/v3.1/organizations/high-street-partners,"",31334
Sigma Partners,strava,https://api.crunchbase.com/v3.1/organizations/strava,"",620
Sigma Partners,r2-semiconductor,https://api.crunchbase.com/v3.1/organizations/r2-semiconductor,"",22729
Sigma Partners,leyden-energy,https://api.crunchbase.com/v3.1/organizations/leyden-energy,"",30097
Sigma Partners,biom,https://api.crunchbase.com/v3.1/organizations/biom,"",17967
Sigma Partners,avencall,https://api.crunchbase.com/v3.1/organizations/avencall,"",57668
Sigma Partners,wordstream,https://api.crunchbase.com/v3.1/organizations/wordstream,"",6072
Sigma Partners,certeon,https://api.crunchbase.com/v3.1/organizations/certeon,"",49859
Sigma Partners,pindrop-security,https://api.crunchbase.com/v3.1/organizations/pindrop-security,"",2182
Sigma Partners,cirba-inc,https://api.crunchbase.com/v3.1/organizations/cirba-inc,"",9653
Sigma Partners,upwork,https://api.crunchbase.com/v3.1/organizations/upwork,"",380
Sigma Partners,azuki,https://api.crunchbase.com/v3.1/organizations/azuki,"",40635
Sigma Partners,casenet,https://api.crunchbase.com/v3.1/organizations/casenet,"",11896
Sigma Partners,recyclebank,https://api.crunchbase.com/v3.1/organizations/recyclebank,"",21565
Sigma Partners,enkata-technologies,https://api.crunchbase.com/v3.1/organizations/enkata-technologies,"",23911
Sigma Partners,centrify,https://api.crunchbase.com/v3.1/organizations/centrify,"",21740
Sigma Partners,joulex,https://api.crunchbase.com/v3.1/organizations/joulex,"",52138
Sigma Partners,exagrid-systems,https://api.crunchbase.com/v3.1/organizations/exagrid-systems,"",18553
Sigma Partners,doxo,https://api.crunchbase.com/v3.1/organizations/doxo,"",9563
Sigma Partners,rave-mobile-safety,https://api.crunchbase.com/v3.1/organizations/rave-mobile-safety,"",14652
Sigma Partners,docusign,https://api.crunchbase.com/v3.1/organizations/docusign,"",3675
Sigma Partners,autovirt,https://api.crunchbase.com/v3.1/organizations/autovirt,"",73506
Sigma Partners,echofirst,https://api.crunchbase.com/v3.1/organizations/echofirst,"",79862
Sigma Partners,crownpeak,https://api.crunchbase.com/v3.1/organizations/crownpeak,"",5008
Sigma Partners,attributor,https://api.crunchbase.com/v3.1/organizations/attributor,"",61967
Sigma Partners,expressor-software,https://api.crunchbase.com/v3.1/organizations/expressor-software,"",57679
Sigma Partners,voxify,https://api.crunchbase.com/v3.1/organizations/voxify,"",41512
Sigma Partners,solaria,https://api.crunchbase.com/v3.1/organizations/solaria,"",14939
Sigma Partners,nimblefish,https://api.crunchbase.com/v3.1/organizations/nimblefish,"",57334
Sigma Partners,nexx-systems,https://api.crunchbase.com/v3.1/organizations/nexx-systems,"",44584
Sigma Partners,acinion,https://api.crunchbase.com/v3.1/organizations/acinion,"",61230
Sigma Partners,tradebeam,https://api.crunchbase.com/v3.1/organizations/tradebeam,"",40687
Sigma Partners,tervela,https://api.crunchbase.com/v3.1/organizations/tervela,"",36427
Sigma Partners,virtual-goods-market,https://api.crunchbase.com/v3.1/organizations/virtual-goods-market,"",503414
Sigma Partners,viximo,https://api.crunchbase.com/v3.1/organizations/viximo,"",143095
Sigma Partners,dexterra,https://api.crunchbase.com/v3.1/organizations/dexterra,"",147260
Sigma Partners,applied-identity,https://api.crunchbase.com/v3.1/organizations/applied-identity,"",235692
Sigma Partners,replay-solutions,https://api.crunchbase.com/v3.1/organizations/replay-solutions,"",232887
Sigma Partners,scancafe,https://api.crunchbase.com/v3.1/organizations/scancafe,"",134411
Sigma Partners,vericept,https://api.crunchbase.com/v3.1/organizations/vericept,"",268866
Sigma Partners,openspan,https://api.crunchbase.com/v3.1/organizations/openspan,"",66427
Sigma Partners,iwatt,https://api.crunchbase.com/v3.1/organizations/iwatt,"",140109
Sigma Partners,initiate-systems,https://api.crunchbase.com/v3.1/organizations/initiate-systems,"",193395
Sigma Partners,hanger-network-in-home-media,https://api.crunchbase.com/v3.1/organizations/hanger-network-in-home-media,"",270305
Sigma Partners,aprimo,https://api.crunchbase.com/v3.1/organizations/aprimo,"",68677
Sigma Partners,marketlive,https://api.crunchbase.com/v3.1/organizations/marketlive,"",86104
Sigma Partners,vlingo,https://api.crunchbase.com/v3.1/organizations/vlingo,"",150162
Sigma Partners,incipient-inc,https://api.crunchbase.com/v3.1/organizations/incipient-inc,"",269785
Sigma Partners,entellium,https://api.crunchbase.com/v3.1/organizations/entellium,"",342569
Sigma Partners,jellyvision,https://api.crunchbase.com/v3.1/organizations/jellyvision,"",6327
Sigma Partners,encover,https://api.crunchbase.com/v3.1/organizations/encover,"",282262
Sigma Partners,sdl-enterprise-technologies,https://api.crunchbase.com/v3.1/organizations/sdl-enterprise-technologies,"",186699
