Organization Name,Invested In,Api Url,Description,Rank
Signatures Capital,wealthengine,https://api.crunchbase.com/v3.1/organizations/wealthengine,"",8281
Signatures Capital,solvvy-inc,https://api.crunchbase.com/v3.1/organizations/solvvy-inc,"",4475
Signatures Capital,bioniz,https://api.crunchbase.com/v3.1/organizations/bioniz,"",30764
Signatures Capital,wealthminder,https://api.crunchbase.com/v3.1/organizations/wealthminder,"",49595
Signatures Capital,checkr,https://api.crunchbase.com/v3.1/organizations/checkr,"",770
Signatures Capital,truebill,https://api.crunchbase.com/v3.1/organizations/truebill,"",4087
Signatures Capital,liveli,https://api.crunchbase.com/v3.1/organizations/liveli,"",48605
Signatures Capital,respirix,https://api.crunchbase.com/v3.1/organizations/respirix,"",23247
Signatures Capital,rollbar,https://api.crunchbase.com/v3.1/organizations/rollbar,"",6485
Signatures Capital,crowdpac,https://api.crunchbase.com/v3.1/organizations/crowdpac,"",17606
Signatures Capital,atheer,https://api.crunchbase.com/v3.1/organizations/atheer,"",11566
Signatures Capital,homeaglow,https://api.crunchbase.com/v3.1/organizations/homeaglow,"",140121
Signatures Capital,axstream,https://api.crunchbase.com/v3.1/organizations/axstream,"",87349
Signatures Capital,mission-bio,https://api.crunchbase.com/v3.1/organizations/mission-bio,"",4193
Signatures Capital,tubi-tv-2,https://api.crunchbase.com/v3.1/organizations/tubi-tv-2,"",2727
Signatures Capital,tuckernuck,https://api.crunchbase.com/v3.1/organizations/tuckernuck,"",21948
Signatures Capital,blocks,https://api.crunchbase.com/v3.1/organizations/blocks,"",22889
Signatures Capital,myknowtions,https://api.crunchbase.com/v3.1/organizations/myknowtions,"",16739
Signatures Capital,streetshares-inc,https://api.crunchbase.com/v3.1/organizations/streetshares-inc,"",5369
Signatures Capital,artivest,https://api.crunchbase.com/v3.1/organizations/artivest,"",5565
Signatures Capital,20n,https://api.crunchbase.com/v3.1/organizations/20n,"",29921
Signatures Capital,puracath-medical,https://api.crunchbase.com/v3.1/organizations/puracath-medical,"",42995
Signatures Capital,vave-health,https://api.crunchbase.com/v3.1/organizations/vave-health,"",15163
Signatures Capital,jurispect,https://api.crunchbase.com/v3.1/organizations/jurispect,"",36207
Signatures Capital,memebox,https://api.crunchbase.com/v3.1/organizations/memebox,"",2030
Signatures Capital,indinero,https://api.crunchbase.com/v3.1/organizations/indinero,"",5919
Signatures Capital,fancybox,https://api.crunchbase.com/v3.1/organizations/fancybox,"",73130
Signatures Capital,fieldbook,https://api.crunchbase.com/v3.1/organizations/fieldbook,"",20405
Signatures Capital,gusto-3,https://api.crunchbase.com/v3.1/organizations/gusto-3,"",7032
Signatures Capital,hyperoffice-com,https://api.crunchbase.com/v3.1/organizations/hyperoffice-com,"",117974
Signatures Capital,wallapop,https://api.crunchbase.com/v3.1/organizations/wallapop,"",51626
Signatures Capital,monica-andy,https://api.crunchbase.com/v3.1/organizations/monica-andy,"",10248
Signatures Capital,booshaka,https://api.crunchbase.com/v3.1/organizations/booshaka,"",16067
Signatures Capital,bluegrass-vascular-technologies,https://api.crunchbase.com/v3.1/organizations/bluegrass-vascular-technologies,"",49405
Signatures Capital,thinknum,https://api.crunchbase.com/v3.1/organizations/thinknum,"",2482
Signatures Capital,sina-fateh,https://api.crunchbase.com/v3.1/organizations/sina-fateh,"",120638
Signatures Capital,opendoor-2,https://api.crunchbase.com/v3.1/organizations/opendoor-2,"",2931
Signatures Capital,plumzi,https://api.crunchbase.com/v3.1/organizations/plumzi,"",53611
Signatures Capital,washio,https://api.crunchbase.com/v3.1/organizations/washio,"",11849
Signatures Capital,addepar,https://api.crunchbase.com/v3.1/organizations/addepar,"",612
Signatures Capital,guardant-health,https://api.crunchbase.com/v3.1/organizations/guardant-health,"",1366
Signatures Capital,neuroptics,https://api.crunchbase.com/v3.1/organizations/neuroptics,"",53311
Signatures Capital,munchery,https://api.crunchbase.com/v3.1/organizations/munchery,"",3788
Signatures Capital,paystand,https://api.crunchbase.com/v3.1/organizations/paystand,"",5492
Signatures Capital,genestamp,https://api.crunchbase.com/v3.1/organizations/genestamp,"",120324
Signatures Capital,zurf,https://api.crunchbase.com/v3.1/organizations/zurf,"",267476
Signatures Capital,canary,https://api.crunchbase.com/v3.1/organizations/canary,"",488
Signatures Capital,evergive,https://api.crunchbase.com/v3.1/organizations/evergive,"",53598
Signatures Capital,boomtrain,https://api.crunchbase.com/v3.1/organizations/boomtrain,"",8514
Signatures Capital,collectivehealth,https://api.crunchbase.com/v3.1/organizations/collectivehealth,"",130
Signatures Capital,flyr,https://api.crunchbase.com/v3.1/organizations/flyr,"",1835
Signatures Capital,sweetgreen,https://api.crunchbase.com/v3.1/organizations/sweetgreen,"",480
Signatures Capital,boardwalktech,https://api.crunchbase.com/v3.1/organizations/boardwalktech,"",19176
Signatures Capital,karma-2,https://api.crunchbase.com/v3.1/organizations/karma-2,"",60116
Signatures Capital,viooz,https://api.crunchbase.com/v3.1/organizations/viooz,"",56052
Signatures Capital,baarzo,https://api.crunchbase.com/v3.1/organizations/baarzo,"",172638
Signatures Capital,true-co,https://api.crunchbase.com/v3.1/organizations/true-co,"",14147
Signatures Capital,upcounsel,https://api.crunchbase.com/v3.1/organizations/upcounsel,"",4542
Signatures Capital,homejoy,https://api.crunchbase.com/v3.1/organizations/homejoy,"",5130
Signatures Capital,boticca-com-limited,https://api.crunchbase.com/v3.1/organizations/boticca-com-limited,"",47742
Signatures Capital,heap,https://api.crunchbase.com/v3.1/organizations/heap,"",3092
Signatures Capital,instaedu,https://api.crunchbase.com/v3.1/organizations/instaedu,"",9251
Signatures Capital,bitcovery,https://api.crunchbase.com/v3.1/organizations/bitcovery,"",90887
Signatures Capital,kissmetrics,https://api.crunchbase.com/v3.1/organizations/kissmetrics,"",7873
Signatures Capital,zoomdata,https://api.crunchbase.com/v3.1/organizations/zoomdata,"",4363
Signatures Capital,opengov,https://api.crunchbase.com/v3.1/organizations/opengov,"",2010
Signatures Capital,buildzoom,https://api.crunchbase.com/v3.1/organizations/buildzoom,"",3853
Signatures Capital,ink-mobility,https://api.crunchbase.com/v3.1/organizations/ink-mobility,"",17616
Signatures Capital,darby-smart,https://api.crunchbase.com/v3.1/organizations/darby-smart,"",12682
Signatures Capital,youeye,https://api.crunchbase.com/v3.1/organizations/youeye,"",14725
Signatures Capital,safe-shepherd,https://api.crunchbase.com/v3.1/organizations/safe-shepherd,"",57601
Signatures Capital,wevorce,https://api.crunchbase.com/v3.1/organizations/wevorce,"",18301
Signatures Capital,amiato,https://api.crunchbase.com/v3.1/organizations/amiato,"",31426
