Organization Name,Invested In,Api Url,Description,Rank
Sinai Ventures,ethyca,https://api.crunchbase.com/v3.1/organizations/ethyca,"",1165
Sinai Ventures,luminary-media-llc,https://api.crunchbase.com/v3.1/organizations/luminary-media-llc,"",1633
Sinai Ventures,haute-hijab,https://api.crunchbase.com/v3.1/organizations/haute-hijab,"",9382
Sinai Ventures,perksy,https://api.crunchbase.com/v3.1/organizations/perksy,"",5503
Sinai Ventures,harness-wealth,https://api.crunchbase.com/v3.1/organizations/harness-wealth,"",8924
Sinai Ventures,seattle-food-tech-sft,https://api.crunchbase.com/v3.1/organizations/seattle-food-tech-sft,"",15171
Sinai Ventures,drivetime-3f10,https://api.crunchbase.com/v3.1/organizations/drivetime-3f10,"",10546
Sinai Ventures,mac-d,https://api.crunchbase.com/v3.1/organizations/mac-d,"",23406
Sinai Ventures,dutchie,https://api.crunchbase.com/v3.1/organizations/dutchie,"",7874
Sinai Ventures,legalpad-778c,https://api.crunchbase.com/v3.1/organizations/legalpad-778c,"",11893
Sinai Ventures,roman-2,https://api.crunchbase.com/v3.1/organizations/roman-2,"",16942
Sinai Ventures,cspa,https://api.crunchbase.com/v3.1/organizations/cspa,"",19909
Sinai Ventures,openland,https://api.crunchbase.com/v3.1/organizations/openland,"",11199
Sinai Ventures,skydrop-3,https://api.crunchbase.com/v3.1/organizations/skydrop-3,"",12991
Sinai Ventures,esusu-financial-inc,https://api.crunchbase.com/v3.1/organizations/esusu-financial-inc,"",25247
Sinai Ventures,naked-labs,https://api.crunchbase.com/v3.1/organizations/naked-labs,"",5732
Sinai Ventures,grin-scooters,https://api.crunchbase.com/v3.1/organizations/grin-scooters,"",2121
Sinai Ventures,the-screening-room,https://api.crunchbase.com/v3.1/organizations/the-screening-room,"",195960
Sinai Ventures,kapwing,https://api.crunchbase.com/v3.1/organizations/kapwing,"",4533
Sinai Ventures,blink-identity,https://api.crunchbase.com/v3.1/organizations/blink-identity,"",13563
Sinai Ventures,tingles,https://api.crunchbase.com/v3.1/organizations/tingles,"",38596
Sinai Ventures,the-rotation,https://api.crunchbase.com/v3.1/organizations/the-rotation,"",122855
Sinai Ventures,rebelmail,https://api.crunchbase.com/v3.1/organizations/rebelmail,"",8890
Sinai Ventures,doorport-3,https://api.crunchbase.com/v3.1/organizations/doorport-3,"",16994
Sinai Ventures,biobot-analytics,https://api.crunchbase.com/v3.1/organizations/biobot-analytics,"",11355
Sinai Ventures,squarefoot,https://api.crunchbase.com/v3.1/organizations/squarefoot,"",6207
Sinai Ventures,swiftmile-inc,https://api.crunchbase.com/v3.1/organizations/swiftmile-inc,"",13288
Sinai Ventures,playbook,https://api.crunchbase.com/v3.1/organizations/playbook,"",33825
Sinai Ventures,necto-lab,https://api.crunchbase.com/v3.1/organizations/necto-lab,"",81514
Sinai Ventures,flint-5762,https://api.crunchbase.com/v3.1/organizations/flint-5762,"",83262
Sinai Ventures,players-lounge,https://api.crunchbase.com/v3.1/organizations/players-lounge,"",5733
Sinai Ventures,piccolo-07d2,https://api.crunchbase.com/v3.1/organizations/piccolo-07d2,"",28829
Sinai Ventures,bump-d27e,https://api.crunchbase.com/v3.1/organizations/bump-d27e,"",4884
Sinai Ventures,newcraft,https://api.crunchbase.com/v3.1/organizations/newcraft,"",33958
Sinai Ventures,brandcommerce,https://api.crunchbase.com/v3.1/organizations/brandcommerce,"",105747
Sinai Ventures,verisart,https://api.crunchbase.com/v3.1/organizations/verisart,"",25610
Sinai Ventures,tomorrow-4,https://api.crunchbase.com/v3.1/organizations/tomorrow-4,"",8519
Sinai Ventures,skywatch-2,https://api.crunchbase.com/v3.1/organizations/skywatch-2,"",12332
Sinai Ventures,hippo-insurance,https://api.crunchbase.com/v3.1/organizations/hippo-insurance,"",2505
Sinai Ventures,hawthorne-2,https://api.crunchbase.com/v3.1/organizations/hawthorne-2,"",9348
Sinai Ventures,compassinc,https://api.crunchbase.com/v3.1/organizations/compassinc,"",4197
Sinai Ventures,avisare,https://api.crunchbase.com/v3.1/organizations/avisare,"",23527
Sinai Ventures,wing-1b4f,https://api.crunchbase.com/v3.1/organizations/wing-1b4f,"",20944
Sinai Ventures,heartbeat-3,https://api.crunchbase.com/v3.1/organizations/heartbeat-3,"",55991
Sinai Ventures,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Sinai Ventures,rocketvisor-corporation,https://api.crunchbase.com/v3.1/organizations/rocketvisor-corporation,"",62127
Sinai Ventures,pinterest,https://api.crunchbase.com/v3.1/organizations/pinterest,"",1160
Sinai Ventures,eevo,https://api.crunchbase.com/v3.1/organizations/eevo,"",27639
Sinai Ventures,anyroad,https://api.crunchbase.com/v3.1/organizations/anyroad,"",2968
Sinai Ventures,govinvest,https://api.crunchbase.com/v3.1/organizations/govinvest,"",31602
Sinai Ventures,skopenow,https://api.crunchbase.com/v3.1/organizations/skopenow,"",11990
Sinai Ventures,mantl,https://api.crunchbase.com/v3.1/organizations/mantl,"",9084
