Organization Name,Invested In,Api Url,Description,Rank
Singularity University Ventures,clinicai,https://api.crunchbase.com/v3.1/organizations/clinicai,"",21976
Singularity University Ventures,hardera-real-wood-revolutionary-technology,https://api.crunchbase.com/v3.1/organizations/hardera-real-wood-revolutionary-technology,"",500280
Singularity University Ventures,kashio-inc,https://api.crunchbase.com/v3.1/organizations/kashio-inc,"",181478
Singularity University Ventures,biko,https://api.crunchbase.com/v3.1/organizations/biko,"",194760
Singularity University Ventures,project-everest,https://api.crunchbase.com/v3.1/organizations/project-everest,"",232833
Singularity University Ventures,cuidas,https://api.crunchbase.com/v3.1/organizations/cuidas,"",86559
Singularity University Ventures,skyhive,https://api.crunchbase.com/v3.1/organizations/skyhive,"",64917
Singularity University Ventures,iris-ai,https://api.crunchbase.com/v3.1/organizations/iris-ai,"",13944
Singularity University Ventures,golden,https://api.crunchbase.com/v3.1/organizations/golden,"",97307
Singularity University Ventures,nutrigene-ltd,https://api.crunchbase.com/v3.1/organizations/nutrigene-ltd,"",32828
Singularity University Ventures,morphoptics,https://api.crunchbase.com/v3.1/organizations/morphoptics,"",94304
Singularity University Ventures,muzi,https://api.crunchbase.com/v3.1/organizations/muzi,"",223007
Singularity University Ventures,ixo-foundation,https://api.crunchbase.com/v3.1/organizations/ixo-foundation,"",144390
Singularity University Ventures,ourotech,https://api.crunchbase.com/v3.1/organizations/ourotech,"",183771
Singularity University Ventures,hala-systems,https://api.crunchbase.com/v3.1/organizations/hala-systems,"",12101
Singularity University Ventures,billionbricks,https://api.crunchbase.com/v3.1/organizations/billionbricks,"",266140
Singularity University Ventures,janus-choice,https://api.crunchbase.com/v3.1/organizations/janus-choice,"",56593
Singularity University Ventures,iota-security,https://api.crunchbase.com/v3.1/organizations/iota-security,"",136839
Singularity University Ventures,impactvision,https://api.crunchbase.com/v3.1/organizations/impactvision,"",10490
Singularity University Ventures,deep-blocks,https://api.crunchbase.com/v3.1/organizations/deep-blocks,"",17817
Singularity University Ventures,emerge-now,https://api.crunchbase.com/v3.1/organizations/emerge-now,"",29141
Singularity University Ventures,1qbit,https://api.crunchbase.com/v3.1/organizations/1qbit,"",6210
Singularity University Ventures,x2ai,https://api.crunchbase.com/v3.1/organizations/x2ai,"",23161
Singularity University Ventures,hypercubes,https://api.crunchbase.com/v3.1/organizations/hypercubes,"",110698
Singularity University Ventures,radiomaze,https://api.crunchbase.com/v3.1/organizations/radiomaze,"",166555
Singularity University Ventures,semtive,https://api.crunchbase.com/v3.1/organizations/semtive,"",22429
Singularity University Ventures,be-my-eyes,https://api.crunchbase.com/v3.1/organizations/be-my-eyes,"",11176
Singularity University Ventures,fredsense-technologies,https://api.crunchbase.com/v3.1/organizations/fredsense-technologies,"",55255
Singularity University Ventures,human-longevity,https://api.crunchbase.com/v3.1/organizations/human-longevity,"",2729
Singularity University Ventures,benovative,https://api.crunchbase.com/v3.1/organizations/benovative,"",37089
Singularity University Ventures,field-ready,https://api.crunchbase.com/v3.1/organizations/field-ready,"",376577
Singularity University Ventures,natalie-evans,https://api.crunchbase.com/v3.1/organizations/natalie-evans,"",142881
Singularity University Ventures,miroculus,https://api.crunchbase.com/v3.1/organizations/miroculus,"",8061
Singularity University Ventures,modern-meadow,https://api.crunchbase.com/v3.1/organizations/modern-meadow,"",34760
Singularity University Ventures,authentise,https://api.crunchbase.com/v3.1/organizations/authentise,"",93853
Singularity University Ventures,made-in-space,https://api.crunchbase.com/v3.1/organizations/made-in-space,"",34681
Singularity University Ventures,organ-preservation-alliance,https://api.crunchbase.com/v3.1/organizations/organ-preservation-alliance,"",209544
Singularity University Ventures,focus-at-will,https://api.crunchbase.com/v3.1/organizations/focus-at-will,"",111436
Singularity University Ventures,marco-mascorro,https://api.crunchbase.com/v3.1/organizations/marco-mascorro,"",66875
Singularity University Ventures,matternet,https://api.crunchbase.com/v3.1/organizations/matternet,"",1672
Singularity University Ventures,blueoak-resources,https://api.crunchbase.com/v3.1/organizations/blueoak-resources,"",34388
Singularity University Ventures,getaround,https://api.crunchbase.com/v3.1/organizations/getaround,"",144
Singularity University Ventures,sentrian,https://api.crunchbase.com/v3.1/organizations/sentrian,"",15731
