Organization Name,Invested In,Api Url,Description,Rank
Soma Capital,nowports,https://api.crunchbase.com/v3.1/organizations/nowports,"",2541
Soma Capital,tenderd,https://api.crunchbase.com/v3.1/organizations/tenderd,"",3920
Soma Capital,cityfurnish,https://api.crunchbase.com/v3.1/organizations/cityfurnish,"",6342
Soma Capital,nabis,https://api.crunchbase.com/v3.1/organizations/nabis,"",5925
Soma Capital,deel,https://api.crunchbase.com/v3.1/organizations/deel,"",12076
Soma Capital,cambridge-cancer-genomics,https://api.crunchbase.com/v3.1/organizations/cambridge-cancer-genomics,"",6952
Soma Capital,bluecargo,https://api.crunchbase.com/v3.1/organizations/bluecargo,"",11606
Soma Capital,pachyderm,https://api.crunchbase.com/v3.1/organizations/pachyderm,"",5634
Soma Capital,validere-technologies,https://api.crunchbase.com/v3.1/organizations/validere-technologies,"",10994
Soma Capital,shelf-engine,https://api.crunchbase.com/v3.1/organizations/shelf-engine,"",6967
Soma Capital,honeylove,https://api.crunchbase.com/v3.1/organizations/honeylove,"",12270
Soma Capital,grin-scooters,https://api.crunchbase.com/v3.1/organizations/grin-scooters,"",2121
Soma Capital,qurasense,https://api.crunchbase.com/v3.1/organizations/qurasense,"",75166
Soma Capital,openland,https://api.crunchbase.com/v3.1/organizations/openland,"",11199
Soma Capital,higia,https://api.crunchbase.com/v3.1/organizations/higia,"",8475
Soma Capital,rain-neuromorphics,https://api.crunchbase.com/v3.1/organizations/rain-neuromorphics,"",76004
Soma Capital,cambridge-glycoscience,https://api.crunchbase.com/v3.1/organizations/cambridge-glycoscience,"",29652
Soma Capital,c16-biosciences,https://api.crunchbase.com/v3.1/organizations/c16-biosciences,"",18080
Soma Capital,skydrop-3,https://api.crunchbase.com/v3.1/organizations/skydrop-3,"",12991
Soma Capital,jetlenses,https://api.crunchbase.com/v3.1/organizations/jetlenses,"",85548
Soma Capital,camelot-ai,https://api.crunchbase.com/v3.1/organizations/camelot-ai,"",21473
Soma Capital,spero-foods-los-angeles-california,https://api.crunchbase.com/v3.1/organizations/spero-foods-los-angeles-california,"",22960
Soma Capital,send-reality,https://api.crunchbase.com/v3.1/organizations/send-reality,"",92184
Soma Capital,shone-io,https://api.crunchbase.com/v3.1/organizations/shone-io,"",11372
Soma Capital,scentbird,https://api.crunchbase.com/v3.1/organizations/scentbird,"",2802
Soma Capital,biobot-analytics,https://api.crunchbase.com/v3.1/organizations/biobot-analytics,"",11351
Soma Capital,ayez,https://api.crunchbase.com/v3.1/organizations/ayez,"",139510
Soma Capital,proven-2932,https://api.crunchbase.com/v3.1/organizations/proven-2932,"",62499
Soma Capital,reverie-labs,https://api.crunchbase.com/v3.1/organizations/reverie-labs,"",75338
Soma Capital,gainful,https://api.crunchbase.com/v3.1/organizations/gainful,"",16204
Soma Capital,lambda-school,https://api.crunchbase.com/v3.1/organizations/lambda-school,"",425
Soma Capital,sourceress,https://api.crunchbase.com/v3.1/organizations/sourceress,"",7113
Soma Capital,solugen,https://api.crunchbase.com/v3.1/organizations/solugen,"",4465
Soma Capital,enzyme-2,https://api.crunchbase.com/v3.1/organizations/enzyme-2,"",16209
Soma Capital,darmiyan,https://api.crunchbase.com/v3.1/organizations/darmiyan,"",18408
Soma Capital,omg-digital,https://api.crunchbase.com/v3.1/organizations/omg-digital,"",28932
Soma Capital,atrium-lts,https://api.crunchbase.com/v3.1/organizations/atrium-lts,"",1172
Soma Capital,waystocap,https://api.crunchbase.com/v3.1/organizations/waystocap,"",14805
Soma Capital,supr-daily,https://api.crunchbase.com/v3.1/organizations/supr-daily,"",910
Soma Capital,mirror-ai,https://api.crunchbase.com/v3.1/organizations/mirror-ai,"",13754
Soma Capital,upcall,https://api.crunchbase.com/v3.1/organizations/upcall,"",15198
Soma Capital,nanonets,https://api.crunchbase.com/v3.1/organizations/nanonets,"",9331
Soma Capital,returnbase,https://api.crunchbase.com/v3.1/organizations/returnbase,"",116094
Soma Capital,beek-2,https://api.crunchbase.com/v3.1/organizations/beek-2,"",32981
Soma Capital,rippling,https://api.crunchbase.com/v3.1/organizations/rippling,"",1064
Soma Capital,heydoctor,https://api.crunchbase.com/v3.1/organizations/heydoctor,"",16830
Soma Capital,tl-biolabs,https://api.crunchbase.com/v3.1/organizations/tl-biolabs,"",9363
Soma Capital,astranis,https://api.crunchbase.com/v3.1/organizations/astranis,"",4740
Soma Capital,skymind,https://api.crunchbase.com/v3.1/organizations/skymind,"",3822
Soma Capital,apollo-shield,https://api.crunchbase.com/v3.1/organizations/apollo-shield,"",17950
Soma Capital,jumpcut-studios,https://api.crunchbase.com/v3.1/organizations/jumpcut-studios,"",10189
Soma Capital,yoshi,https://api.crunchbase.com/v3.1/organizations/yoshi,"",7424
Soma Capital,flutterwave,https://api.crunchbase.com/v3.1/organizations/flutterwave,"",942
Soma Capital,farm-hill,https://api.crunchbase.com/v3.1/organizations/farm-hill,"",16608
Soma Capital,rappi,https://api.crunchbase.com/v3.1/organizations/rappi,"",11011
Soma Capital,yuptechnologies,https://api.crunchbase.com/v3.1/organizations/yuptechnologies,"",26680
Soma Capital,meadow,https://api.crunchbase.com/v3.1/organizations/meadow,"",11781
