Organization Name,Invested In,Api Url,Description,Rank
Sound Ventures,ethic-2,https://api.crunchbase.com/v3.1/organizations/ethic-2,"",2039
Sound Ventures,alma-health,https://api.crunchbase.com/v3.1/organizations/alma-health,"",1682
Sound Ventures,sentinel,https://api.crunchbase.com/v3.1/organizations/sentinel,"",398
Sound Ventures,affirm,https://api.crunchbase.com/v3.1/organizations/affirm,"",264
Sound Ventures,goradar,https://api.crunchbase.com/v3.1/organizations/goradar,"",8013
Sound Ventures,truepill,https://api.crunchbase.com/v3.1/organizations/truepill,"",2901
Sound Ventures,calm-com,https://api.crunchbase.com/v3.1/organizations/calm-com,"",4817
Sound Ventures,learnlux,https://api.crunchbase.com/v3.1/organizations/learnlux,"",11792
Sound Ventures,medinas,https://api.crunchbase.com/v3.1/organizations/medinas,"",8170
Sound Ventures,trialspark,https://api.crunchbase.com/v3.1/organizations/trialspark,"",44526
Sound Ventures,higia,https://api.crunchbase.com/v3.1/organizations/higia,"",8475
Sound Ventures,papa-technologies-llc,https://api.crunchbase.com/v3.1/organizations/papa-technologies-llc,"",6897
Sound Ventures,pixel-labs,https://api.crunchbase.com/v3.1/organizations/pixel-labs,"",13220
Sound Ventures,atrium-lts,https://api.crunchbase.com/v3.1/organizations/atrium-lts,"",1172
Sound Ventures,bird,https://api.crunchbase.com/v3.1/organizations/bird,"",900
Sound Ventures,b8ta,https://api.crunchbase.com/v3.1/organizations/b8ta,"",1127
Sound Ventures,cedar-0db2,https://api.crunchbase.com/v3.1/organizations/cedar-0db2,"",21119
Sound Ventures,modern-fertility,https://api.crunchbase.com/v3.1/organizations/modern-fertility,"",15073
Sound Ventures,matterport,https://api.crunchbase.com/v3.1/organizations/matterport,"",247
Sound Ventures,apptopia,https://api.crunchbase.com/v3.1/organizations/apptopia,"",4754
Sound Ventures,lus-brands,https://api.crunchbase.com/v3.1/organizations/lus-brands,"",19171
Sound Ventures,mark43,https://api.crunchbase.com/v3.1/organizations/mark43,"",3083
Sound Ventures,moovitapp,https://api.crunchbase.com/v3.1/organizations/moovitapp,"",1987
Sound Ventures,lambda-school,https://api.crunchbase.com/v3.1/organizations/lambda-school,"",425
Sound Ventures,peanut-2,https://api.crunchbase.com/v3.1/organizations/peanut-2,"",62891
Sound Ventures,carrot-fertility,https://api.crunchbase.com/v3.1/organizations/carrot-fertility,"",2414
Sound Ventures,gigster,https://api.crunchbase.com/v3.1/organizations/gigster,"",2474
Sound Ventures,skysafe,https://api.crunchbase.com/v3.1/organizations/skysafe,"",12228
Sound Ventures,acorns-grow,https://api.crunchbase.com/v3.1/organizations/acorns-grow,"",219
Sound Ventures,crossing-minds,https://api.crunchbase.com/v3.1/organizations/crossing-minds,"",20970
Sound Ventures,zendar,https://api.crunchbase.com/v3.1/organizations/zendar,"",12175
Sound Ventures,augury-systems,https://api.crunchbase.com/v3.1/organizations/augury-systems,"",2338
Sound Ventures,neighborly,https://api.crunchbase.com/v3.1/organizations/neighborly,"",33568
Sound Ventures,social-native,https://api.crunchbase.com/v3.1/organizations/social-native,"",7943
Sound Ventures,capsule-3,https://api.crunchbase.com/v3.1/organizations/capsule-3,"",697
Sound Ventures,hookedapp,https://api.crunchbase.com/v3.1/organizations/hookedapp,"",7667
Sound Ventures,nanonets,https://api.crunchbase.com/v3.1/organizations/nanonets,"",9331
Sound Ventures,cowlar,https://api.crunchbase.com/v3.1/organizations/cowlar,"",37613
Sound Ventures,elysium-health,https://api.crunchbase.com/v3.1/organizations/elysium-health,"",32916
Sound Ventures,imbellus,https://api.crunchbase.com/v3.1/organizations/imbellus,"",6137
Sound Ventures,wefox,https://api.crunchbase.com/v3.1/organizations/wefox,"",1524
Sound Ventures,grubmarket-inc,https://api.crunchbase.com/v3.1/organizations/grubmarket-inc,"",25193
Sound Ventures,trim,https://api.crunchbase.com/v3.1/organizations/trim,"",7789
Sound Ventures,cover-5,https://api.crunchbase.com/v3.1/organizations/cover-5,"",3343
Sound Ventures,civic,https://api.crunchbase.com/v3.1/organizations/civic,"",4914
Sound Ventures,opengov,https://api.crunchbase.com/v3.1/organizations/opengov,"",2010
Sound Ventures,8i,https://api.crunchbase.com/v3.1/organizations/8i,"",7735
Sound Ventures,pubnub,https://api.crunchbase.com/v3.1/organizations/pubnub,"",2927
Sound Ventures,fundbox,https://api.crunchbase.com/v3.1/organizations/fundbox,"",1139
Sound Ventures,bluecrew,https://api.crunchbase.com/v3.1/organizations/bluecrew,"",2869
Sound Ventures,angel-ai,https://api.crunchbase.com/v3.1/organizations/angel-ai,"",10415
Sound Ventures,pager,https://api.crunchbase.com/v3.1/organizations/pager,"",3625
Sound Ventures,gitlab-com,https://api.crunchbase.com/v3.1/organizations/gitlab-com,"",8359
Sound Ventures,emerald-therapeutics,https://api.crunchbase.com/v3.1/organizations/emerald-therapeutics,"",4344
Sound Ventures,equipmentshare-com,https://api.crunchbase.com/v3.1/organizations/equipmentshare-com,"",2222
Sound Ventures,zenefits,https://api.crunchbase.com/v3.1/organizations/zenefits,"",633
Sound Ventures,handybook,https://api.crunchbase.com/v3.1/organizations/handybook,"",538
Sound Ventures,binti,https://api.crunchbase.com/v3.1/organizations/binti,"",80127
Sound Ventures,pocket,https://api.crunchbase.com/v3.1/organizations/pocket,"",3070
