Organization Name,Invested In,Api Url,Description,Rank
Sovereign’s Capital,immersedteam,https://api.crunchbase.com/v3.1/organizations/immersedteam,"",25119
Sovereign’s Capital,threadloom,https://api.crunchbase.com/v3.1/organizations/threadloom,"",97894
Sovereign’s Capital,giftcard-co-id,https://api.crunchbase.com/v3.1/organizations/giftcard-co-id,"",70705
Sovereign’s Capital,first-2,https://api.crunchbase.com/v3.1/organizations/first-2,"",9552
Sovereign’s Capital,springbuk,https://api.crunchbase.com/v3.1/organizations/springbuk,"",6278
Sovereign’s Capital,grabtaxi,https://api.crunchbase.com/v3.1/organizations/grabtaxi,"",298
Sovereign’s Capital,maxwell-financial-labs-inc,https://api.crunchbase.com/v3.1/organizations/maxwell-financial-labs-inc,"",9688
Sovereign’s Capital,revboss,https://api.crunchbase.com/v3.1/organizations/revboss,"",32379
Sovereign’s Capital,caresync,https://api.crunchbase.com/v3.1/organizations/caresync,"",13461
Sovereign’s Capital,cloudfactory,https://api.crunchbase.com/v3.1/organizations/cloudfactory,"",4283
Sovereign’s Capital,neurotronik,https://api.crunchbase.com/v3.1/organizations/neurotronik,"",29503
Sovereign’s Capital,410-medical,https://api.crunchbase.com/v3.1/organizations/410-medical,"",26943
Sovereign’s Capital,cladwell,https://api.crunchbase.com/v3.1/organizations/cladwell,"",18630
Sovereign’s Capital,printerous,https://api.crunchbase.com/v3.1/organizations/printerous,"",34509
Sovereign’s Capital,shottracker,https://api.crunchbase.com/v3.1/organizations/shottracker,"",9796
Sovereign’s Capital,nextgxdx,https://api.crunchbase.com/v3.1/organizations/nextgxdx,"",14112
Sovereign’s Capital,man-crates,https://api.crunchbase.com/v3.1/organizations/man-crates,"",16117
Sovereign’s Capital,loket,https://api.crunchbase.com/v3.1/organizations/loket,"",103354
Sovereign’s Capital,fivestars-loyalty,https://api.crunchbase.com/v3.1/organizations/fivestars-loyalty,"",2091
Sovereign’s Capital,rebelworks,https://api.crunchbase.com/v3.1/organizations/rebelworks,"",201931
Sovereign’s Capital,summit-healthcare,https://api.crunchbase.com/v3.1/organizations/summit-healthcare,"",270213
Sovereign’s Capital,employus,https://api.crunchbase.com/v3.1/organizations/employus,"",44951
Sovereign’s Capital,berry-kitchen,https://api.crunchbase.com/v3.1/organizations/berry-kitchen,"",18017
Sovereign’s Capital,trustify,https://api.crunchbase.com/v3.1/organizations/trustify,"",11054
Sovereign’s Capital,thrive-farmers,https://api.crunchbase.com/v3.1/organizations/thrive-farmers,"",206744
Sovereign’s Capital,bridestory,https://api.crunchbase.com/v3.1/organizations/bridestory,"",48894
Sovereign’s Capital,anutra-medical,https://api.crunchbase.com/v3.1/organizations/anutra-medical,"",48310
Sovereign’s Capital,kammok,https://api.crunchbase.com/v3.1/organizations/kammok,"",44132
Sovereign’s Capital,dressabelle,https://api.crunchbase.com/v3.1/organizations/dressabelle,"",57566
