Organization Name,Invested In,Api Url,Description,Rank
Spider Capital,airbud-technologies-inc,https://api.crunchbase.com/v3.1/organizations/airbud-technologies-inc,"",2614
Spider Capital,testim,https://api.crunchbase.com/v3.1/organizations/testim,"",2719
Spider Capital,percepto,https://api.crunchbase.com/v3.1/organizations/percepto,"",5035
Spider Capital,boomtown-inc,https://api.crunchbase.com/v3.1/organizations/boomtown-inc,"",8420
Spider Capital,logiwa,https://api.crunchbase.com/v3.1/organizations/logiwa,"",14875
Spider Capital,backbone-plm-inc,https://api.crunchbase.com/v3.1/organizations/backbone-plm-inc,"",2426
Spider Capital,raken-inc,https://api.crunchbase.com/v3.1/organizations/raken-inc,"",30059
Spider Capital,alpha-ux,https://api.crunchbase.com/v3.1/organizations/alpha-ux,"",34183
Spider Capital,workast,https://api.crunchbase.com/v3.1/organizations/workast,"",82279
Spider Capital,sparta-science,https://api.crunchbase.com/v3.1/organizations/sparta-science,"",7784
Spider Capital,marketmuse,https://api.crunchbase.com/v3.1/organizations/marketmuse,"",7537
Spider Capital,keewi-4,https://api.crunchbase.com/v3.1/organizations/keewi-4,"",87912
Spider Capital,digital-genius-artificial-intelligence,https://api.crunchbase.com/v3.1/organizations/digital-genius-artificial-intelligence,"",31853
Spider Capital,waycare,https://api.crunchbase.com/v3.1/organizations/waycare,"",53781
Spider Capital,spoke-6,https://api.crunchbase.com/v3.1/organizations/spoke-6,"",3421
Spider Capital,visual-vocal,https://api.crunchbase.com/v3.1/organizations/visual-vocal,"",22655
Spider Capital,bonfire-interactive,https://api.crunchbase.com/v3.1/organizations/bonfire-interactive,"",8746
Spider Capital,taplytics,https://api.crunchbase.com/v3.1/organizations/taplytics,"",8403
Spider Capital,fraudscope,https://api.crunchbase.com/v3.1/organizations/fraudscope,"",22897
Spider Capital,imubit,https://api.crunchbase.com/v3.1/organizations/imubit,"",13780
Spider Capital,koan,https://api.crunchbase.com/v3.1/organizations/koan,"",18036
Spider Capital,celential-ai,https://api.crunchbase.com/v3.1/organizations/celential-ai,"",188854
Spider Capital,rescour,https://api.crunchbase.com/v3.1/organizations/rescour,"",24216
