Organization Name,Invested In,Api Url,Description,Rank
StartX (Stanford-StartX Fund),naluri-hidup,https://api.crunchbase.com/v3.1/organizations/naluri-hidup,"",4755
StartX (Stanford-StartX Fund),swiftlyinc,https://api.crunchbase.com/v3.1/organizations/swiftlyinc,"",3465
StartX (Stanford-StartX Fund),core-wellness,https://api.crunchbase.com/v3.1/organizations/core-wellness,"",8863
StartX (Stanford-StartX Fund),audacy-space,https://api.crunchbase.com/v3.1/organizations/audacy-space,"",8036
StartX (Stanford-StartX Fund),mojo-vision,https://api.crunchbase.com/v3.1/organizations/mojo-vision,"",2786
StartX (Stanford-StartX Fund),bioz-inc,https://api.crunchbase.com/v3.1/organizations/bioz-inc,"",7222
StartX (Stanford-StartX Fund),knotch,https://api.crunchbase.com/v3.1/organizations/knotch,"",4004
StartX (Stanford-StartX Fund),boosted-boards,https://api.crunchbase.com/v3.1/organizations/boosted-boards,"",1934
StartX (Stanford-StartX Fund),imprimed,https://api.crunchbase.com/v3.1/organizations/imprimed,"",19681
StartX (Stanford-StartX Fund),firefly-3919,https://api.crunchbase.com/v3.1/organizations/firefly-3919,"",640
StartX (Stanford-StartX Fund),prescient-surgical,https://api.crunchbase.com/v3.1/organizations/prescient-surgical,"",26214
StartX (Stanford-StartX Fund),oh-my-green,https://api.crunchbase.com/v3.1/organizations/oh-my-green,"",2955
StartX (Stanford-StartX Fund),coinalpha-inc,https://api.crunchbase.com/v3.1/organizations/coinalpha-inc,"",18502
StartX (Stanford-StartX Fund),madorra,https://api.crunchbase.com/v3.1/organizations/madorra,"",23508
StartX (Stanford-StartX Fund),immune-onc-therapeutics,https://api.crunchbase.com/v3.1/organizations/immune-onc-therapeutics,"",20628
StartX (Stanford-StartX Fund),haystacktv,https://api.crunchbase.com/v3.1/organizations/haystacktv,"",13240
StartX (Stanford-StartX Fund),kinedu,https://api.crunchbase.com/v3.1/organizations/kinedu,"",8601
StartX (Stanford-StartX Fund),hepatx,https://api.crunchbase.com/v3.1/organizations/hepatx,"",35952
StartX (Stanford-StartX Fund),beddr-sleep,https://api.crunchbase.com/v3.1/organizations/beddr-sleep,"",9852
StartX (Stanford-StartX Fund),remedly-inc,https://api.crunchbase.com/v3.1/organizations/remedly-inc,"",10613
StartX (Stanford-StartX Fund),speak-music-inc,https://api.crunchbase.com/v3.1/organizations/speak-music-inc,"",35363
StartX (Stanford-StartX Fund),bolt-5,https://api.crunchbase.com/v3.1/organizations/bolt-5,"",2305
StartX (Stanford-StartX Fund),subtle-medical,https://api.crunchbase.com/v3.1/organizations/subtle-medical,"",62075
StartX (Stanford-StartX Fund),luma-health,https://api.crunchbase.com/v3.1/organizations/luma-health,"",34281
StartX (Stanford-StartX Fund),fictiv,https://api.crunchbase.com/v3.1/organizations/fictiv,"",2525
StartX (Stanford-StartX Fund),hint-health,https://api.crunchbase.com/v3.1/organizations/hint-health,"",7124
StartX (Stanford-StartX Fund),babyquip,https://api.crunchbase.com/v3.1/organizations/babyquip,"",22175
StartX (Stanford-StartX Fund),zenflow,https://api.crunchbase.com/v3.1/organizations/zenflow,"",13500
StartX (Stanford-StartX Fund),omny,https://api.crunchbase.com/v3.1/organizations/omny,"",84565
StartX (Stanford-StartX Fund),prodigy-2,https://api.crunchbase.com/v3.1/organizations/prodigy-2,"",4322
StartX (Stanford-StartX Fund),datatron,https://api.crunchbase.com/v3.1/organizations/datatron,"",12138
StartX (Stanford-StartX Fund),arundo-analytics,https://api.crunchbase.com/v3.1/organizations/arundo-analytics,"",5407
StartX (Stanford-StartX Fund),trusttoken,https://api.crunchbase.com/v3.1/organizations/trusttoken,"",3501
StartX (Stanford-StartX Fund),zinier,https://api.crunchbase.com/v3.1/organizations/zinier,"",2367
StartX (Stanford-StartX Fund),pando,https://api.crunchbase.com/v3.1/organizations/pando,"",8442
StartX (Stanford-StartX Fund),crowdamp-inc,https://api.crunchbase.com/v3.1/organizations/crowdamp-inc,"",32468
StartX (Stanford-StartX Fund),scoutible,https://api.crunchbase.com/v3.1/organizations/scoutible,"",10838
StartX (Stanford-StartX Fund),summer-technologies,https://api.crunchbase.com/v3.1/organizations/summer-technologies,"",17572
StartX (Stanford-StartX Fund),brilliant-home-technology,https://api.crunchbase.com/v3.1/organizations/brilliant-home-technology,"",41838
StartX (Stanford-StartX Fund),angaza-design,https://api.crunchbase.com/v3.1/organizations/angaza-design,"",7136
StartX (Stanford-StartX Fund),cardinal-analytx-solutions,https://api.crunchbase.com/v3.1/organizations/cardinal-analytx-solutions,"",4265
StartX (Stanford-StartX Fund),clearmetal,https://api.crunchbase.com/v3.1/organizations/clearmetal,"",4545
