Organization Name,Invested In,Api Url,Description,Rank
Starta Accelerator,influreply,https://api.crunchbase.com/v3.1/organizations/influreply,"",48361
Starta Accelerator,golondrix-inc,https://api.crunchbase.com/v3.1/organizations/golondrix-inc,"",126003
Starta Accelerator,propzie-automating-your-short-term-rental,https://api.crunchbase.com/v3.1/organizations/propzie-automating-your-short-term-rental,"",44365
Starta Accelerator,mr-booster,https://api.crunchbase.com/v3.1/organizations/mr-booster,"",46579
Starta Accelerator,dealdep,https://api.crunchbase.com/v3.1/organizations/dealdep,"",43387
Starta Accelerator,nwp-solution,https://api.crunchbase.com/v3.1/organizations/nwp-solution,"",72944
Starta Accelerator,panda-money,https://api.crunchbase.com/v3.1/organizations/panda-money,"",51775
Starta Accelerator,kryptaxe,https://api.crunchbase.com/v3.1/organizations/kryptaxe,"",64105
Starta Accelerator,test4startup,https://api.crunchbase.com/v3.1/organizations/test4startup,"",83838
Starta Accelerator,getlooky,https://api.crunchbase.com/v3.1/organizations/getlooky,"",72898
Starta Accelerator,giglob,https://api.crunchbase.com/v3.1/organizations/giglob,"",104880
Starta Accelerator,100andmore,https://api.crunchbase.com/v3.1/organizations/100andmore,"",48889
Starta Accelerator,beerbet,https://api.crunchbase.com/v3.1/organizations/beerbet,"",39333
Starta Accelerator,bringmegift,https://api.crunchbase.com/v3.1/organizations/bringmegift,"",50941
Starta Accelerator,nativeos,https://api.crunchbase.com/v3.1/organizations/nativeos,"",87112
Starta Accelerator,axissystems,https://api.crunchbase.com/v3.1/organizations/axissystems,"",67725
Starta Accelerator,puresine,https://api.crunchbase.com/v3.1/organizations/puresine,"",74836
Starta Accelerator,ctrlshift-co,https://api.crunchbase.com/v3.1/organizations/ctrlshift-co,"",71993
Starta Accelerator,webjets,https://api.crunchbase.com/v3.1/organizations/webjets,"",47837
Starta Accelerator,sponytana,https://api.crunchbase.com/v3.1/organizations/sponytana,"",66654
Starta Accelerator,palatine-analytics,https://api.crunchbase.com/v3.1/organizations/palatine-analytics,"",50945
Starta Accelerator,urbanavtic,https://api.crunchbase.com/v3.1/organizations/urbanavtic,"",71478
Starta Accelerator,mishka-ai,https://api.crunchbase.com/v3.1/organizations/mishka-ai,"",33025
Starta Accelerator,stringershub,https://api.crunchbase.com/v3.1/organizations/stringershub,"",56213
Starta Accelerator,skyguru,https://api.crunchbase.com/v3.1/organizations/skyguru,"",68271
Starta Accelerator,mastakey,https://api.crunchbase.com/v3.1/organizations/mastakey,"",85412
Starta Accelerator,periodix,https://api.crunchbase.com/v3.1/organizations/periodix,"",209589
Starta Accelerator,botscape,https://api.crunchbase.com/v3.1/organizations/botscape,"",61273
Starta Accelerator,pitchme,https://api.crunchbase.com/v3.1/organizations/pitchme,"",85401
Starta Accelerator,unlevel,https://api.crunchbase.com/v3.1/organizations/unlevel,"",75815
Starta Accelerator,creditor-ai,https://api.crunchbase.com/v3.1/organizations/creditor-ai,"",60136
Starta Accelerator,kuoll,https://api.crunchbase.com/v3.1/organizations/kuoll,"",61705
Starta Accelerator,protokol-inc,https://api.crunchbase.com/v3.1/organizations/protokol-inc,"",69441
Starta Accelerator,the-journey,https://api.crunchbase.com/v3.1/organizations/the-journey,"",53344
Starta Accelerator,bnesis,https://api.crunchbase.com/v3.1/organizations/bnesis,"",36936
Starta Accelerator,friendlydata,https://api.crunchbase.com/v3.1/organizations/friendlydata,"",16321
Starta Accelerator,sendpulse,https://api.crunchbase.com/v3.1/organizations/sendpulse,"",29242
Starta Accelerator,cardiomo-care,https://api.crunchbase.com/v3.1/organizations/cardiomo-care,"",22579
Starta Accelerator,e-contenta,https://api.crunchbase.com/v3.1/organizations/e-contenta,"",49946
Starta Accelerator,kidbee,https://api.crunchbase.com/v3.1/organizations/kidbee,"",75035
Starta Accelerator,insense-2,https://api.crunchbase.com/v3.1/organizations/insense-2,"",23665
Starta Accelerator,aerostate,https://api.crunchbase.com/v3.1/organizations/aerostate,"",53002
Starta Accelerator,revealytics,https://api.crunchbase.com/v3.1/organizations/revealytics,"",65833
Starta Accelerator,geocv,https://api.crunchbase.com/v3.1/organizations/geocv,"",14882
Starta Accelerator,jethunter,https://api.crunchbase.com/v3.1/organizations/jethunter,"",48427
