Organization Name,Invested In,Api Url,Description,Rank
Starve Ups,sensi-graves-bikinis,https://api.crunchbase.com/v3.1/organizations/sensi-graves-bikinis,"",508569
Starve Ups,the-sock-porter,https://api.crunchbase.com/v3.1/organizations/the-sock-porter,"",629068
Starve Ups,innovative-dental-technologies--inc,https://api.crunchbase.com/v3.1/organizations/innovative-dental-technologies--inc,"",334750
Starve Ups,animosa,https://api.crunchbase.com/v3.1/organizations/animosa,"",440779
Starve Ups,minim-gear,https://api.crunchbase.com/v3.1/organizations/minim-gear,"",285472
Starve Ups,spark-grills,https://api.crunchbase.com/v3.1/organizations/spark-grills,"",77547
Starve Ups,trail-supply-co,https://api.crunchbase.com/v3.1/organizations/trail-supply-co,"",344167
Starve Ups,real-live-food,https://api.crunchbase.com/v3.1/organizations/real-live-food,"",560697
Starve Ups,fit-kitchen-direct,https://api.crunchbase.com/v3.1/organizations/fit-kitchen-direct,"",223002
Starve Ups,roaster-tools,https://api.crunchbase.com/v3.1/organizations/roaster-tools,"",153166
Starve Ups,carthook,https://api.crunchbase.com/v3.1/organizations/carthook,"",30263
Starve Ups,scout-military-discounts,https://api.crunchbase.com/v3.1/organizations/scout-military-discounts,"",71916
Starve Ups,convertist,https://api.crunchbase.com/v3.1/organizations/convertist,"",190755
Starve Ups,appointlet,https://api.crunchbase.com/v3.1/organizations/appointlet,"",129709
Starve Ups,cricket-flours,https://api.crunchbase.com/v3.1/organizations/cricket-flours,"",200061
Starve Ups,stitcharama,https://api.crunchbase.com/v3.1/organizations/stitcharama,"",509500
Starve Ups,20-leagues,https://api.crunchbase.com/v3.1/organizations/20-leagues,"",367234
Starve Ups,portland-bitter-project,https://api.crunchbase.com/v3.1/organizations/portland-bitter-project,"",477055
Starve Ups,sightbox,https://api.crunchbase.com/v3.1/organizations/sightbox,"",14282
Starve Ups,lola-s-fruit-shrubs,https://api.crunchbase.com/v3.1/organizations/lola-s-fruit-shrubs,"",604395
Starve Ups,miracle-query,https://api.crunchbase.com/v3.1/organizations/miracle-query,"",562755
Starve Ups,bushel-box,https://api.crunchbase.com/v3.1/organizations/bushel-box,"",396726
Starve Ups,gear-fc,https://api.crunchbase.com/v3.1/organizations/gear-fc,"",477703
Starve Ups,gathrly,https://api.crunchbase.com/v3.1/organizations/gathrly,"",73051
Starve Ups,roam-fitness,https://api.crunchbase.com/v3.1/organizations/roam-fitness,"",118960
Starve Ups,wedbrilliant,https://api.crunchbase.com/v3.1/organizations/wedbrilliant,"",253080
Starve Ups,bike-friday,https://api.crunchbase.com/v3.1/organizations/bike-friday,"",80481
Starve Ups,society-nine,https://api.crunchbase.com/v3.1/organizations/society-nine,"",74747
Starve Ups,onthego-platforms,https://api.crunchbase.com/v3.1/organizations/onthego-platforms,"",27837
Starve Ups,tellagence,https://api.crunchbase.com/v3.1/organizations/tellagence,"",78371
Starve Ups,cognitopia,https://api.crunchbase.com/v3.1/organizations/cognitopia,"",395448
Starve Ups,capsci-health,https://api.crunchbase.com/v3.1/organizations/capsci-health,"",412136
Starve Ups,odd-i-o,https://api.crunchbase.com/v3.1/organizations/odd-i-o,"",457879
Starve Ups,cowbucker,https://api.crunchbase.com/v3.1/organizations/cowbucker,"",215629
Starve Ups,dr--mcgrath,https://api.crunchbase.com/v3.1/organizations/dr--mcgrath,"",344326
Starve Ups,the-digits,https://api.crunchbase.com/v3.1/organizations/the-digits,"",660533
Starve Ups,pitch-dark-chocolate,https://api.crunchbase.com/v3.1/organizations/pitch-dark-chocolate,"",289195
Starve Ups,vidi-jobs,https://api.crunchbase.com/v3.1/organizations/vidi-jobs,"",364565
Starve Ups,buddyup,https://api.crunchbase.com/v3.1/organizations/buddyup,"",67565
Starve Ups,sunsama,https://api.crunchbase.com/v3.1/organizations/sunsama,"",17839
Starve Ups,fungi-for-the-people,https://api.crunchbase.com/v3.1/organizations/fungi-for-the-people,"",473014
Starve Ups,theme-dragon,https://api.crunchbase.com/v3.1/organizations/theme-dragon,"",204584
Starve Ups,goodbeing,https://api.crunchbase.com/v3.1/organizations/goodbeing,"",208728
Starve Ups,cedar-boat-works,https://api.crunchbase.com/v3.1/organizations/cedar-boat-works,"",478233
Starve Ups,sitecast,https://api.crunchbase.com/v3.1/organizations/sitecast,"",226734
Starve Ups,financial-genome,https://api.crunchbase.com/v3.1/organizations/financial-genome,"",524033
Starve Ups,pagatim,https://api.crunchbase.com/v3.1/organizations/pagatim,"",560535
Starve Ups,tiqlr,https://api.crunchbase.com/v3.1/organizations/tiqlr,"",731788
Starve Ups,red-duck-foods,https://api.crunchbase.com/v3.1/organizations/red-duck-foods,"",176436
Starve Ups,hallspot,https://api.crunchbase.com/v3.1/organizations/hallspot,"",74621
Starve Ups,oreganik,https://api.crunchbase.com/v3.1/organizations/oreganik,"",610309
Starve Ups,top-level-design,https://api.crunchbase.com/v3.1/organizations/top-level-design,"",432325
Starve Ups,dyscover-me,https://api.crunchbase.com/v3.1/organizations/dyscover-me,"",646224
Starve Ups,manage-my-co-op,https://api.crunchbase.com/v3.1/organizations/manage-my-co-op,"",470220
Starve Ups,maka-brew,https://api.crunchbase.com/v3.1/organizations/maka-brew,"",738674
Starve Ups,bt-biotech,https://api.crunchbase.com/v3.1/organizations/bt-biotech,"",349549
Starve Ups,mxresearch,https://api.crunchbase.com/v3.1/organizations/mxresearch,"",163021
Starve Ups,light-dance,https://api.crunchbase.com/v3.1/organizations/light-dance,"",772291
Starve Ups,nemametrix,https://api.crunchbase.com/v3.1/organizations/nemametrix,"",8666
Starve Ups,dune-science,https://api.crunchbase.com/v3.1/organizations/dune-science,"",64667
Starve Ups,greenrope,https://api.crunchbase.com/v3.1/organizations/greenrope,"",109805
Starve Ups,suprasensor,https://api.crunchbase.com/v3.1/organizations/suprasensor,"",269863
