Organization Name,Invested In,Api Url,Description,Rank
Stout Street Capital,workhound,https://api.crunchbase.com/v3.1/organizations/workhound,"",6925
Stout Street Capital,bellwethr,https://api.crunchbase.com/v3.1/organizations/bellwethr,"",10174
Stout Street Capital,oncall-health,https://api.crunchbase.com/v3.1/organizations/oncall-health,"",14595
Stout Street Capital,homelister,https://api.crunchbase.com/v3.1/organizations/homelister,"",20251
Stout Street Capital,schola,https://api.crunchbase.com/v3.1/organizations/schola,"",29520
Stout Street Capital,rmark-bio-inc,https://api.crunchbase.com/v3.1/organizations/rmark-bio-inc,"",23306
Stout Street Capital,allbound,https://api.crunchbase.com/v3.1/organizations/allbound,"",8667
Stout Street Capital,curate,https://api.crunchbase.com/v3.1/organizations/curate,"",23787
Stout Street Capital,tomahawk-robotics,https://api.crunchbase.com/v3.1/organizations/tomahawk-robotics,"",16649
Stout Street Capital,prospectify,https://api.crunchbase.com/v3.1/organizations/prospectify,"",23842
Stout Street Capital,blockthrough,https://api.crunchbase.com/v3.1/organizations/blockthrough,"",20352
Stout Street Capital,the-minte,https://api.crunchbase.com/v3.1/organizations/the-minte,"",14752
Stout Street Capital,talentkode,https://api.crunchbase.com/v3.1/organizations/talentkode,"",119733
Stout Street Capital,hippo-manager-software-inc,https://api.crunchbase.com/v3.1/organizations/hippo-manager-software-inc,"",25217
Stout Street Capital,left-hand-robotics-inc,https://api.crunchbase.com/v3.1/organizations/left-hand-robotics-inc,"",14598
Stout Street Capital,popwallet,https://api.crunchbase.com/v3.1/organizations/popwallet,"",15751
Stout Street Capital,powderkeg,https://api.crunchbase.com/v3.1/organizations/powderkeg,"",147348
Stout Street Capital,worldviz,https://api.crunchbase.com/v3.1/organizations/worldviz,"",14291
Stout Street Capital,costello,https://api.crunchbase.com/v3.1/organizations/costello,"",12052
Stout Street Capital,bitsbox,https://api.crunchbase.com/v3.1/organizations/bitsbox,"",11830
Stout Street Capital,idle-smart,https://api.crunchbase.com/v3.1/organizations/idle-smart,"",34847
Stout Street Capital,blastpoint,https://api.crunchbase.com/v3.1/organizations/blastpoint,"",31473
Stout Street Capital,roadbotics-inc,https://api.crunchbase.com/v3.1/organizations/roadbotics-inc,"",1274
Stout Street Capital,hover-developer-services-inc,https://api.crunchbase.com/v3.1/organizations/hover-developer-services-inc,"",111755
Stout Street Capital,felt,https://api.crunchbase.com/v3.1/organizations/felt,"",25466
Stout Street Capital,vetty,https://api.crunchbase.com/v3.1/organizations/vetty,"",90100
Stout Street Capital,threat-x,https://api.crunchbase.com/v3.1/organizations/threat-x,"",49399
Stout Street Capital,sickweather,https://api.crunchbase.com/v3.1/organizations/sickweather,"",27407
Stout Street Capital,incident-response-technologies,https://api.crunchbase.com/v3.1/organizations/incident-response-technologies,"",38820
Stout Street Capital,prieto-battery,https://api.crunchbase.com/v3.1/organizations/prieto-battery,"",24753
Stout Street Capital,datavia-systems,https://api.crunchbase.com/v3.1/organizations/datavia-systems,"",148821
Stout Street Capital,teltoo,https://api.crunchbase.com/v3.1/organizations/teltoo,"",120522
Stout Street Capital,cheddar-up,https://api.crunchbase.com/v3.1/organizations/cheddar-up,"",23012
Stout Street Capital,the-food-corridor,https://api.crunchbase.com/v3.1/organizations/the-food-corridor,"",31049
Stout Street Capital,groupflix,https://api.crunchbase.com/v3.1/organizations/groupflix,"",36062
Stout Street Capital,clinone,https://api.crunchbase.com/v3.1/organizations/clinone,"",30036
Stout Street Capital,pharmajet,https://api.crunchbase.com/v3.1/organizations/pharmajet,"",19887
Stout Street Capital,realvision,https://api.crunchbase.com/v3.1/organizations/realvision,"",28213
Stout Street Capital,sitter-inc,https://api.crunchbase.com/v3.1/organizations/sitter-inc,"",24975
Stout Street Capital,international-thermodyne,https://api.crunchbase.com/v3.1/organizations/international-thermodyne,"",50388
Stout Street Capital,fpl-nokero,https://api.crunchbase.com/v3.1/organizations/fpl-nokero,"",125278
Stout Street Capital,valor-water-analytics,https://api.crunchbase.com/v3.1/organizations/valor-water-analytics,"",25296
