Organization Name,Invested In,Api Url,Description,Rank
Struck Capital,aquabyte,https://api.crunchbase.com/v3.1/organizations/aquabyte,"",2697
Struck Capital,brainbase,https://api.crunchbase.com/v3.1/organizations/brainbase,"",10893
Struck Capital,sendoso,https://api.crunchbase.com/v3.1/organizations/sendoso,"",2116
Struck Capital,mojo-vision,https://api.crunchbase.com/v3.1/organizations/mojo-vision,"",2786
Struck Capital,werecover,https://api.crunchbase.com/v3.1/organizations/werecover,"",5229
Struck Capital,wundermobility,https://api.crunchbase.com/v3.1/organizations/wundermobility,"",2720
Struck Capital,iopipe,https://api.crunchbase.com/v3.1/organizations/iopipe,"",10355
Struck Capital,scratch-financial,https://api.crunchbase.com/v3.1/organizations/scratch-financial,"",10281
Struck Capital,panda-3,https://api.crunchbase.com/v3.1/organizations/panda-3,"",13946
Struck Capital,mode,https://api.crunchbase.com/v3.1/organizations/mode,"",44220
Struck Capital,contentbox,https://api.crunchbase.com/v3.1/organizations/contentbox,"",152717
Struck Capital,zerocater,https://api.crunchbase.com/v3.1/organizations/zerocater,"",4461
Struck Capital,asayinc,https://api.crunchbase.com/v3.1/organizations/asayinc,"",6944
Struck Capital,knowherehq,https://api.crunchbase.com/v3.1/organizations/knowherehq,"",14417
Struck Capital,ample-hills-creamery,https://api.crunchbase.com/v3.1/organizations/ample-hills-creamery,"",16659
Struck Capital,orchid-labs,https://api.crunchbase.com/v3.1/organizations/orchid-labs,"",42944
Struck Capital,unbound-4,https://api.crunchbase.com/v3.1/organizations/unbound-4,"",7374
Struck Capital,comparaguru,https://api.crunchbase.com/v3.1/organizations/comparaguru,"",9768
Struck Capital,atrium-lts,https://api.crunchbase.com/v3.1/organizations/atrium-lts,"",1172
Struck Capital,bunker-ventures,https://api.crunchbase.com/v3.1/organizations/bunker-ventures,"",4899
Struck Capital,humi-hr,https://api.crunchbase.com/v3.1/organizations/humi-hr,"",75661
Struck Capital,liquiglide,https://api.crunchbase.com/v3.1/organizations/liquiglide,"",17010
Struck Capital,raptor-maps,https://api.crunchbase.com/v3.1/organizations/raptor-maps,"",17565
Struck Capital,oti-lumionics,https://api.crunchbase.com/v3.1/organizations/oti-lumionics,"",101354
Struck Capital,joymode,https://api.crunchbase.com/v3.1/organizations/joymode,"",6216
Struck Capital,skedaddle,https://api.crunchbase.com/v3.1/organizations/skedaddle,"",13513
Struck Capital,cohealo,https://api.crunchbase.com/v3.1/organizations/cohealo,"",13843
Struck Capital,jumpcut-studios,https://api.crunchbase.com/v3.1/organizations/jumpcut-studios,"",10189
Struck Capital,hellotwist,https://api.crunchbase.com/v3.1/organizations/hellotwist,"",32408
Struck Capital,quilt-2,https://api.crunchbase.com/v3.1/organizations/quilt-2,"",14178
Struck Capital,flexreceipts,https://api.crunchbase.com/v3.1/organizations/flexreceipts,"",14911
Struck Capital,zenprospect,https://api.crunchbase.com/v3.1/organizations/zenprospect,"",3897
Struck Capital,lendingfront,https://api.crunchbase.com/v3.1/organizations/lendingfront,"",8243
Struck Capital,tribogenics,https://api.crunchbase.com/v3.1/organizations/tribogenics,"",19109
Struck Capital,seed-cx,https://api.crunchbase.com/v3.1/organizations/seed-cx,"",3776
Struck Capital,alchemy-43,https://api.crunchbase.com/v3.1/organizations/alchemy-43,"",99441
Struck Capital,tachyus,https://api.crunchbase.com/v3.1/organizations/tachyus,"",5680
