Organization Name,Invested In,Api Url,Description,Rank
Structure Capital,copia-2,https://api.crunchbase.com/v3.1/organizations/copia-2,"",2671
Structure Capital,sonderstays,https://api.crunchbase.com/v3.1/organizations/sonderstays,"",58
Structure Capital,careguide,https://api.crunchbase.com/v3.1/organizations/careguide,"",8808
Structure Capital,canopy-f5b7,https://api.crunchbase.com/v3.1/organizations/canopy-f5b7,"",17787
Structure Capital,hyp3r,https://api.crunchbase.com/v3.1/organizations/hyp3r,"",6119
Structure Capital,honk-2,https://api.crunchbase.com/v3.1/organizations/honk-2,"",3810
Structure Capital,shearshare,https://api.crunchbase.com/v3.1/organizations/shearshare,"",8609
Structure Capital,iggbo,https://api.crunchbase.com/v3.1/organizations/iggbo,"",56325
Structure Capital,shift-12,https://api.crunchbase.com/v3.1/organizations/shift-12,"",8759
Structure Capital,tribalist,https://api.crunchbase.com/v3.1/organizations/tribalist,"",21190
Structure Capital,food-ee,https://api.crunchbase.com/v3.1/organizations/food-ee,"",9891
Structure Capital,quilt-3,https://api.crunchbase.com/v3.1/organizations/quilt-3,"",17729
Structure Capital,saucey,https://api.crunchbase.com/v3.1/organizations/saucey,"",7860
Structure Capital,rinse,https://api.crunchbase.com/v3.1/organizations/rinse,"",2886
Structure Capital,liquiglide,https://api.crunchbase.com/v3.1/organizations/liquiglide,"",17010
Structure Capital,pogoseat,https://api.crunchbase.com/v3.1/organizations/pogoseat,"",19669
Structure Capital,sourceasy,https://api.crunchbase.com/v3.1/organizations/sourceasy,"",20304
Structure Capital,boon-and-gable,https://api.crunchbase.com/v3.1/organizations/boon-and-gable,"",16963
Structure Capital,tinkergarten,https://api.crunchbase.com/v3.1/organizations/tinkergarten,"",7263
Structure Capital,gogogab,https://api.crunchbase.com/v3.1/organizations/gogogab,"",75441
Structure Capital,flyp,https://api.crunchbase.com/v3.1/organizations/flyp,"",38582
Structure Capital,suiteness,https://api.crunchbase.com/v3.1/organizations/suiteness,"",50306
Structure Capital,stellar-labs,https://api.crunchbase.com/v3.1/organizations/stellar-labs,"",8053
Structure Capital,peerspace,https://api.crunchbase.com/v3.1/organizations/peerspace,"",1612
Structure Capital,envoy-4,https://api.crunchbase.com/v3.1/organizations/envoy-4,"",21689
Structure Capital,neighborly,https://api.crunchbase.com/v3.1/organizations/neighborly,"",33568
Structure Capital,doorman,https://api.crunchbase.com/v3.1/organizations/doorman,"",9840
Structure Capital,vantage-sports,https://api.crunchbase.com/v3.1/organizations/vantage-sports,"",36248
Structure Capital,guiides,https://api.crunchbase.com/v3.1/organizations/guiides,"",49836
Structure Capital,shareshed,https://api.crunchbase.com/v3.1/organizations/shareshed,"",35193
Structure Capital,zirtual,https://api.crunchbase.com/v3.1/organizations/zirtual,"",15386
Structure Capital,wag,https://api.crunchbase.com/v3.1/organizations/wag,"",10732
Structure Capital,vacatia,https://api.crunchbase.com/v3.1/organizations/vacatia,"",14682
Structure Capital,beyond-pricing,https://api.crunchbase.com/v3.1/organizations/beyond-pricing,"",6719
Structure Capital,style-lend,https://api.crunchbase.com/v3.1/organizations/style-lend,"",14895
Structure Capital,chefs-feed,https://api.crunchbase.com/v3.1/organizations/chefs-feed,"",8829
Structure Capital,ticketlabs,https://api.crunchbase.com/v3.1/organizations/ticketlabs,"",40179
Structure Capital,fixed-3,https://api.crunchbase.com/v3.1/organizations/fixed-3,"",11800
Structure Capital,chicory,https://api.crunchbase.com/v3.1/organizations/chicory,"",18913
Structure Capital,cargomatic,https://api.crunchbase.com/v3.1/organizations/cargomatic,"",1622
Structure Capital,the-league,https://api.crunchbase.com/v3.1/organizations/the-league,"",8982
Structure Capital,pillow,https://api.crunchbase.com/v3.1/organizations/pillow,"",4458
Structure Capital,fitmob,https://api.crunchbase.com/v3.1/organizations/fitmob,"",12702
Structure Capital,merchbar,https://api.crunchbase.com/v3.1/organizations/merchbar,"",11153
Structure Capital,vaycayhero,https://api.crunchbase.com/v3.1/organizations/vaycayhero,"",28295
Structure Capital,kash-2,https://api.crunchbase.com/v3.1/organizations/kash-2,"",13386
Structure Capital,lenda,https://api.crunchbase.com/v3.1/organizations/lenda,"",8661
Structure Capital,moviepass,https://api.crunchbase.com/v3.1/organizations/moviepass,"",8045
Structure Capital,capseo,https://api.crunchbase.com/v3.1/organizations/capseo,"",36993
Structure Capital,laurelandwolf,https://api.crunchbase.com/v3.1/organizations/laurelandwolf,"",6025
Structure Capital,jobr,https://api.crunchbase.com/v3.1/organizations/jobr,"",15856
Structure Capital,partnered,https://api.crunchbase.com/v3.1/organizations/partnered,"",33879
Structure Capital,equidate,https://api.crunchbase.com/v3.1/organizations/equidate,"",1529
Structure Capital,makespace,https://api.crunchbase.com/v3.1/organizations/makespace,"",2315
Structure Capital,kangado,https://api.crunchbase.com/v3.1/organizations/kangado,"",8505
Structure Capital,the-dating-ring,https://api.crunchbase.com/v3.1/organizations/the-dating-ring,"",73830
Structure Capital,trailerpop,https://api.crunchbase.com/v3.1/organizations/trailerpop,"",67220
Structure Capital,guestdriven,https://api.crunchbase.com/v3.1/organizations/guestdriven,"",28935
Structure Capital,vessel,https://api.crunchbase.com/v3.1/organizations/vessel,"",56445
Structure Capital,stitch-2,https://api.crunchbase.com/v3.1/organizations/stitch-2,"",26838
Structure Capital,friend-trusted,https://api.crunchbase.com/v3.1/organizations/friend-trusted,"",252346
Structure Capital,breathometer,https://api.crunchbase.com/v3.1/organizations/breathometer,"",19725
Structure Capital,eshares,https://api.crunchbase.com/v3.1/organizations/eshares,"",12713
Structure Capital,boatbound,https://api.crunchbase.com/v3.1/organizations/boatbound,"",8384
Structure Capital,gigit,https://api.crunchbase.com/v3.1/organizations/gigit,"",44812
Structure Capital,popexpert,https://api.crunchbase.com/v3.1/organizations/popexpert,"",32106
Structure Capital,willcall,https://api.crunchbase.com/v3.1/organizations/willcall,"",38403
Structure Capital,surf-air,https://api.crunchbase.com/v3.1/organizations/surf-air,"",6094
