Organization Name,Invested In,Api Url,Description,Rank
Sway Ventures,fetch-robotics,https://api.crunchbase.com/v3.1/organizations/fetch-robotics,"",5011
Sway Ventures,tally-technologies,https://api.crunchbase.com/v3.1/organizations/tally-technologies,"",416
Sway Ventures,owl-fdda,https://api.crunchbase.com/v3.1/organizations/owl-fdda,"",7378
Sway Ventures,slingshot-aerospace,https://api.crunchbase.com/v3.1/organizations/slingshot-aerospace,"",7642
Sway Ventures,blue-cedar-networks,https://api.crunchbase.com/v3.1/organizations/blue-cedar-networks,"",7458
Sway Ventures,mocana,https://api.crunchbase.com/v3.1/organizations/mocana,"",4233
Sway Ventures,affinity-inc,https://api.crunchbase.com/v3.1/organizations/affinity-inc,"",1993
Sway Ventures,measurabl,https://api.crunchbase.com/v3.1/organizations/measurabl,"",4870
Sway Ventures,camino-4ec2,https://api.crunchbase.com/v3.1/organizations/camino-4ec2,"",11024
Sway Ventures,penrose-studios,https://api.crunchbase.com/v3.1/organizations/penrose-studios,"",13824
Sway Ventures,medcrypt,https://api.crunchbase.com/v3.1/organizations/medcrypt,"",4950
Sway Ventures,hub-4,https://api.crunchbase.com/v3.1/organizations/hub-4,"",15672
Sway Ventures,simudyne,https://api.crunchbase.com/v3.1/organizations/simudyne,"",6770
Sway Ventures,macrometa,https://api.crunchbase.com/v3.1/organizations/macrometa,"",17288
Sway Ventures,avisare,https://api.crunchbase.com/v3.1/organizations/avisare,"",23527
Sway Ventures,node,https://api.crunchbase.com/v3.1/organizations/node,"",136
Sway Ventures,hytrust,https://api.crunchbase.com/v3.1/organizations/hytrust,"",5365
Sway Ventures,opengov,https://api.crunchbase.com/v3.1/organizations/opengov,"",2010
Sway Ventures,diamond-2,https://api.crunchbase.com/v3.1/organizations/diamond-2,"",30741
Sway Ventures,thngy,https://api.crunchbase.com/v3.1/organizations/thngy,"",3410
Sway Ventures,morphy,https://api.crunchbase.com/v3.1/organizations/morphy,"",15927
Sway Ventures,le-tote,https://api.crunchbase.com/v3.1/organizations/le-tote,"",1913
Sway Ventures,split-software,https://api.crunchbase.com/v3.1/organizations/split-software,"",4072
Sway Ventures,opaq-networks,https://api.crunchbase.com/v3.1/organizations/opaq-networks,"",12792
Sway Ventures,progress-ly,https://api.crunchbase.com/v3.1/organizations/progress-ly,"",18334
Sway Ventures,roam-analytics,https://api.crunchbase.com/v3.1/organizations/roam-analytics,"",6924
Sway Ventures,haven,https://api.crunchbase.com/v3.1/organizations/haven,"",3196
Sway Ventures,liveaction,https://api.crunchbase.com/v3.1/organizations/liveaction,"",5512
Sway Ventures,presdo,https://api.crunchbase.com/v3.1/organizations/presdo,"",23670
Sway Ventures,zealot-network,https://api.crunchbase.com/v3.1/organizations/zealot-network,"",18325
Sway Ventures,fanbread,https://api.crunchbase.com/v3.1/organizations/fanbread,"",34124
Sway Ventures,bat-blue-networks,https://api.crunchbase.com/v3.1/organizations/bat-blue-networks,"",29918
Sway Ventures,zanbato,https://api.crunchbase.com/v3.1/organizations/zanbato,"",8103
Sway Ventures,surf-air,https://api.crunchbase.com/v3.1/organizations/surf-air,"",6102
Sway Ventures,uber,https://api.crunchbase.com/v3.1/organizations/uber,"",42
Sway Ventures,3discovered,https://api.crunchbase.com/v3.1/organizations/3discovered,"",132871
Sway Ventures,booshaka,https://api.crunchbase.com/v3.1/organizations/booshaka,"",16067
Sway Ventures,addepar,https://api.crunchbase.com/v3.1/organizations/addepar,"",612
Sway Ventures,delectable,https://api.crunchbase.com/v3.1/organizations/delectable,"",23536
Sway Ventures,relateiq,https://api.crunchbase.com/v3.1/organizations/relateiq,"",7800
Sway Ventures,thinaire,https://api.crunchbase.com/v3.1/organizations/thinaire,"",140227
Sway Ventures,mogreet,https://api.crunchbase.com/v3.1/organizations/mogreet,"",56063
Sway Ventures,backplane,https://api.crunchbase.com/v3.1/organizations/backplane,"",17021
