Organization Name,Invested In,Api Url,Description,Rank
Tandem Capital,xstream-trucking,https://api.crunchbase.com/v3.1/organizations/xstream-trucking,"",11801
Tandem Capital,outdoorsy-co,https://api.crunchbase.com/v3.1/organizations/outdoorsy-co,"",18719
Tandem Capital,bellwether-coffee,https://api.crunchbase.com/v3.1/organizations/bellwether-coffee,"",11164
Tandem Capital,nomnomnow-inc,https://api.crunchbase.com/v3.1/organizations/nomnomnow-inc,"",6314
Tandem Capital,smartivity,https://api.crunchbase.com/v3.1/organizations/smartivity,"",46840
Tandem Capital,lambda-school,https://api.crunchbase.com/v3.1/organizations/lambda-school,"",425
Tandem Capital,packetzoom,https://api.crunchbase.com/v3.1/organizations/packetzoom,"",14759
Tandem Capital,cloudleaf-inc,https://api.crunchbase.com/v3.1/organizations/cloudleaf-inc,"",8152
Tandem Capital,deako,https://api.crunchbase.com/v3.1/organizations/deako,"",10062
Tandem Capital,7shifts,https://api.crunchbase.com/v3.1/organizations/7shifts,"",4050
Tandem Capital,restb-ai,https://api.crunchbase.com/v3.1/organizations/restb-ai,"",15802
Tandem Capital,holobuilder,https://api.crunchbase.com/v3.1/organizations/holobuilder,"",2281
Tandem Capital,boom-tv,https://api.crunchbase.com/v3.1/organizations/boom-tv,"",13118
Tandem Capital,sixa,https://api.crunchbase.com/v3.1/organizations/sixa,"",17850
Tandem Capital,phin,https://api.crunchbase.com/v3.1/organizations/phin,"",16095
Tandem Capital,purecarbon-2,https://api.crunchbase.com/v3.1/organizations/purecarbon-2,"",71142
Tandem Capital,realine-technology,https://api.crunchbase.com/v3.1/organizations/realine-technology,"",50735
Tandem Capital,tile,https://api.crunchbase.com/v3.1/organizations/tile,"",183
Tandem Capital,agroptima,https://api.crunchbase.com/v3.1/organizations/agroptima,"",18337
Tandem Capital,revlo,https://api.crunchbase.com/v3.1/organizations/revlo,"",27488
Tandem Capital,naia-health,https://api.crunchbase.com/v3.1/organizations/naia-health,"",20111
Tandem Capital,roominate,https://api.crunchbase.com/v3.1/organizations/roominate,"",33082
Tandem Capital,onlinetyari-com,https://api.crunchbase.com/v3.1/organizations/onlinetyari-com,"",9953
Tandem Capital,backbone-labs-inc,https://api.crunchbase.com/v3.1/organizations/backbone-labs-inc,"",37884
Tandem Capital,fanbread,https://api.crunchbase.com/v3.1/organizations/fanbread,"",34129
Tandem Capital,cuff,https://api.crunchbase.com/v3.1/organizations/cuff,"",33115
Tandem Capital,perchbaby,https://api.crunchbase.com/v3.1/organizations/perchbaby,"",82128
Tandem Capital,doublie,https://api.crunchbase.com/v3.1/organizations/doublie,"",323415
Tandem Capital,shoe-lovers,https://api.crunchbase.com/v3.1/organizations/shoe-lovers,"",120487
Tandem Capital,arbiter,https://api.crunchbase.com/v3.1/organizations/arbiter,"",320893
Tandem Capital,caarbon,https://api.crunchbase.com/v3.1/organizations/caarbon,"",145894
Tandem Capital,popslate,https://api.crunchbase.com/v3.1/organizations/popslate,"",215570
Tandem Capital,sift-shopping,https://api.crunchbase.com/v3.1/organizations/sift-shopping,"",58415
Tandem Capital,appington,https://api.crunchbase.com/v3.1/organizations/appington,"",79936
Tandem Capital,upout,https://api.crunchbase.com/v3.1/organizations/upout,"",36279
Tandem Capital,hometapper,https://api.crunchbase.com/v3.1/organizations/hometapper,"",96384
Tandem Capital,appthegame,https://api.crunchbase.com/v3.1/organizations/appthegame,"",53220
Tandem Capital,nokori,https://api.crunchbase.com/v3.1/organizations/nokori,"",109897
Tandem Capital,shoptimize-inc,https://api.crunchbase.com/v3.1/organizations/shoptimize-inc,"",96945
Tandem Capital,playhaven,https://api.crunchbase.com/v3.1/organizations/playhaven,"",10850
Tandem Capital,bash-gaming,https://api.crunchbase.com/v3.1/organizations/bash-gaming,"",41646
Tandem Capital,gimmie,https://api.crunchbase.com/v3.1/organizations/gimmie,"",39403
Tandem Capital,juice-in-the-city,https://api.crunchbase.com/v3.1/organizations/juice-in-the-city,"",63411
Tandem Capital,pagerduty,https://api.crunchbase.com/v3.1/organizations/pagerduty,"",181
Tandem Capital,zecter,https://api.crunchbase.com/v3.1/organizations/zecter,"",100981
Tandem Capital,flightcaster,https://api.crunchbase.com/v3.1/organizations/flightcaster,"",55509
Tandem Capital,attassa,https://api.crunchbase.com/v3.1/organizations/attassa,"",414938
Tandem Capital,localyte-com,https://api.crunchbase.com/v3.1/organizations/localyte-com,"",337341
