Organization Name,Invested In,Api Url,Description,Rank
Tao Capital Partners,eatsa,https://api.crunchbase.com/v3.1/organizations/eatsa,"",395
Tao Capital Partners,sonderstays,https://api.crunchbase.com/v3.1/organizations/sonderstays,"",58
Tao Capital Partners,powerhive,https://api.crunchbase.com/v3.1/organizations/powerhive,"",1994
Tao Capital Partners,skupos-inc,https://api.crunchbase.com/v3.1/organizations/skupos-inc,"",1143
Tao Capital Partners,pax-labs,https://api.crunchbase.com/v3.1/organizations/pax-labs,"",11453
Tao Capital Partners,rapiddeploy,https://api.crunchbase.com/v3.1/organizations/rapiddeploy,"",3099
Tao Capital Partners,foodmaven,https://api.crunchbase.com/v3.1/organizations/foodmaven,"",8003
Tao Capital Partners,temperpack,https://api.crunchbase.com/v3.1/organizations/temperpack,"",4131
Tao Capital Partners,greenlight-biosciences,https://api.crunchbase.com/v3.1/organizations/greenlight-biosciences,"",5342
Tao Capital Partners,100-thieves,https://api.crunchbase.com/v3.1/organizations/100-thieves,"",257
Tao Capital Partners,juul,https://api.crunchbase.com/v3.1/organizations/juul,"",815
Tao Capital Partners,proterra,https://api.crunchbase.com/v3.1/organizations/proterra,"",1470
Tao Capital Partners,benson-hill-biosystems,https://api.crunchbase.com/v3.1/organizations/benson-hill-biosystems,"",1315
Tao Capital Partners,raken-inc,https://api.crunchbase.com/v3.1/organizations/raken-inc,"",30059
Tao Capital Partners,ouster,https://api.crunchbase.com/v3.1/organizations/ouster,"",12374
Tao Capital Partners,mycotechnology,https://api.crunchbase.com/v3.1/organizations/mycotechnology,"",5066
Tao Capital Partners,soylent-corporation,https://api.crunchbase.com/v3.1/organizations/soylent-corporation,"",1002
Tao Capital Partners,mj-freeway,https://api.crunchbase.com/v3.1/organizations/mj-freeway,"",2206
Tao Capital Partners,908-devices,https://api.crunchbase.com/v3.1/organizations/908-devices,"",9240
Tao Capital Partners,apeel-sciences,https://api.crunchbase.com/v3.1/organizations/apeel-sciences,"",2573
Tao Capital Partners,seurat,https://api.crunchbase.com/v3.1/organizations/seurat,"",23786
Tao Capital Partners,zymergen,https://api.crunchbase.com/v3.1/organizations/zymergen,"",1769
Tao Capital Partners,ripple-foods,https://api.crunchbase.com/v3.1/organizations/ripple-foods,"",3232
Tao Capital Partners,revinate,https://api.crunchbase.com/v3.1/organizations/revinate,"",3588
Tao Capital Partners,bittitan-2,https://api.crunchbase.com/v3.1/organizations/bittitan-2,"",1665
Tao Capital Partners,enlighted,https://api.crunchbase.com/v3.1/organizations/enlighted,"",4774
Tao Capital Partners,granular,https://api.crunchbase.com/v3.1/organizations/granular,"",3626
Tao Capital Partners,dreambox-learning,https://api.crunchbase.com/v3.1/organizations/dreambox-learning,"",3725
Tao Capital Partners,metabiota,https://api.crunchbase.com/v3.1/organizations/metabiota,"",6634
Tao Capital Partners,just-inc,https://api.crunchbase.com/v3.1/organizations/just-inc,"",23491
Tao Capital Partners,aquion-energy,https://api.crunchbase.com/v3.1/organizations/aquion-energy,"",12874
