Organization Name,Invested In,Api Url,Description,Rank
Techstars Austin Accelerator,aghelp-llc,https://api.crunchbase.com/v3.1/organizations/aghelp-llc,"",26206
Techstars Austin Accelerator,mesur-io,https://api.crunchbase.com/v3.1/organizations/mesur-io,"",40037
Techstars Austin Accelerator,the-waggle-company,https://api.crunchbase.com/v3.1/organizations/the-waggle-company,"",87483
Techstars Austin Accelerator,rosso-flynn,https://api.crunchbase.com/v3.1/organizations/rosso-flynn,"",154069
Techstars Austin Accelerator,docstation,https://api.crunchbase.com/v3.1/organizations/docstation,"",43360
Techstars Austin Accelerator,allstacks,https://api.crunchbase.com/v3.1/organizations/allstacks,"",36141
Techstars Austin Accelerator,vän-robotics,https://api.crunchbase.com/v3.1/organizations/vän-robotics,"",41219
Techstars Austin Accelerator,transmute-industries,https://api.crunchbase.com/v3.1/organizations/transmute-industries,"",119567
Techstars Austin Accelerator,milkful,https://api.crunchbase.com/v3.1/organizations/milkful,"",150877
Techstars Austin Accelerator,skillpop,https://api.crunchbase.com/v3.1/organizations/skillpop,"",152229
Techstars Austin Accelerator,locus-insights,https://api.crunchbase.com/v3.1/organizations/locus-insights,"",41009
Techstars Austin Accelerator,prospectify,https://api.crunchbase.com/v3.1/organizations/prospectify,"",23842
Techstars Austin Accelerator,scale-factor-consulting,https://api.crunchbase.com/v3.1/organizations/scale-factor-consulting,"",1848
Techstars Austin Accelerator,nukern,https://api.crunchbase.com/v3.1/organizations/nukern,"",50407
Techstars Austin Accelerator,heysuper-com,https://api.crunchbase.com/v3.1/organizations/heysuper-com,"",85981
Techstars Austin Accelerator,citycop,https://api.crunchbase.com/v3.1/organizations/citycop,"",44123
Techstars Austin Accelerator,threatcare,https://api.crunchbase.com/v3.1/organizations/threatcare,"",20642
Techstars Austin Accelerator,invomatic,https://api.crunchbase.com/v3.1/organizations/invomatic,"",320250
Techstars Austin Accelerator,otterplan,https://api.crunchbase.com/v3.1/organizations/otterplan,"",63681
Techstars Austin Accelerator,writerduet,https://api.crunchbase.com/v3.1/organizations/writerduet,"",111642
Techstars Austin Accelerator,babbler,https://api.crunchbase.com/v3.1/organizations/babbler,"",33760
Techstars Austin Accelerator,permitzone,https://api.crunchbase.com/v3.1/organizations/permitzone,"",37885
Techstars Austin Accelerator,casabots,https://api.crunchbase.com/v3.1/organizations/casabots,"",8917
Techstars Austin Accelerator,the-helper-bees,https://api.crunchbase.com/v3.1/organizations/the-helper-bees,"",32624
Techstars Austin Accelerator,kandid-ly,https://api.crunchbase.com/v3.1/organizations/kandid-ly,"",36154
Techstars Austin Accelerator,popup-play,https://api.crunchbase.com/v3.1/organizations/popup-play,"",41760
Techstars Austin Accelerator,bamba-group,https://api.crunchbase.com/v3.1/organizations/bamba-group,"",42007
Techstars Austin Accelerator,remidi,https://api.crunchbase.com/v3.1/organizations/remidi,"",67688
Techstars Austin Accelerator,penpal-schools,https://api.crunchbase.com/v3.1/organizations/penpal-schools,"",27287
Techstars Austin Accelerator,carserv,https://api.crunchbase.com/v3.1/organizations/carserv,"",19207
Techstars Austin Accelerator,self-lender,https://api.crunchbase.com/v3.1/organizations/self-lender,"",4736
Techstars Austin Accelerator,hunting-locator,https://api.crunchbase.com/v3.1/organizations/hunting-locator,"",49753
Techstars Austin Accelerator,onemodel,https://api.crunchbase.com/v3.1/organizations/onemodel,"",19325
Techstars Austin Accelerator,wonders-2,https://api.crunchbase.com/v3.1/organizations/wonders-2,"",78540
Techstars Austin Accelerator,pushmote,https://api.crunchbase.com/v3.1/organizations/pushmote,"",56124
Techstars Austin Accelerator,red-fox-clan,https://api.crunchbase.com/v3.1/organizations/red-fox-clan,"",101152
Techstars Austin Accelerator,stoplight,https://api.crunchbase.com/v3.1/organizations/stoplight,"",12219
Techstars Austin Accelerator,metricstory,https://api.crunchbase.com/v3.1/organizations/metricstory,"",22337
Techstars Austin Accelerator,stylesage,https://api.crunchbase.com/v3.1/organizations/stylesage,"",10603
Techstars Austin Accelerator,fantasyhub,https://api.crunchbase.com/v3.1/organizations/fantasyhub,"",72208
Techstars Austin Accelerator,cloudblocks,https://api.crunchbase.com/v3.1/organizations/cloudblocks,"",20091
Techstars Austin Accelerator,lawnstarter,https://api.crunchbase.com/v3.1/organizations/lawnstarter,"",12020
Techstars Austin Accelerator,fashion-metric,https://api.crunchbase.com/v3.1/organizations/fashion-metric,"",8846
Techstars Austin Accelerator,convey,https://api.crunchbase.com/v3.1/organizations/convey,"",4968
Techstars Austin Accelerator,experiment-engine,https://api.crunchbase.com/v3.1/organizations/experiment-engine,"",32072
Techstars Austin Accelerator,smart-host,https://api.crunchbase.com/v3.1/organizations/smart-host,"",44873
Techstars Austin Accelerator,freetextbooks,https://api.crunchbase.com/v3.1/organizations/freetextbooks,"",130925
Techstars Austin Accelerator,cargo-io,https://api.crunchbase.com/v3.1/organizations/cargo-io,"",59191
Techstars Austin Accelerator,common-form-inc,https://api.crunchbase.com/v3.1/organizations/common-form-inc,"",89106
Techstars Austin Accelerator,burpy-com,https://api.crunchbase.com/v3.1/organizations/burpy-com,"",42309
Techstars Austin Accelerator,nmrkt,https://api.crunchbase.com/v3.1/organizations/nmrkt,"",59055
Techstars Austin Accelerator,protoexchange,https://api.crunchbase.com/v3.1/organizations/protoexchange,"",90773
Techstars Austin Accelerator,atlas,https://api.crunchbase.com/v3.1/organizations/atlas,"",14972
Techstars Austin Accelerator,filament-labs,https://api.crunchbase.com/v3.1/organizations/filament-labs,"",24173
Techstars Austin Accelerator,testlio,https://api.crunchbase.com/v3.1/organizations/testlio,"",10718
Techstars Austin Accelerator,fosbury,https://api.crunchbase.com/v3.1/organizations/fosbury,"",65703
Techstars Austin Accelerator,embrace,https://api.crunchbase.com/v3.1/organizations/embrace,"",214464
Techstars Austin Accelerator,marketvibe,https://api.crunchbase.com/v3.1/organizations/marketvibe,"",69453
Techstars Austin Accelerator,plum-3,https://api.crunchbase.com/v3.1/organizations/plum-3,"",23950
Techstars Austin Accelerator,gone,https://api.crunchbase.com/v3.1/organizations/gone,"",34211
Techstars Austin Accelerator,accountable,https://api.crunchbase.com/v3.1/organizations/accountable,"",21688
