Organization Name,Invested In,Api Url,Description,Rank
Techstars Boston Accelerator,uptimehealth,https://api.crunchbase.com/v3.1/organizations/uptimehealth,"",46470
Techstars Boston Accelerator,kapsul,https://api.crunchbase.com/v3.1/organizations/kapsul,"",22231
Techstars Boston Accelerator,openly-inc,https://api.crunchbase.com/v3.1/organizations/openly-inc,"",98037
Techstars Boston Accelerator,brio-systems-inc,https://api.crunchbase.com/v3.1/organizations/brio-systems-inc,"",44414
Techstars Boston Accelerator,securicy,https://api.crunchbase.com/v3.1/organizations/securicy,"",2909
Techstars Boston Accelerator,meenta,https://api.crunchbase.com/v3.1/organizations/meenta,"",117578
Techstars Boston Accelerator,acquisitionly,https://api.crunchbase.com/v3.1/organizations/acquisitionly,"",158624
Techstars Boston Accelerator,openframe,https://api.crunchbase.com/v3.1/organizations/openframe,"",119676
Techstars Boston Accelerator,fincura,https://api.crunchbase.com/v3.1/organizations/fincura,"",65659
Techstars Boston Accelerator,sparkcharge,https://api.crunchbase.com/v3.1/organizations/sparkcharge,"",11204
Techstars Boston Accelerator,lorem-technologies,https://api.crunchbase.com/v3.1/organizations/lorem-technologies,"",11120
Techstars Boston Accelerator,sea-machines-robotics,https://api.crunchbase.com/v3.1/organizations/sea-machines-robotics,"",9204
Techstars Boston Accelerator,offgridbox,https://api.crunchbase.com/v3.1/organizations/offgridbox,"",21955
Techstars Boston Accelerator,tive,https://api.crunchbase.com/v3.1/organizations/tive,"",3685
Techstars Boston Accelerator,voatz,https://api.crunchbase.com/v3.1/organizations/voatz,"",4011
Techstars Boston Accelerator,nix,https://api.crunchbase.com/v3.1/organizations/nix,"",27157
Techstars Boston Accelerator,evolve-app,https://api.crunchbase.com/v3.1/organizations/evolve-app,"",46302
Techstars Boston Accelerator,brizi,https://api.crunchbase.com/v3.1/organizations/brizi,"",15209
Techstars Boston Accelerator,rategravity,https://api.crunchbase.com/v3.1/organizations/rategravity,"",12422
Techstars Boston Accelerator,solstice-2,https://api.crunchbase.com/v3.1/organizations/solstice-2,"",11368
Techstars Boston Accelerator,care-academy,https://api.crunchbase.com/v3.1/organizations/care-academy,"",7258
Techstars Boston Accelerator,alice-s-table,https://api.crunchbase.com/v3.1/organizations/alice-s-table,"",47094
Techstars Boston Accelerator,brainspec,https://api.crunchbase.com/v3.1/organizations/brainspec,"",34381
Techstars Boston Accelerator,seed-spark,https://api.crunchbase.com/v3.1/organizations/seed-spark,"",17517
