Organization Name,Invested In,Api Url,Description,Rank
Techstars Boulder Accelerator,apostrophe-inc,https://api.crunchbase.com/v3.1/organizations/apostrophe-inc,"",9431
Techstars Boulder Accelerator,ironcore-labs,https://api.crunchbase.com/v3.1/organizations/ironcore-labs,"",23435
Techstars Boulder Accelerator,candl,https://api.crunchbase.com/v3.1/organizations/candl,"",56321
Techstars Boulder Accelerator,sitter-inc,https://api.crunchbase.com/v3.1/organizations/sitter-inc,"",24975
Techstars Boulder Accelerator,monday-2,https://api.crunchbase.com/v3.1/organizations/monday-2,"",7088
Techstars Boulder Accelerator,hardbound,https://api.crunchbase.com/v3.1/organizations/hardbound,"",74453
Techstars Boulder Accelerator,rodin,https://api.crunchbase.com/v3.1/organizations/rodin,"",60972
Techstars Boulder Accelerator,prefix,https://api.crunchbase.com/v3.1/organizations/prefix,"",31439
Techstars Boulder Accelerator,stateless-inc,https://api.crunchbase.com/v3.1/organizations/stateless-inc,"",10698
Techstars Boulder Accelerator,blank-slate-systems,https://api.crunchbase.com/v3.1/organizations/blank-slate-systems,"",77515
Techstars Boulder Accelerator,global-eir-coalition,https://api.crunchbase.com/v3.1/organizations/global-eir-coalition,"",151826
Techstars Boulder Accelerator,attentive-us,https://api.crunchbase.com/v3.1/organizations/attentive-us,"",13775
Techstars Boulder Accelerator,data-nerds,https://api.crunchbase.com/v3.1/organizations/data-nerds,"",26860
Techstars Boulder Accelerator,alchemy-learning,https://api.crunchbase.com/v3.1/organizations/alchemy-learning,"",49773
Techstars Boulder Accelerator,orderly-health,https://api.crunchbase.com/v3.1/organizations/orderly-health,"",19450
Techstars Boulder Accelerator,bridge21,https://api.crunchbase.com/v3.1/organizations/bridge21,"",48552
Techstars Boulder Accelerator,converge-3,https://api.crunchbase.com/v3.1/organizations/converge-3,"",27800
Techstars Boulder Accelerator,init-ai,https://api.crunchbase.com/v3.1/organizations/init-ai,"",100635
Techstars Boulder Accelerator,meetmindful,https://api.crunchbase.com/v3.1/organizations/meetmindful,"",15668
Techstars Boulder Accelerator,trace-live-network,https://api.crunchbase.com/v3.1/organizations/trace-live-network,"",37281
Techstars Boulder Accelerator,sigmend,https://api.crunchbase.com/v3.1/organizations/sigmend,"",78421
Techstars Boulder Accelerator,ēdn-2,https://api.crunchbase.com/v3.1/organizations/ēdn-2,"",40502
Techstars Boulder Accelerator,maxwell-financial-labs-inc,https://api.crunchbase.com/v3.1/organizations/maxwell-financial-labs-inc,"",9688
Techstars Boulder Accelerator,adhawk,https://api.crunchbase.com/v3.1/organizations/adhawk,"",5374
Techstars Boulder Accelerator,stryd,https://api.crunchbase.com/v3.1/organizations/stryd,"",25561
Techstars Boulder Accelerator,blazing-db,https://api.crunchbase.com/v3.1/organizations/blazing-db,"",14907
Techstars Boulder Accelerator,edify,https://api.crunchbase.com/v3.1/organizations/edify,"",41340
Techstars Boulder Accelerator,college-press-club,https://api.crunchbase.com/v3.1/organizations/college-press-club,"",22444
Techstars Boulder Accelerator,madkudu,https://api.crunchbase.com/v3.1/organizations/madkudu,"",9090
Techstars Boulder Accelerator,trelora,https://api.crunchbase.com/v3.1/organizations/trelora,"",16686
Techstars Boulder Accelerator,hobbydb,https://api.crunchbase.com/v3.1/organizations/hobbydb,"",19023
Techstars Boulder Accelerator,revolar,https://api.crunchbase.com/v3.1/organizations/revolar,"",99218
Techstars Boulder Accelerator,outro,https://api.crunchbase.com/v3.1/organizations/outro,"",30341
Techstars Boulder Accelerator,expensebot,https://api.crunchbase.com/v3.1/organizations/expensebot,"",36702
Techstars Boulder Accelerator,kapta-systems,https://api.crunchbase.com/v3.1/organizations/kapta-systems,"",35473
Techstars Boulder Accelerator,pana,https://api.crunchbase.com/v3.1/organizations/pana,"",3795
Techstars Boulder Accelerator,final,https://api.crunchbase.com/v3.1/organizations/final,"",12194
Techstars Boulder Accelerator,wunder,https://api.crunchbase.com/v3.1/organizations/wunder,"",5279
Techstars Boulder Accelerator,all4staff,https://api.crunchbase.com/v3.1/organizations/all4staff,"",34052
Techstars Boulder Accelerator,wellhire,https://api.crunchbase.com/v3.1/organizations/wellhire,"",93273
Techstars Boulder Accelerator,lassy-project,https://api.crunchbase.com/v3.1/organizations/lassy-project,"",61541
Techstars Boulder Accelerator,bawte,https://api.crunchbase.com/v3.1/organizations/bawte,"",84834
Techstars Boulder Accelerator,notion-2,https://api.crunchbase.com/v3.1/organizations/notion-2,"",1890
Techstars Boulder Accelerator,sportsy,https://api.crunchbase.com/v3.1/organizations/sportsy,"",49834
Techstars Boulder Accelerator,shareable-social-2,https://api.crunchbase.com/v3.1/organizations/shareable-social-2,"",67341
Techstars Boulder Accelerator,brandfolder,https://api.crunchbase.com/v3.1/organizations/brandfolder,"",4655
Techstars Boulder Accelerator,prediculous,https://api.crunchbase.com/v3.1/organizations/prediculous,"",347868
Techstars Boulder Accelerator,hull,https://api.crunchbase.com/v3.1/organizations/hull,"",11234
Techstars Boulder Accelerator,kato,https://api.crunchbase.com/v3.1/organizations/kato,"",49448
Techstars Boulder Accelerator,goodapril,https://api.crunchbase.com/v3.1/organizations/goodapril,"",61098
Techstars Boulder Accelerator,snowshoe,https://api.crunchbase.com/v3.1/organizations/snowshoe,"",31274
Techstars Boulder Accelerator,shopventory,https://api.crunchbase.com/v3.1/organizations/shopventory,"",26388
Techstars Boulder Accelerator,augur,https://api.crunchbase.com/v3.1/organizations/augur,"",79453
Techstars Boulder Accelerator,given-goods,https://api.crunchbase.com/v3.1/organizations/given-goods,"",77100
Techstars Boulder Accelerator,britehub,https://api.crunchbase.com/v3.1/organizations/britehub,"",31142
Techstars Boulder Accelerator,adsnative,https://api.crunchbase.com/v3.1/organizations/adsnative,"",6438
Techstars Boulder Accelerator,digitalocean,https://api.crunchbase.com/v3.1/organizations/digitalocean,"",222
Techstars Boulder Accelerator,roximity,https://api.crunchbase.com/v3.1/organizations/roximity,"",17456
Techstars Boulder Accelerator,birdbox,https://api.crunchbase.com/v3.1/organizations/birdbox,"",45321
Techstars Boulder Accelerator,pivotdesk,https://api.crunchbase.com/v3.1/organizations/pivotdesk,"",19033
Techstars Boulder Accelerator,revolv,https://api.crunchbase.com/v3.1/organizations/revolv,"",30558
Techstars Boulder Accelerator,ubooly,https://api.crunchbase.com/v3.1/organizations/ubooly,"",38344
Techstars Boulder Accelerator,dealangel,https://api.crunchbase.com/v3.1/organizations/dealangel,"",63063
Techstars Boulder Accelerator,27-perry,https://api.crunchbase.com/v3.1/organizations/27-perry,"",104260
Techstars Boulder Accelerator,verbalizeit,https://api.crunchbase.com/v3.1/organizations/verbalizeit,"",35302
Techstars Boulder Accelerator,rollsale,https://api.crunchbase.com/v3.1/organizations/rollsale,"",86049
Techstars Boulder Accelerator,replysend,https://api.crunchbase.com/v3.1/organizations/replysend,"",142390
Techstars Boulder Accelerator,salesloft,https://api.crunchbase.com/v3.1/organizations/salesloft,"",761
Techstars Boulder Accelerator,precog,https://api.crunchbase.com/v3.1/organizations/precog,"",58442
Techstars Boulder Accelerator,truanttoday,https://api.crunchbase.com/v3.1/organizations/truanttoday,"",299894
Techstars Boulder Accelerator,meal-ticket,https://api.crunchbase.com/v3.1/organizations/meal-ticket,"",29844
Techstars Boulder Accelerator,creative-brain-studios,https://api.crunchbase.com/v3.1/organizations/creative-brain-studios,"",278400
Techstars Boulder Accelerator,simple-energy,https://api.crunchbase.com/v3.1/organizations/simple-energy,"",2992
Techstars Boulder Accelerator,inboxfever,https://api.crunchbase.com/v3.1/organizations/inboxfever,"",437665
Techstars Boulder Accelerator,flextrip,https://api.crunchbase.com/v3.1/organizations/flextrip,"",67299
Techstars Boulder Accelerator,socialengine,https://api.crunchbase.com/v3.1/organizations/socialengine,"",70005
Techstars Boulder Accelerator,gospotcheck,https://api.crunchbase.com/v3.1/organizations/gospotcheck,"",3558
Techstars Boulder Accelerator,mocavo,https://api.crunchbase.com/v3.1/organizations/mocavo,"",27248
Techstars Boulder Accelerator,rapt-media,https://api.crunchbase.com/v3.1/organizations/rapt-media,"",21810
Techstars Boulder Accelerator,fullcontact,https://api.crunchbase.com/v3.1/organizations/fullcontact,"",3437
Techstars Boulder Accelerator,orbotix,https://api.crunchbase.com/v3.1/organizations/orbotix,"",1574
Techstars Boulder Accelerator,adstruc,https://api.crunchbase.com/v3.1/organizations/adstruc,"",21269
Techstars Boulder Accelerator,scriptpad,https://api.crunchbase.com/v3.1/organizations/scriptpad,"",77521
Techstars Boulder Accelerator,roundpegg,https://api.crunchbase.com/v3.1/organizations/roundpegg,"",21434
Techstars Boulder Accelerator,captimo,https://api.crunchbase.com/v3.1/organizations/captimo,"",90225
Techstars Boulder Accelerator,invitedhome,https://api.crunchbase.com/v3.1/organizations/invitedhome,"",30864
Techstars Boulder Accelerator,lumatic,https://api.crunchbase.com/v3.1/organizations/lumatic,"",87067
Techstars Boulder Accelerator,rentmonitor,https://api.crunchbase.com/v3.1/organizations/rentmonitor,"",243328
Techstars Boulder Accelerator,statsmix,https://api.crunchbase.com/v3.1/organizations/statsmix,"",99714
Techstars Boulder Accelerator,kapost,https://api.crunchbase.com/v3.1/organizations/kapost,"",5828
Techstars Boulder Accelerator,spot-influence,https://api.crunchbase.com/v3.1/organizations/spot-influence,"",96023
Techstars Boulder Accelerator,vanilla-forums,https://api.crunchbase.com/v3.1/organizations/vanilla-forums,"",29574
Techstars Boulder Accelerator,retel-technologies,https://api.crunchbase.com/v3.1/organizations/retel-technologies,"",63520
Techstars Boulder Accelerator,graphicly,https://api.crunchbase.com/v3.1/organizations/graphicly,"",36266
Techstars Boulder Accelerator,rezora,https://api.crunchbase.com/v3.1/organizations/rezora,"",77187
Techstars Boulder Accelerator,timzon,https://api.crunchbase.com/v3.1/organizations/timzon,"",137362
Techstars Boulder Accelerator,sendgrid,https://api.crunchbase.com/v3.1/organizations/sendgrid,"",1082
Techstars Boulder Accelerator,spry,https://api.crunchbase.com/v3.1/organizations/spry,"",218364
Techstars Boulder Accelerator,mailana,https://api.crunchbase.com/v3.1/organizations/mailana,"",262052
Techstars Boulder Accelerator,everlater,https://api.crunchbase.com/v3.1/organizations/everlater,"",50664
Techstars Boulder Accelerator,next-big-sound,https://api.crunchbase.com/v3.1/organizations/next-big-sound,"",16144
Techstars Boulder Accelerator,stepout,https://api.crunchbase.com/v3.1/organizations/stepout,"",59171
Techstars Boulder Accelerator,peoples-software,https://api.crunchbase.com/v3.1/organizations/peoples-software,"",194224
Techstars Boulder Accelerator,the-highway-girl,https://api.crunchbase.com/v3.1/organizations/the-highway-girl,"",377860
Techstars Boulder Accelerator,occipital,https://api.crunchbase.com/v3.1/organizations/occipital,"",2372
Techstars Boulder Accelerator,buyplaywin,https://api.crunchbase.com/v3.1/organizations/buyplaywin,"",514797
Techstars Boulder Accelerator,foodzie,https://api.crunchbase.com/v3.1/organizations/foodzie,"",79779
Techstars Boulder Accelerator,dailyburn,https://api.crunchbase.com/v3.1/organizations/dailyburn,"",70288
Techstars Boulder Accelerator,usingmiles,https://api.crunchbase.com/v3.1/organizations/usingmiles,"",32974
Techstars Boulder Accelerator,devver,https://api.crunchbase.com/v3.1/organizations/devver,"",177797
Techstars Boulder Accelerator,madkast,https://api.crunchbase.com/v3.1/organizations/madkast,"",210730
Techstars Boulder Accelerator,socialthing,https://api.crunchbase.com/v3.1/organizations/socialthing,"",155552
Techstars Boulder Accelerator,intensedebate,https://api.crunchbase.com/v3.1/organizations/intensedebate,"",179469
Techstars Boulder Accelerator,brightkite,https://api.crunchbase.com/v3.1/organizations/brightkite,"",123351
Techstars Boulder Accelerator,playq,https://api.crunchbase.com/v3.1/organizations/playq,"",99060
Techstars Boulder Accelerator,eventvue,https://api.crunchbase.com/v3.1/organizations/eventvue,"",180619
Techstars Boulder Accelerator,filtrbox,https://api.crunchbase.com/v3.1/organizations/filtrbox,"",138696
Techstars Boulder Accelerator,villij,https://api.crunchbase.com/v3.1/organizations/villij,"",88569
