Organization Name,Invested In,Api Url,Description,Rank
Techstars Seattle Accelerator,downstream-5199,https://api.crunchbase.com/v3.1/organizations/downstream-5199,"",12097
Techstars Seattle Accelerator,rainway,https://api.crunchbase.com/v3.1/organizations/rainway,"",23750
Techstars Seattle Accelerator,locumunity,https://api.crunchbase.com/v3.1/organizations/locumunity,"",41879
Techstars Seattle Accelerator,educative,https://api.crunchbase.com/v3.1/organizations/educative,"",13176
Techstars Seattle Accelerator,legalpad-778c,https://api.crunchbase.com/v3.1/organizations/legalpad-778c,"",11893
Techstars Seattle Accelerator,halo-car,https://api.crunchbase.com/v3.1/organizations/halo-car,"",86496
Techstars Seattle Accelerator,wesolv,https://api.crunchbase.com/v3.1/organizations/wesolv,"",112035
Techstars Seattle Accelerator,launchboard,https://api.crunchbase.com/v3.1/organizations/launchboard,"",162486
Techstars Seattle Accelerator,vendorhawk-inc,https://api.crunchbase.com/v3.1/organizations/vendorhawk-inc,"",76570
Techstars Seattle Accelerator,hazel,https://api.crunchbase.com/v3.1/organizations/hazel,"",30644
Techstars Seattle Accelerator,stackery,https://api.crunchbase.com/v3.1/organizations/stackery,"",3612
Techstars Seattle Accelerator,silene-biotech,https://api.crunchbase.com/v3.1/organizations/silene-biotech,"",52879
Techstars Seattle Accelerator,cuepath-innovation,https://api.crunchbase.com/v3.1/organizations/cuepath-innovation,"",34131
Techstars Seattle Accelerator,swym-corporation,https://api.crunchbase.com/v3.1/organizations/swym-corporation,"",35321
Techstars Seattle Accelerator,valid8-2,https://api.crunchbase.com/v3.1/organizations/valid8-2,"",56330
Techstars Seattle Accelerator,levelten-energy,https://api.crunchbase.com/v3.1/organizations/levelten-energy,"",4496
Techstars Seattle Accelerator,coastline-market,https://api.crunchbase.com/v3.1/organizations/coastline-market,"",31939
Techstars Seattle Accelerator,reflect-technologies,https://api.crunchbase.com/v3.1/organizations/reflect-technologies,"",25911
Techstars Seattle Accelerator,validated,https://api.crunchbase.com/v3.1/organizations/validated,"",13862
Techstars Seattle Accelerator,droneseed,https://api.crunchbase.com/v3.1/organizations/droneseed,"",13998
Techstars Seattle Accelerator,beam-10,https://api.crunchbase.com/v3.1/organizations/beam-10,"",1175
Techstars Seattle Accelerator,fig-loans,https://api.crunchbase.com/v3.1/organizations/fig-loans,"",18504
Techstars Seattle Accelerator,keepe,https://api.crunchbase.com/v3.1/organizations/keepe,"",23282
Techstars Seattle Accelerator,subcurrent,https://api.crunchbase.com/v3.1/organizations/subcurrent,"",4510
Techstars Seattle Accelerator,shyft,https://api.crunchbase.com/v3.1/organizations/shyft,"",3007
Techstars Seattle Accelerator,kepler-communications,https://api.crunchbase.com/v3.1/organizations/kepler-communications,"",5067
Techstars Seattle Accelerator,innervate,https://api.crunchbase.com/v3.1/organizations/innervate,"",37534
Techstars Seattle Accelerator,atcipher,https://api.crunchbase.com/v3.1/organizations/atcipher,"",63094
Techstars Seattle Accelerator,fish-bowl-vr,https://api.crunchbase.com/v3.1/organizations/fish-bowl-vr,"",66426
Techstars Seattle Accelerator,giftbit,https://api.crunchbase.com/v3.1/organizations/giftbit,"",22210
Techstars Seattle Accelerator,lightboard,https://api.crunchbase.com/v3.1/organizations/lightboard,"",54475
