Organization Name,Invested In,Api Url,Description,Rank
Techstars,stackin,https://api.crunchbase.com/v3.1/organizations/stackin,"",506
Techstars,liv,https://api.crunchbase.com/v3.1/organizations/liv,"",5804
Techstars,hybird-technologies,https://api.crunchbase.com/v3.1/organizations/hybird-technologies,"",14101
Techstars,omni-fund,https://api.crunchbase.com/v3.1/organizations/omni-fund,"",125535
Techstars,morpheus-space,https://api.crunchbase.com/v3.1/organizations/morpheus-space,"",63123
Techstars,lazarus-enterprises-2,https://api.crunchbase.com/v3.1/organizations/lazarus-enterprises-2,"",6583
Techstars,gameon-8dd7,https://api.crunchbase.com/v3.1/organizations/gameon-8dd7,"",33179
Techstars,kencko-labs,https://api.crunchbase.com/v3.1/organizations/kencko-labs,"",1428
Techstars,clara-7806,https://api.crunchbase.com/v3.1/organizations/clara-7806,"",986
Techstars,diana-ai,https://api.crunchbase.com/v3.1/organizations/diana-ai,"",74827
Techstars,alexsei,https://api.crunchbase.com/v3.1/organizations/alexsei,"",21108
Techstars,mdaas,https://api.crunchbase.com/v3.1/organizations/mdaas,"",10322
Techstars,medijobs,https://api.crunchbase.com/v3.1/organizations/medijobs,"",24826
Techstars,thrive-savings,https://api.crunchbase.com/v3.1/organizations/thrive-savings,"",34960
Techstars,bellwethr,https://api.crunchbase.com/v3.1/organizations/bellwethr,"",10174
Techstars,voatz,https://api.crunchbase.com/v3.1/organizations/voatz,"",4011
Techstars,6th-man-apps,https://api.crunchbase.com/v3.1/organizations/6th-man-apps,"",29464
Techstars,damon-x-labs,https://api.crunchbase.com/v3.1/organizations/damon-x-labs,"",5829
Techstars,senso-2,https://api.crunchbase.com/v3.1/organizations/senso-2,"",14548
Techstars,unruly-studios,https://api.crunchbase.com/v3.1/organizations/unruly-studios,"",20135
Techstars,geospiza-55af,https://api.crunchbase.com/v3.1/organizations/geospiza-55af,"",13324
Techstars,astroprint,https://api.crunchbase.com/v3.1/organizations/astroprint,"",20462
Techstars,madlipz,https://api.crunchbase.com/v3.1/organizations/madlipz,"",14359
Techstars,gofer-e94a,https://api.crunchbase.com/v3.1/organizations/gofer-e94a,"",24597
Techstars,velocia,https://api.crunchbase.com/v3.1/organizations/velocia,"",90990
Techstars,farmcrowdy,https://api.crunchbase.com/v3.1/organizations/farmcrowdy,"",3723
Techstars,storyfit,https://api.crunchbase.com/v3.1/organizations/storyfit,"",11946
Techstars,planetarians,https://api.crunchbase.com/v3.1/organizations/planetarians,"",15546
Techstars,tasso,https://api.crunchbase.com/v3.1/organizations/tasso,"",13586
Techstars,20tree-ai,https://api.crunchbase.com/v3.1/organizations/20tree-ai,"",39349
Techstars,verbz,https://api.crunchbase.com/v3.1/organizations/verbz,"",120951
Techstars,modelme3d,https://api.crunchbase.com/v3.1/organizations/modelme3d,"",44020
Techstars,vivooapp,https://api.crunchbase.com/v3.1/organizations/vivooapp,"",18572
Techstars,edsights,https://api.crunchbase.com/v3.1/organizations/edsights,"",29764
Techstars,ude-urban-data-eye,https://api.crunchbase.com/v3.1/organizations/ude-urban-data-eye,"",55686
Techstars,algopay,https://api.crunchbase.com/v3.1/organizations/algopay,"",73612
Techstars,sliceup,https://api.crunchbase.com/v3.1/organizations/sliceup,"",64060
Techstars,orai,https://api.crunchbase.com/v3.1/organizations/orai,"",8902
Techstars,eversend,https://api.crunchbase.com/v3.1/organizations/eversend,"",19932
Techstars,missfits,https://api.crunchbase.com/v3.1/organizations/missfits,"",82548
Techstars,cubbit,https://api.crunchbase.com/v3.1/organizations/cubbit,"",14490
Techstars,vici-b9f6,https://api.crunchbase.com/v3.1/organizations/vici-b9f6,"",36390
Techstars,adaptilab,https://api.crunchbase.com/v3.1/organizations/adaptilab,"",12071
Techstars,retrolabs,https://api.crunchbase.com/v3.1/organizations/retrolabs,"",117906
Techstars,echoar,https://api.crunchbase.com/v3.1/organizations/echoar,"",33767
Techstars,photocert,https://api.crunchbase.com/v3.1/organizations/photocert,"",36370
Techstars,hey-pluto,https://api.crunchbase.com/v3.1/organizations/hey-pluto,"",92137
Techstars,gamefuly-inc,https://api.crunchbase.com/v3.1/organizations/gamefuly-inc,"",41687
Techstars,redwing-aerospace-laboratories,https://api.crunchbase.com/v3.1/organizations/redwing-aerospace-laboratories,"",24431
Techstars,embleema,https://api.crunchbase.com/v3.1/organizations/embleema,"",9113
Techstars,gilded,https://api.crunchbase.com/v3.1/organizations/gilded,"",143496
Techstars,liquid-diamonds,https://api.crunchbase.com/v3.1/organizations/liquid-diamonds,"",39486
Techstars,odoc,https://api.crunchbase.com/v3.1/organizations/odoc,"",32172
Techstars,eddy-travels,https://api.crunchbase.com/v3.1/organizations/eddy-travels,"",72454
Techstars,dcoder,https://api.crunchbase.com/v3.1/organizations/dcoder,"",44485
Techstars,instacar-2,https://api.crunchbase.com/v3.1/organizations/instacar-2,"",12445
Techstars,smarter-human,https://api.crunchbase.com/v3.1/organizations/smarter-human,"",120199
Techstars,anyledger,https://api.crunchbase.com/v3.1/organizations/anyledger,"",107833
Techstars,spectatar,https://api.crunchbase.com/v3.1/organizations/spectatar,"",36926
Techstars,wifi-plug,https://api.crunchbase.com/v3.1/organizations/wifi-plug,"",28994
Techstars,spark-43fa,https://api.crunchbase.com/v3.1/organizations/spark-43fa,"",22171
Techstars,paperchain,https://api.crunchbase.com/v3.1/organizations/paperchain,"",31144
Techstars,krowdit,https://api.crunchbase.com/v3.1/organizations/krowdit,"",98916
Techstars,trezeo,https://api.crunchbase.com/v3.1/organizations/trezeo,"",17774
Techstars,paid-ltd,https://api.crunchbase.com/v3.1/organizations/paid-ltd,"",120706
Techstars,typingdna,https://api.crunchbase.com/v3.1/organizations/typingdna,"",7332
Techstars,element-16-technologies,https://api.crunchbase.com/v3.1/organizations/element-16-technologies,"",25134
Techstars,three-wheels-united,https://api.crunchbase.com/v3.1/organizations/three-wheels-united,"",142157
Techstars,seldon,https://api.crunchbase.com/v3.1/organizations/seldon,"",8780
Techstars,cometchat,https://api.crunchbase.com/v3.1/organizations/cometchat,"",20682
Techstars,zoi-meet,https://api.crunchbase.com/v3.1/organizations/zoi-meet,"",30942
Techstars,luggagent,https://api.crunchbase.com/v3.1/organizations/luggagent,"",32244
Techstars,automaton,https://api.crunchbase.com/v3.1/organizations/automaton,"",28335
Techstars,pandium,https://api.crunchbase.com/v3.1/organizations/pandium,"",92032
Techstars,sendfriend-inc,https://api.crunchbase.com/v3.1/organizations/sendfriend-inc,"",7758
Techstars,trakbar,https://api.crunchbase.com/v3.1/organizations/trakbar,"",49582
Techstars,cledara,https://api.crunchbase.com/v3.1/organizations/cledara,"",34196
Techstars,atomos-nuclear-and-space,https://api.crunchbase.com/v3.1/organizations/atomos-nuclear-and-space,"",19845
Techstars,crux-operations-control-management,https://api.crunchbase.com/v3.1/organizations/crux-operations-control-management,"",53871
Techstars,curu,https://api.crunchbase.com/v3.1/organizations/curu,"",31121
Techstars,medpilot,https://api.crunchbase.com/v3.1/organizations/medpilot,"",16670
Techstars,intelistyle,https://api.crunchbase.com/v3.1/organizations/intelistyle,"",16056
Techstars,barratio,https://api.crunchbase.com/v3.1/organizations/barratio,"",128126
Techstars,gastrograph,https://api.crunchbase.com/v3.1/organizations/gastrograph,"",11753
Techstars,albert-health,https://api.crunchbase.com/v3.1/organizations/albert-health,"",123172
Techstars,getkodo,https://api.crunchbase.com/v3.1/organizations/getkodo,"",44513
Techstars,bridgecare-finance,https://api.crunchbase.com/v3.1/organizations/bridgecare-finance,"",22617
Techstars,vertoe,https://api.crunchbase.com/v3.1/organizations/vertoe,"",10985
Techstars,apostrophe-inc,https://api.crunchbase.com/v3.1/organizations/apostrophe-inc,"",9430
Techstars,yacob,https://api.crunchbase.com/v3.1/organizations/yacob,"",166189
Techstars,cinchy,https://api.crunchbase.com/v3.1/organizations/cinchy,"",9382
Techstars,voyc-ai,https://api.crunchbase.com/v3.1/organizations/voyc-ai,"",38212
Techstars,hotelhero-u-g,https://api.crunchbase.com/v3.1/organizations/hotelhero-u-g,"",44104
Techstars,kitro,https://api.crunchbase.com/v3.1/organizations/kitro,"",104814
Techstars,base-operations,https://api.crunchbase.com/v3.1/organizations/base-operations,"",105435
Techstars,answersnow,https://api.crunchbase.com/v3.1/organizations/answersnow,"",9588
Techstars,nestready,https://api.crunchbase.com/v3.1/organizations/nestready,"",15685
Techstars,sopris,https://api.crunchbase.com/v3.1/organizations/sopris,"",13917
Techstars,applica-ai,https://api.crunchbase.com/v3.1/organizations/applica-ai,"",25065
Techstars,vector-ai,https://api.crunchbase.com/v3.1/organizations/vector-ai,"",24337
Techstars,resonancex,https://api.crunchbase.com/v3.1/organizations/resonancex,"",41555
Techstars,recotap,https://api.crunchbase.com/v3.1/organizations/recotap,"",40346
Techstars,konolabs-inc-,https://api.crunchbase.com/v3.1/organizations/konolabs-inc-,"",20413
Techstars,upsuite,https://api.crunchbase.com/v3.1/organizations/upsuite,"",13727
Techstars,pluto-money,https://api.crunchbase.com/v3.1/organizations/pluto-money,"",18111
Techstars,harvest-platform,https://api.crunchbase.com/v3.1/organizations/harvest-platform,"",12733
Techstars,fairframe,https://api.crunchbase.com/v3.1/organizations/fairframe,"",21763
Techstars,honeyfi,https://api.crunchbase.com/v3.1/organizations/honeyfi,"",14690
Techstars,lane,https://api.crunchbase.com/v3.1/organizations/lane,"",7389
Techstars,fintros,https://api.crunchbase.com/v3.1/organizations/fintros,"",95404
Techstars,softcube,https://api.crunchbase.com/v3.1/organizations/softcube,"",36454
Techstars,natufia-labs,https://api.crunchbase.com/v3.1/organizations/natufia-labs,"",29911
Techstars,azmed,https://api.crunchbase.com/v3.1/organizations/azmed,"",28802
Techstars,kelahealth,https://api.crunchbase.com/v3.1/organizations/kelahealth,"",31441
Techstars,versor,https://api.crunchbase.com/v3.1/organizations/versor,"",48502
Techstars,additor,https://api.crunchbase.com/v3.1/organizations/additor,"",153643
Techstars,imageous,https://api.crunchbase.com/v3.1/organizations/imageous,"",14017
Techstars,downstream-5199,https://api.crunchbase.com/v3.1/organizations/downstream-5199,"",12097
Techstars,buglance,https://api.crunchbase.com/v3.1/organizations/buglance,"",27913
Techstars,castor,https://api.crunchbase.com/v3.1/organizations/castor,"",28530
Techstars,rocky-robots-inc,https://api.crunchbase.com/v3.1/organizations/rocky-robots-inc,"",33254
Techstars,pesky-fish,https://api.crunchbase.com/v3.1/organizations/pesky-fish,"",30035
Techstars,rainway,https://api.crunchbase.com/v3.1/organizations/rainway,"",22363
Techstars,aerotronic,https://api.crunchbase.com/v3.1/organizations/aerotronic,"",47877
Techstars,alpin,https://api.crunchbase.com/v3.1/organizations/alpin,"",14503
