Organization Name,Invested In,Api Url,Description,Rank
The Perkins Fund,chronicled,https://api.crunchbase.com/v3.1/organizations/chronicled,"",31190
The Perkins Fund,scribblechat,https://api.crunchbase.com/v3.1/organizations/scribblechat,"",56300
The Perkins Fund,ellevest,https://api.crunchbase.com/v3.1/organizations/ellevest,"",1555
The Perkins Fund,128-technology,https://api.crunchbase.com/v3.1/organizations/128-technology,"",5673
The Perkins Fund,aqueduct-critical-care,https://api.crunchbase.com/v3.1/organizations/aqueduct-critical-care,"",33387
The Perkins Fund,the-realreal,https://api.crunchbase.com/v3.1/organizations/the-realreal,"",89
The Perkins Fund,rocksbox,https://api.crunchbase.com/v3.1/organizations/rocksbox,"",7620
The Perkins Fund,gridgain,https://api.crunchbase.com/v3.1/organizations/gridgain,"",6417
The Perkins Fund,hobnob,https://api.crunchbase.com/v3.1/organizations/hobnob,"",93023
The Perkins Fund,tentrr,https://api.crunchbase.com/v3.1/organizations/tentrr,"",8879
The Perkins Fund,handle,https://api.crunchbase.com/v3.1/organizations/handle,"",15875
The Perkins Fund,bitsight,https://api.crunchbase.com/v3.1/organizations/bitsight,"",1863
The Perkins Fund,other-machine,https://api.crunchbase.com/v3.1/organizations/other-machine,"",25848
The Perkins Fund,unikey-technologies,https://api.crunchbase.com/v3.1/organizations/unikey-technologies,"",8843
The Perkins Fund,goldie-blox,https://api.crunchbase.com/v3.1/organizations/goldie-blox,"",13703
The Perkins Fund,vorstack-corporation,https://api.crunchbase.com/v3.1/organizations/vorstack-corporation,"",28328
The Perkins Fund,tempered-networks,https://api.crunchbase.com/v3.1/organizations/tempered-networks,"",6481
The Perkins Fund,nextdoor,https://api.crunchbase.com/v3.1/organizations/nextdoor,"",316
The Perkins Fund,chosen-fm,https://api.crunchbase.com/v3.1/organizations/chosen-fm,"",35556
The Perkins Fund,seedling,https://api.crunchbase.com/v3.1/organizations/seedling,"",15463
The Perkins Fund,hashed,https://api.crunchbase.com/v3.1/organizations/hashed,"",357843
The Perkins Fund,gracious-eloise,https://api.crunchbase.com/v3.1/organizations/gracious-eloise,"",27182
The Perkins Fund,edcast-inc,https://api.crunchbase.com/v3.1/organizations/edcast-inc,"",2629
The Perkins Fund,hint-inc,https://api.crunchbase.com/v3.1/organizations/hint-inc,"",7769
The Perkins Fund,supportpay,https://api.crunchbase.com/v3.1/organizations/supportpay,"",17974
The Perkins Fund,gemshare,https://api.crunchbase.com/v3.1/organizations/gemshare,"",42951
The Perkins Fund,lydell-nyc,https://api.crunchbase.com/v3.1/organizations/lydell-nyc,"",440578
The Perkins Fund,jhana,https://api.crunchbase.com/v3.1/organizations/jhana,"",42558
The Perkins Fund,urbansitter,https://api.crunchbase.com/v3.1/organizations/urbansitter,"",5628
The Perkins Fund,meegenius,https://api.crunchbase.com/v3.1/organizations/meegenius,"",25999
The Perkins Fund,1-mainstream,https://api.crunchbase.com/v3.1/organizations/1-mainstream,"",28281
The Perkins Fund,kichit,https://api.crunchbase.com/v3.1/organizations/kichit,"",25886
The Perkins Fund,healthtap,https://api.crunchbase.com/v3.1/organizations/healthtap,"",1909
The Perkins Fund,olx,https://api.crunchbase.com/v3.1/organizations/olx,"",50839
The Perkins Fund,ditto-com,https://api.crunchbase.com/v3.1/organizations/ditto-com,"",42135
The Perkins Fund,prism-skylabs,https://api.crunchbase.com/v3.1/organizations/prism-skylabs,"",9622
The Perkins Fund,trustedid,https://api.crunchbase.com/v3.1/organizations/trustedid,"",139573
