Organization Name,Invested In,Api Url,Description,Rank
"The R-Group, LLC",krowdsourced,https://api.crunchbase.com/v3.1/organizations/krowdsourced,"",11796
"The R-Group, LLC",megh-computing,https://api.crunchbase.com/v3.1/organizations/megh-computing,"",27971
"The R-Group, LLC",lumen-learning,https://api.crunchbase.com/v3.1/organizations/lumen-learning,"",13858
"The R-Group, LLC",gear-up-sports,https://api.crunchbase.com/v3.1/organizations/gear-up-sports,"",39347
"The R-Group, LLC",yourmechanic,https://api.crunchbase.com/v3.1/organizations/yourmechanic,"",2624
"The R-Group, LLC",rumpl,https://api.crunchbase.com/v3.1/organizations/rumpl,"",20493
"The R-Group, LLC",rigado,https://api.crunchbase.com/v3.1/organizations/rigado,"",5683
"The R-Group, LLC",essential-consultants-llc,https://api.crunchbase.com/v3.1/organizations/essential-consultants-llc,"",366086
"The R-Group, LLC",bumped,https://api.crunchbase.com/v3.1/organizations/bumped,"",7241
"The R-Group, LLC",bigleaf-networks,https://api.crunchbase.com/v3.1/organizations/bigleaf-networks,"",11880
"The R-Group, LLC",wildfang,https://api.crunchbase.com/v3.1/organizations/wildfang,"",21714
"The R-Group, LLC",iotas-inc,https://api.crunchbase.com/v3.1/organizations/iotas-inc,"",8913
"The R-Group, LLC",customer-io,https://api.crunchbase.com/v3.1/organizations/customer-io,"",8929
"The R-Group, LLC",outdoor-project,https://api.crunchbase.com/v3.1/organizations/outdoor-project,"",21023
"The R-Group, LLC",wild,https://api.crunchbase.com/v3.1/organizations/wild,"",136901
"The R-Group, LLC",hubb,https://api.crunchbase.com/v3.1/organizations/hubb,"",9279
"The R-Group, LLC",beamery,https://api.crunchbase.com/v3.1/organizations/beamery,"",19813
"The R-Group, LLC",brandlive,https://api.crunchbase.com/v3.1/organizations/brandlive,"",19295
"The R-Group, LLC",notion-3,https://api.crunchbase.com/v3.1/organizations/notion-3,"",10878
"The R-Group, LLC",sustain,https://api.crunchbase.com/v3.1/organizations/sustain,"",16333
"The R-Group, LLC",poached-jobs,https://api.crunchbase.com/v3.1/organizations/poached-jobs,"",31182
"The R-Group, LLC",absci,https://api.crunchbase.com/v3.1/organizations/absci,"",19300
"The R-Group, LLC",perfect-company,https://api.crunchbase.com/v3.1/organizations/perfect-company,"",23873
"The R-Group, LLC",consumer-physics,https://api.crunchbase.com/v3.1/organizations/consumer-physics,"",8416
"The R-Group, LLC",bright-md,https://api.crunchbase.com/v3.1/organizations/bright-md,"",8896
"The R-Group, LLC",actionsprout,https://api.crunchbase.com/v3.1/organizations/actionsprout,"",41359
"The R-Group, LLC",valetanywhere,https://api.crunchbase.com/v3.1/organizations/valetanywhere,"",26917
"The R-Group, LLC",arthena,https://api.crunchbase.com/v3.1/organizations/arthena,"",13624
"The R-Group, LLC",paintzen,https://api.crunchbase.com/v3.1/organizations/paintzen,"",5350
"The R-Group, LLC",billguard,https://api.crunchbase.com/v3.1/organizations/billguard,"",7814
"The R-Group, LLC",mobilepaks,https://api.crunchbase.com/v3.1/organizations/mobilepaks,"",7495
"The R-Group, LLC",gradible,https://api.crunchbase.com/v3.1/organizations/gradible,"",143203
"The R-Group, LLC",muut,https://api.crunchbase.com/v3.1/organizations/muut,"",47535
"The R-Group, LLC",sonoma-beverage-works,https://api.crunchbase.com/v3.1/organizations/sonoma-beverage-works,"",35710
"The R-Group, LLC",little-bird,https://api.crunchbase.com/v3.1/organizations/little-bird,"",19771
"The R-Group, LLC",abes-market,https://api.crunchbase.com/v3.1/organizations/abes-market,"",15270
"The R-Group, LLC",green-zebra-grocery,https://api.crunchbase.com/v3.1/organizations/green-zebra-grocery,"",24045
"The R-Group, LLC",bhakti-chai,https://api.crunchbase.com/v3.1/organizations/bhakti-chai,"",28483
"The R-Group, LLC",open-road-snacks,https://api.crunchbase.com/v3.1/organizations/open-road-snacks,"",120625
"The R-Group, LLC",practice-fusion,https://api.crunchbase.com/v3.1/organizations/practice-fusion,"",28881
"The R-Group, LLC",bitwall,https://api.crunchbase.com/v3.1/organizations/bitwall,"",152852
"The R-Group, LLC",faraday-bicycles,https://api.crunchbase.com/v3.1/organizations/faraday-bicycles,"",27234
"The R-Group, LLC",ringadoc,https://api.crunchbase.com/v3.1/organizations/ringadoc,"",39170
"The R-Group, LLC",labdoor,https://api.crunchbase.com/v3.1/organizations/labdoor,"",17219
"The R-Group, LLC",spotflux,https://api.crunchbase.com/v3.1/organizations/spotflux,"",41484
"The R-Group, LLC",nimble-crm,https://api.crunchbase.com/v3.1/organizations/nimble-crm,"",8044
"The R-Group, LLC",the-clymb,https://api.crunchbase.com/v3.1/organizations/the-clymb,"",22727
