Organization Name,Invested In,Api Url,Description,Rank
The Yard Ventures,alyce-co,https://api.crunchbase.com/v3.1/organizations/alyce-co,"",31289
The Yard Ventures,true-rowing,https://api.crunchbase.com/v3.1/organizations/true-rowing,"",2202
The Yard Ventures,jebbit,https://api.crunchbase.com/v3.1/organizations/jebbit,"",4722
The Yard Ventures,landit,https://api.crunchbase.com/v3.1/organizations/landit,"",4802
The Yard Ventures,lacework,https://api.crunchbase.com/v3.1/organizations/lacework,"",2714
The Yard Ventures,openinvest,https://api.crunchbase.com/v3.1/organizations/openinvest,"",4792
The Yard Ventures,mic-network,https://api.crunchbase.com/v3.1/organizations/mic-network,"",6469
The Yard Ventures,verity-studios,https://api.crunchbase.com/v3.1/organizations/verity-studios,"",13387
The Yard Ventures,admithub,https://api.crunchbase.com/v3.1/organizations/admithub,"",7985
The Yard Ventures,honor-2,https://api.crunchbase.com/v3.1/organizations/honor-2,"",101
The Yard Ventures,plastiq,https://api.crunchbase.com/v3.1/organizations/plastiq,"",22987
The Yard Ventures,high-brew-coffee,https://api.crunchbase.com/v3.1/organizations/high-brew-coffee,"",5189
The Yard Ventures,petplate,https://api.crunchbase.com/v3.1/organizations/petplate,"",9488
The Yard Ventures,collabip,https://api.crunchbase.com/v3.1/organizations/collabip,"",6059
The Yard Ventures,rapidsos,https://api.crunchbase.com/v3.1/organizations/rapidsos,"",1570
The Yard Ventures,commonbond,https://api.crunchbase.com/v3.1/organizations/commonbond,"",1102
The Yard Ventures,relayr,https://api.crunchbase.com/v3.1/organizations/relayr,"",1844
The Yard Ventures,superphone,https://api.crunchbase.com/v3.1/organizations/superphone,"",14066
The Yard Ventures,jump-bikes,https://api.crunchbase.com/v3.1/organizations/jump-bikes,"",36918
The Yard Ventures,quiki,https://api.crunchbase.com/v3.1/organizations/quiki,"",21399
The Yard Ventures,aurasense-therapeutics,https://api.crunchbase.com/v3.1/organizations/aurasense-therapeutics,"",9403
The Yard Ventures,wheels-up,https://api.crunchbase.com/v3.1/organizations/wheels-up,"",3336
The Yard Ventures,analytical-space-inc,https://api.crunchbase.com/v3.1/organizations/analytical-space-inc,"",12751
The Yard Ventures,newleaf-symbiotics,https://api.crunchbase.com/v3.1/organizations/newleaf-symbiotics,"",5098
The Yard Ventures,rinse,https://api.crunchbase.com/v3.1/organizations/rinse,"",2893
The Yard Ventures,freshly,https://api.crunchbase.com/v3.1/organizations/freshly,"",1514
The Yard Ventures,sqrrl,https://api.crunchbase.com/v3.1/organizations/sqrrl,"",8050
The Yard Ventures,sidecar,https://api.crunchbase.com/v3.1/organizations/sidecar,"",1548
The Yard Ventures,domo,https://api.crunchbase.com/v3.1/organizations/domo,"",12590
The Yard Ventures,conversica,https://api.crunchbase.com/v3.1/organizations/conversica,"",922
The Yard Ventures,compass-therapeutics,https://api.crunchbase.com/v3.1/organizations/compass-therapeutics,"",6062
