Organization Name,Invested In,Api Url,Description,Rank
The Refiners,phantombuster,https://api.crunchbase.com/v3.1/organizations/phantombuster,"",20371
The Refiners,pona,https://api.crunchbase.com/v3.1/organizations/pona,"",55575
The Refiners,elsi-skin-health,https://api.crunchbase.com/v3.1/organizations/elsi-skin-health,"",21406
The Refiners,inmemori,https://api.crunchbase.com/v3.1/organizations/inmemori,"",49643
The Refiners,wezzar,https://api.crunchbase.com/v3.1/organizations/wezzar,"",54430
The Refiners,jenyai,https://api.crunchbase.com/v3.1/organizations/jenyai,"",20908
The Refiners,tempow,https://api.crunchbase.com/v3.1/organizations/tempow,"",14565
The Refiners,rapidmathematix,https://api.crunchbase.com/v3.1/organizations/rapidmathematix,"",157388
The Refiners,satochi,https://api.crunchbase.com/v3.1/organizations/satochi,"",52148
The Refiners,getelva,https://api.crunchbase.com/v3.1/organizations/getelva,"",31969
The Refiners,big-boy-systems,https://api.crunchbase.com/v3.1/organizations/big-boy-systems,"",210957
The Refiners,sparkwork-software,https://api.crunchbase.com/v3.1/organizations/sparkwork-software,"",34557
The Refiners,veamly,https://api.crunchbase.com/v3.1/organizations/veamly,"",93938
The Refiners,playground-hlo,https://api.crunchbase.com/v3.1/organizations/playground-hlo,"",194305
The Refiners,botmatic,https://api.crunchbase.com/v3.1/organizations/botmatic,"",170491
The Refiners,seald,https://api.crunchbase.com/v3.1/organizations/seald,"",39301
The Refiners,passright,https://api.crunchbase.com/v3.1/organizations/passright,"",82609
The Refiners,lalilo,https://api.crunchbase.com/v3.1/organizations/lalilo,"",25995
The Refiners,shone-io,https://api.crunchbase.com/v3.1/organizations/shone-io,"",11376
The Refiners,arise-technology,https://api.crunchbase.com/v3.1/organizations/arise-technology,"",107768
The Refiners,abe-3,https://api.crunchbase.com/v3.1/organizations/abe-3,"",187401
The Refiners,lovebox,https://api.crunchbase.com/v3.1/organizations/lovebox,"",51970
The Refiners,youglo,https://api.crunchbase.com/v3.1/organizations/youglo,"",283318
The Refiners,wisebatt,https://api.crunchbase.com/v3.1/organizations/wisebatt,"",80372
The Refiners,see-fashion,https://api.crunchbase.com/v3.1/organizations/see-fashion,"",39483
The Refiners,wild-2,https://api.crunchbase.com/v3.1/organizations/wild-2,"",84491
The Refiners,merito,https://api.crunchbase.com/v3.1/organizations/merito,"",39342
The Refiners,the-beans,https://api.crunchbase.com/v3.1/organizations/the-beans,"",35256
The Refiners,gabsee,https://api.crunchbase.com/v3.1/organizations/gabsee,"",30468
The Refiners,talkus,https://api.crunchbase.com/v3.1/organizations/talkus,"",151441
The Refiners,neuralcat,https://api.crunchbase.com/v3.1/organizations/neuralcat,"",301048
The Refiners,muzeek-3557,https://api.crunchbase.com/v3.1/organizations/muzeek-3557,"",122368
The Refiners,jogabo,https://api.crunchbase.com/v3.1/organizations/jogabo,"",127905
The Refiners,heroes-6b4a,https://api.crunchbase.com/v3.1/organizations/heroes-6b4a,"",36094
The Refiners,wittycircle,https://api.crunchbase.com/v3.1/organizations/wittycircle,"",192970
The Refiners,adok,https://api.crunchbase.com/v3.1/organizations/adok,"",43983
The Refiners,kizbat,https://api.crunchbase.com/v3.1/organizations/kizbat,"",79365
The Refiners,daylighted,https://api.crunchbase.com/v3.1/organizations/daylighted,"",67465
The Refiners,doubleoone,https://api.crunchbase.com/v3.1/organizations/doubleoone,"",88828
The Refiners,blupods,https://api.crunchbase.com/v3.1/organizations/blupods,"",65270
The Refiners,prodontis-3,https://api.crunchbase.com/v3.1/organizations/prodontis-3,"",3068
The Refiners,washos,https://api.crunchbase.com/v3.1/organizations/washos,"",34872
The Refiners,cloudscreener-com,https://api.crunchbase.com/v3.1/organizations/cloudscreener-com,"",53180
