Organization Name,Invested In,Api Url,Description,Rank
Threshold,resin-io,https://api.crunchbase.com/v3.1/organizations/resin-io,"",709
Threshold,circle-ci,https://api.crunchbase.com/v3.1/organizations/circle-ci,"",147
Threshold,isocline,https://api.crunchbase.com/v3.1/organizations/isocline,"",21764
Threshold,betterup,https://api.crunchbase.com/v3.1/organizations/betterup,"",7244
Threshold,yellowbrick-data,https://api.crunchbase.com/v3.1/organizations/yellowbrick-data,"",1556
Threshold,storyflow-20c9,https://api.crunchbase.com/v3.1/organizations/storyflow-20c9,"",6508
Threshold,rippling,https://api.crunchbase.com/v3.1/organizations/rippling,"",1067
Threshold,xealth,https://api.crunchbase.com/v3.1/organizations/xealth,"",1221
Threshold,polarr,https://api.crunchbase.com/v3.1/organizations/polarr,"",5521
Threshold,launchdarkly,https://api.crunchbase.com/v3.1/organizations/launchdarkly,"",20934
Threshold,numberai,https://api.crunchbase.com/v3.1/organizations/numberai,"",12057
Threshold,pro-com,https://api.crunchbase.com/v3.1/organizations/pro-com,"",2142
Threshold,set-protocol,https://api.crunchbase.com/v3.1/organizations/set-protocol,"",13430
Threshold,zymergen,https://api.crunchbase.com/v3.1/organizations/zymergen,"",1769
Threshold,divvy-homes,https://api.crunchbase.com/v3.1/organizations/divvy-homes,"",2492
Threshold,talkdesk,https://api.crunchbase.com/v3.1/organizations/talkdesk,"",597
Threshold,shiftcars,https://api.crunchbase.com/v3.1/organizations/shiftcars,"",1261
Threshold,imagentechnologies,https://api.crunchbase.com/v3.1/organizations/imagentechnologies,"",2589
Threshold,verge-genomics,https://api.crunchbase.com/v3.1/organizations/verge-genomics,"",4579
Threshold,ooda-health,https://api.crunchbase.com/v3.1/organizations/ooda-health,"",5389
Threshold,orchid-labs,https://api.crunchbase.com/v3.1/organizations/orchid-labs,"",42944
Threshold,vineti,https://api.crunchbase.com/v3.1/organizations/vineti,"",4047
Threshold,livongo-health,https://api.crunchbase.com/v3.1/organizations/livongo-health,"",639
Threshold,atomwise,https://api.crunchbase.com/v3.1/organizations/atomwise,"",1743
Threshold,front-app,https://api.crunchbase.com/v3.1/organizations/front-app,"",17112
Threshold,remitly,https://api.crunchbase.com/v3.1/organizations/remitly,"",74
Threshold,loftium,https://api.crunchbase.com/v3.1/organizations/loftium,"",9562
Threshold,memphis-meats,https://api.crunchbase.com/v3.1/organizations/memphis-meats,"",17335
Threshold,forward-networks,https://api.crunchbase.com/v3.1/organizations/forward-networks,"",4317
Threshold,lumity-inc,https://api.crunchbase.com/v3.1/organizations/lumity-inc,"",5129
Threshold,azuqua,https://api.crunchbase.com/v3.1/organizations/azuqua,"",7418
Threshold,wellframe,https://api.crunchbase.com/v3.1/organizations/wellframe,"",4108
Threshold,diamanti,https://api.crunchbase.com/v3.1/organizations/diamanti,"",3859
Threshold,ezhome,https://api.crunchbase.com/v3.1/organizations/ezhome,"",85666
Threshold,periscope-inc,https://api.crunchbase.com/v3.1/organizations/periscope-inc,"",1917
Threshold,zoox,https://api.crunchbase.com/v3.1/organizations/zoox,"",7214
Threshold,elationemr,https://api.crunchbase.com/v3.1/organizations/elationemr,"",4883
Threshold,reflect-technologies,https://api.crunchbase.com/v3.1/organizations/reflect-technologies,"",25911
Threshold,human-longevity,https://api.crunchbase.com/v3.1/organizations/human-longevity,"",2729
Threshold,visionary-vr,https://api.crunchbase.com/v3.1/organizations/visionary-vr,"",15706
Threshold,flux-factory,https://api.crunchbase.com/v3.1/organizations/flux-factory,"",8020
Threshold,oration,https://api.crunchbase.com/v3.1/organizations/oration,"",36879
Threshold,nervana-systems,https://api.crunchbase.com/v3.1/organizations/nervana-systems,"",6099
Threshold,twin-prime-inc,https://api.crunchbase.com/v3.1/organizations/twin-prime-inc,"",27536
Threshold,kiwi-inc,https://api.crunchbase.com/v3.1/organizations/kiwi-inc,"",7696
Threshold,doximity,https://api.crunchbase.com/v3.1/organizations/doximity,"",1197
Threshold,piqora,https://api.crunchbase.com/v3.1/organizations/piqora,"",11273
