Investor,organization,Api Url,Description,Rank
True Ventures,inventables,https://api.crunchbase.com/v3.1/organizations/inventables,,450
True Ventures,submishmash,https://api.crunchbase.com/v3.1/organizations/submishmash,,978
True Ventures,mesmer,https://api.crunchbase.com/v3.1/organizations/mesmer,,3730
True Ventures,hi-marley,https://api.crunchbase.com/v3.1/organizations/hi-marley,,6625
True Ventures,whole-biome,https://api.crunchbase.com/v3.1/organizations/whole-biome,,3251
True Ventures,upsie,https://api.crunchbase.com/v3.1/organizations/upsie,,4387
True Ventures,copper-inc,https://api.crunchbase.com/v3.1/organizations/copper-inc,,1650
True Ventures,jour,https://api.crunchbase.com/v3.1/organizations/jour,,8372
True Ventures,understory,https://api.crunchbase.com/v3.1/organizations/understory,,6608
True Ventures,tray,https://api.crunchbase.com/v3.1/organizations/tray,,1638
True Ventures,storyflow-20c9,https://api.crunchbase.com/v3.1/organizations/storyflow-20c9,,6498
True Ventures,swoot,https://api.crunchbase.com/v3.1/organizations/swoot,,19016
True Ventures,fauna-bio,https://api.crunchbase.com/v3.1/organizations/fauna-bio,,15425
True Ventures,orreco,https://api.crunchbase.com/v3.1/organizations/orreco,,12345
True Ventures,sofar-ocean-technologies,https://api.crunchbase.com/v3.1/organizations/sofar-ocean-technologies,,14431
True Ventures,prellis-biologics,https://api.crunchbase.com/v3.1/organizations/prellis-biologics,,8247
True Ventures,avidbots,https://api.crunchbase.com/v3.1/organizations/avidbots,,5397
True Ventures,splice,https://api.crunchbase.com/v3.1/organizations/splice,,17836
True Ventures,accesspay,https://api.crunchbase.com/v3.1/organizations/accesspay,,8939
True Ventures,neosensory-inc,https://api.crunchbase.com/v3.1/organizations/neosensory-inc,,11029
True Ventures,zymergen,https://api.crunchbase.com/v3.1/organizations/zymergen,,1769
True Ventures,venn-biosciences,https://api.crunchbase.com/v3.1/organizations/venn-biosciences,,10749
True Ventures,braintrust-bac9,https://api.crunchbase.com/v3.1/organizations/braintrust-bac9,,11710
True Ventures,fragments-a7cb,https://api.crunchbase.com/v3.1/organizations/fragments-a7cb,,7537
True Ventures,solo-io,https://api.crunchbase.com/v3.1/organizations/solo-io,,6938
True Ventures,flipside-crypto,https://api.crunchbase.com/v3.1/organizations/flipside-crypto,,56877
True Ventures,hashicorp,https://api.crunchbase.com/v3.1/organizations/hashicorp,,756
True Ventures,handshake-2,https://api.crunchbase.com/v3.1/organizations/handshake-2,,1147
True Ventures,teamable,https://api.crunchbase.com/v3.1/organizations/teamable,,5238
True Ventures,mode-inc,https://api.crunchbase.com/v3.1/organizations/mode-inc,,12653
True Ventures,zero-fasting-tracker,https://api.crunchbase.com/v3.1/organizations/zero-fasting-tracker,,35243
True Ventures,bear-flag-robotics,https://api.crunchbase.com/v3.1/organizations/bear-flag-robotics,,12167
True Ventures,girihlet,https://api.crunchbase.com/v3.1/organizations/girihlet,,33266
True Ventures,namely,https://api.crunchbase.com/v3.1/organizations/namely,,1003
True Ventures,peloton-interactive,https://api.crunchbase.com/v3.1/organizations/peloton-interactive,,5553
True Ventures,terramino-foods,https://api.crunchbase.com/v3.1/organizations/terramino-foods,,8952
True Ventures,loansnap,https://api.crunchbase.com/v3.1/organizations/loansnap,,4217
True Ventures,puppet-labs,https://api.crunchbase.com/v3.1/organizations/puppet-labs,,1666
True Ventures,pared,https://api.crunchbase.com/v3.1/organizations/pared,,36794
