investor,organization,Api Url,Description,Rank
Tuesday Capital,donotpay,https://api.crunchbase.com/v3.1/organizations/donotpay,,20673
Tuesday Capital,instawork,https://api.crunchbase.com/v3.1/organizations/instawork,,1809
Tuesday Capital,truepill,https://api.crunchbase.com/v3.1/organizations/truepill,,2892
Tuesday Capital,sapling,https://api.crunchbase.com/v3.1/organizations/sapling,,6062
Tuesday Capital,selfmade,https://api.crunchbase.com/v3.1/organizations/selfmade,,5805
Tuesday Capital,wonolo,https://api.crunchbase.com/v3.1/organizations/wonolo,,771
Tuesday Capital,pachyderm,https://api.crunchbase.com/v3.1/organizations/pachyderm,,5629
Tuesday Capital,yourmechanic,https://api.crunchbase.com/v3.1/organizations/yourmechanic,,2617
Tuesday Capital,socotra,https://api.crunchbase.com/v3.1/organizations/socotra,,5249
Tuesday Capital,downstream-5199,https://api.crunchbase.com/v3.1/organizations/downstream-5199,,12114
Tuesday Capital,iron-ox,https://api.crunchbase.com/v3.1/organizations/iron-ox,,8272
Tuesday Capital,bolt-5,https://api.crunchbase.com/v3.1/organizations/bolt-5,,2297
Tuesday Capital,marble,https://api.crunchbase.com/v3.1/organizations/marble,,5360
Tuesday Capital,truework,https://api.crunchbase.com/v3.1/organizations/truework,,4753
Tuesday Capital,knowherehq,https://api.crunchbase.com/v3.1/organizations/knowherehq,,14417
Tuesday Capital,prodigy-2,https://api.crunchbase.com/v3.1/organizations/prodigy-2,,4315
Tuesday Capital,inbox-2,https://api.crunchbase.com/v3.1/organizations/inbox-2,,3290
Tuesday Capital,oneconcern,https://api.crunchbase.com/v3.1/organizations/oneconcern,,2200
Tuesday Capital,manticore-games,https://api.crunchbase.com/v3.1/organizations/manticore-games,,9517
Tuesday Capital,ntopology,https://api.crunchbase.com/v3.1/organizations/ntopology,,1344
Tuesday Capital,ovrclk,https://api.crunchbase.com/v3.1/organizations/ovrclk,,35119
Tuesday Capital,lightform,https://api.crunchbase.com/v3.1/organizations/lightform,,9477
Tuesday Capital,snatch,https://api.crunchbase.com/v3.1/organizations/snatch,,50126
Tuesday Capital,stream-token,https://api.crunchbase.com/v3.1/organizations/stream-token,,30191
Tuesday Capital,orchid-labs,https://api.crunchbase.com/v3.1/organizations/orchid-labs,,42936
Tuesday Capital,solugen,https://api.crunchbase.com/v3.1/organizations/solugen,,4457
Tuesday Capital,the-sill,https://api.crunchbase.com/v3.1/organizations/the-sill,,5076
Tuesday Capital,brainspec,https://api.crunchbase.com/v3.1/organizations/brainspec,,34385
Tuesday Capital,satellogic,https://api.crunchbase.com/v3.1/organizations/satellogic,,6438
Tuesday Capital,fairy,https://api.crunchbase.com/v3.1/organizations/fairy,,12029
Tuesday Capital,joyrun,https://api.crunchbase.com/v3.1/organizations/joyrun,,8534
Tuesday Capital,grabango,https://api.crunchbase.com/v3.1/organizations/grabango,,4372
Tuesday Capital,goldbelly,https://api.crunchbase.com/v3.1/organizations/goldbelly,,4378
Tuesday Capital,vantage-robotics,https://api.crunchbase.com/v3.1/organizations/vantage-robotics,,12296
Tuesday Capital,aurora-tech-inc,https://api.crunchbase.com/v3.1/organizations/aurora-tech-inc,,10900
Tuesday Capital,privacy-labs,https://api.crunchbase.com/v3.1/organizations/privacy-labs,,12094
Tuesday Capital,ubiome,https://api.crunchbase.com/v3.1/organizations/ubiome,,234
Tuesday Capital,tcell-io,https://api.crunchbase.com/v3.1/organizations/tcell-io,,2353
Tuesday Capital,mentat-llc,https://api.crunchbase.com/v3.1/organizations/mentat-llc,,87604
Tuesday Capital,heysimbi,https://api.crunchbase.com/v3.1/organizations/heysimbi,,23631
Tuesday Capital,goforward,https://api.crunchbase.com/v3.1/organizations/goforward,,29069
