investor,organization,Api Url,Description,Rank
Vertex Ventures,socash,https://api.crunchbase.com/v3.1/organizations/socash,,1094
Vertex Ventures,ace-turtle-services-pvt-ltd,https://api.crunchbase.com/v3.1/organizations/ace-turtle-services-pvt-ltd,,1612
Vertex Ventures,fyde,https://api.crunchbase.com/v3.1/organizations/fyde,,24681
Vertex Ventures,valtix,https://api.crunchbase.com/v3.1/organizations/valtix,,1508
Vertex Ventures,active-ai,https://api.crunchbase.com/v3.1/organizations/active-ai,,34599
Vertex Ventures,cylus,https://api.crunchbase.com/v3.1/organizations/cylus,,7576
Vertex Ventures,glowroad,https://api.crunchbase.com/v3.1/organizations/glowroad,,1807
Vertex Ventures,ownbackup,https://api.crunchbase.com/v3.1/organizations/ownbackup,,3009
Vertex Ventures,semidrive,https://api.crunchbase.com/v3.1/organizations/semidrive,,145227
Vertex Ventures,100-classroom,https://api.crunchbase.com/v3.1/organizations/100-classroom,,168336
Vertex Ventures,xiaoduo-technology,https://api.crunchbase.com/v3.1/organizations/xiaoduo-technology,,34339
Vertex Ventures,higharc,https://api.crunchbase.com/v3.1/organizations/higharc,,9161
Vertex Ventures,twentyeight-seven-therapeutics,https://api.crunchbase.com/v3.1/organizations/twentyeight-seven-therapeutics,,11500
Vertex Ventures,astound-ai,https://api.crunchbase.com/v3.1/organizations/astound-ai,,4266
Vertex Ventures,happyfresh,https://api.crunchbase.com/v3.1/organizations/happyfresh,,2995
Vertex Ventures,lelecha,https://api.crunchbase.com/v3.1/organizations/lelecha,,21458
Vertex Ventures,guesty,https://api.crunchbase.com/v3.1/organizations/guesty,,2569
Vertex Ventures,cymulate,https://api.crunchbase.com/v3.1/organizations/cymulate,,5254
Vertex Ventures,launchdarkly,https://api.crunchbase.com/v3.1/organizations/launchdarkly,,20934
Vertex Ventures,vintra-inc,https://api.crunchbase.com/v3.1/organizations/vintra-inc,,11165
Vertex Ventures,turnkey-lender,https://api.crunchbase.com/v3.1/organizations/turnkey-lender,,10563
Vertex Ventures,kryon-systems,https://api.crunchbase.com/v3.1/organizations/kryon-systems,,2208
Vertex Ventures,validus-capital,https://api.crunchbase.com/v3.1/organizations/validus-capital,,3876
Vertex Ventures,tulip-interfaces,https://api.crunchbase.com/v3.1/organizations/tulip-interfaces,,2587
Vertex Ventures,axonius,https://api.crunchbase.com/v3.1/organizations/axonius,,3426
Vertex Ventures,perimeterx-inc-,https://api.crunchbase.com/v3.1/organizations/perimeterx-inc-,,1505
Vertex Ventures,verbit-ai,https://api.crunchbase.com/v3.1/organizations/verbit-ai,,33028
Vertex Ventures,warung-pintar,https://api.crunchbase.com/v3.1/organizations/warung-pintar,,3651
Vertex Ventures,housejoy,https://api.crunchbase.com/v3.1/organizations/housejoy,,4469
Vertex Ventures,bicycle-therapeutics,https://api.crunchbase.com/v3.1/organizations/bicycle-therapeutics,,4291
Vertex Ventures,instarem,https://api.crunchbase.com/v3.1/organizations/instarem,,767
Vertex Ventures,geek,https://api.crunchbase.com/v3.1/organizations/geek,,1496
Vertex Ventures,xiaoqule,https://api.crunchbase.com/v3.1/organizations/xiaoqule,,19304
Vertex Ventures,taranis-2,https://api.crunchbase.com/v3.1/organizations/taranis-2,,3616
Vertex Ventures,binance,https://api.crunchbase.com/v3.1/organizations/binance,,5330
Vertex Ventures,earlens,https://api.crunchbase.com/v3.1/organizations/earlens,,6180
Vertex Ventures,qnect-technologies-limited,https://api.crunchbase.com/v3.1/organizations/qnect-technologies-limited,,14315
Vertex Ventures,licious,https://api.crunchbase.com/v3.1/organizations/licious,,2777
Vertex Ventures,kissht,https://api.crunchbase.com/v3.1/organizations/kissht,,598
Vertex Ventures,julive-com,https://api.crunchbase.com/v3.1/organizations/julive-com,,36144
Vertex Ventures,zencity,https://api.crunchbase.com/v3.1/organizations/zencity,,7994
Vertex Ventures,cloudcherry,https://api.crunchbase.com/v3.1/organizations/cloudcherry,,5392
Vertex Ventures,fleetonomy,https://api.crunchbase.com/v3.1/organizations/fleetonomy,,9346
Vertex Ventures,indegy,https://api.crunchbase.com/v3.1/organizations/indegy,,1995
Vertex Ventures,very-good-security,https://api.crunchbase.com/v3.1/organizations/very-good-security,,5217
Vertex Ventures,spotinst,https://api.crunchbase.com/v3.1/organizations/spotinst,,19409
Vertex Ventures,harbour-biomed,https://api.crunchbase.com/v3.1/organizations/harbour-biomed,,14711
Vertex Ventures,cicil,https://api.crunchbase.com/v3.1/organizations/cicil,,30503
Vertex Ventures,sunday-ins-co-ltd,https://api.crunchbase.com/v3.1/organizations/sunday-ins-co-ltd,,4900
Vertex Ventures,hansel-io,https://api.crunchbase.com/v3.1/organizations/hansel-io,,8506
Vertex Ventures,dor-technologies,https://api.crunchbase.com/v3.1/organizations/dor-technologies,,4820
Vertex Ventures,tucodec,https://api.crunchbase.com/v3.1/organizations/tucodec,,34203
Vertex Ventures,ioranges-automation,https://api.crunchbase.com/v3.1/organizations/ioranges-automation,,42331
Vertex Ventures,datos-health,https://api.crunchbase.com/v3.1/organizations/datos-health,,84507
Vertex Ventures,easyops,https://api.crunchbase.com/v3.1/organizations/easyops,,51563
Vertex Ventures,trigo-vision,https://api.crunchbase.com/v3.1/organizations/trigo-vision,,4959
Vertex Ventures,datarails,https://api.crunchbase.com/v3.1/organizations/datarails,,14631
Vertex Ventures,meta-networks,https://api.crunchbase.com/v3.1/organizations/meta-networks,,12558
Vertex Ventures,hotelogix,https://api.crunchbase.com/v3.1/organizations/hotelogix,,51011
Vertex Ventures,nucleai,https://api.crunchbase.com/v3.1/organizations/nucleai,,10802
Vertex Ventures,ancsonic,https://api.crunchbase.com/v3.1/organizations/ancsonic,,30005
Vertex Ventures,storehub,https://api.crunchbase.com/v3.1/organizations/storehub,,9079
Vertex Ventures,solidenergy,https://api.crunchbase.com/v3.1/organizations/solidenergy,,5945
Vertex Ventures,interana,https://api.crunchbase.com/v3.1/organizations/interana,,3417
Vertex Ventures,guoxiaomei,https://api.crunchbase.com/v3.1/organizations/guoxiaomei,,29676
Vertex Ventures,obsidian-therapeutics,https://api.crunchbase.com/v3.1/organizations/obsidian-therapeutics,,8646
Vertex Ventures,easyretailpro,https://api.crunchbase.com/v3.1/organizations/easyretailpro,,41381
Vertex Ventures,yotpo,https://api.crunchbase.com/v3.1/organizations/yotpo,,1206
Vertex Ventures,huajuan-mall,https://api.crunchbase.com/v3.1/organizations/huajuan-mall,,44637
Vertex Ventures,visterra,https://api.crunchbase.com/v3.1/organizations/visterra,,11885
Vertex Ventures,palleon-pharma,https://api.crunchbase.com/v3.1/organizations/palleon-pharma,,18612
Vertex Ventures,synup,https://api.crunchbase.com/v3.1/organizations/synup,,6411
Vertex Ventures,ushr,https://api.crunchbase.com/v3.1/organizations/ushr,,82023
Vertex Ventures,innoviz-technologies,https://api.crunchbase.com/v3.1/organizations/innoviz-technologies,,1356
Vertex Ventures,quilt-data,https://api.crunchbase.com/v3.1/organizations/quilt-data,,15064
Vertex Ventures,17-media,https://api.crunchbase.com/v3.1/organizations/17-media,,5199
Vertex Ventures,xingtang-miniktv,https://api.crunchbase.com/v3.1/organizations/xingtang-miniktv,,62598
Vertex Ventures,dynamic-yield,https://api.crunchbase.com/v3.1/organizations/dynamic-yield,,305
Vertex Ventures,desktop-metal,https://api.crunchbase.com/v3.1/organizations/desktop-metal,,1029
