Organization Name,Invested In,Api Url,Description,Rank
Total Access Fund,tara,https://api.crunchbase.com/v3.1/organizations/tara,"",2271
Total Access Fund,cariq-2,https://api.crunchbase.com/v3.1/organizations/cariq-2,"",3864
Total Access Fund,tundra,https://api.crunchbase.com/v3.1/organizations/tundra,"",2391
Total Access Fund,sense-photonics,https://api.crunchbase.com/v3.1/organizations/sense-photonics,"",850
Total Access Fund,alyce-co,https://api.crunchbase.com/v3.1/organizations/alyce-co,"",31289
Total Access Fund,civic-eagle,https://api.crunchbase.com/v3.1/organizations/civic-eagle,"",24115
Total Access Fund,mdmetrix,https://api.crunchbase.com/v3.1/organizations/mdmetrix,"",24301
Total Access Fund,tempo-automation,https://api.crunchbase.com/v3.1/organizations/tempo-automation,"",1996
Total Access Fund,true-rowing,https://api.crunchbase.com/v3.1/organizations/true-rowing,"",2202
Total Access Fund,scipher-medicine,https://api.crunchbase.com/v3.1/organizations/scipher-medicine,"",12668
Total Access Fund,almanac-labs,https://api.crunchbase.com/v3.1/organizations/almanac-labs,"",304141
Total Access Fund,what3words,https://api.crunchbase.com/v3.1/organizations/what3words,"",3287
Total Access Fund,emerald-therapeutics,https://api.crunchbase.com/v3.1/organizations/emerald-therapeutics,"",4344
Total Access Fund,storyfit,https://api.crunchbase.com/v3.1/organizations/storyfit,"",11946
Total Access Fund,ollie,https://api.crunchbase.com/v3.1/organizations/ollie,"",1017
Total Access Fund,oh-my-green,https://api.crunchbase.com/v3.1/organizations/oh-my-green,"",2955
Total Access Fund,xaptum,https://api.crunchbase.com/v3.1/organizations/xaptum,"",15887
Total Access Fund,compassinc,https://api.crunchbase.com/v3.1/organizations/compassinc,"",4197
Total Access Fund,goveem,https://api.crunchbase.com/v3.1/organizations/goveem,"",2884
Total Access Fund,localwise,https://api.crunchbase.com/v3.1/organizations/localwise,"",24241
Total Access Fund,lacework,https://api.crunchbase.com/v3.1/organizations/lacework,"",2714
Total Access Fund,higia,https://api.crunchbase.com/v3.1/organizations/higia,"",8475
Total Access Fund,sqz-biotech,https://api.crunchbase.com/v3.1/organizations/sqz-biotech,"",5540
Total Access Fund,contraline,https://api.crunchbase.com/v3.1/organizations/contraline,"",22023
Total Access Fund,openinvest,https://api.crunchbase.com/v3.1/organizations/openinvest,"",4792
Total Access Fund,hingeto,https://api.crunchbase.com/v3.1/organizations/hingeto,"",29738
Total Access Fund,welbehealth,https://api.crunchbase.com/v3.1/organizations/welbehealth,"",11937
Total Access Fund,peach,https://api.crunchbase.com/v3.1/organizations/peach,"",27008
Total Access Fund,zippity,https://api.crunchbase.com/v3.1/organizations/zippity,"",17280
Total Access Fund,bainbridge-health,https://api.crunchbase.com/v3.1/organizations/bainbridge-health,"",21193
Total Access Fund,mezu,https://api.crunchbase.com/v3.1/organizations/mezu,"",9933
Total Access Fund,føcal,https://api.crunchbase.com/v3.1/organizations/føcal,"",34457
Total Access Fund,verity-studios,https://api.crunchbase.com/v3.1/organizations/verity-studios,"",13387
Total Access Fund,structural,https://api.crunchbase.com/v3.1/organizations/structural,"",22638
Total Access Fund,smart-wire-grid,https://api.crunchbase.com/v3.1/organizations/smart-wire-grid,"",10736
Total Access Fund,sondermind,https://api.crunchbase.com/v3.1/organizations/sondermind,"",11614
Total Access Fund,honor-2,https://api.crunchbase.com/v3.1/organizations/honor-2,"",101
Total Access Fund,base-venture,https://api.crunchbase.com/v3.1/organizations/base-venture,"",26930
Total Access Fund,motorq,https://api.crunchbase.com/v3.1/organizations/motorq,"",21663
Total Access Fund,high-brew-coffee,https://api.crunchbase.com/v3.1/organizations/high-brew-coffee,"",5189
Total Access Fund,vesper,https://api.crunchbase.com/v3.1/organizations/vesper,"",4509
Total Access Fund,petplate,https://api.crunchbase.com/v3.1/organizations/petplate,"",9488
Total Access Fund,salido,https://api.crunchbase.com/v3.1/organizations/salido,"",6697
Total Access Fund,sail-internet,https://api.crunchbase.com/v3.1/organizations/sail-internet,"",23803
Total Access Fund,zerocater,https://api.crunchbase.com/v3.1/organizations/zerocater,"",4461
Total Access Fund,collabip,https://api.crunchbase.com/v3.1/organizations/collabip,"",6059
Total Access Fund,sunfolding,https://api.crunchbase.com/v3.1/organizations/sunfolding,"",26131
Total Access Fund,intelity,https://api.crunchbase.com/v3.1/organizations/intelity,"",4763
Total Access Fund,realself,https://api.crunchbase.com/v3.1/organizations/realself,"",5088
Total Access Fund,rapidsos,https://api.crunchbase.com/v3.1/organizations/rapidsos,"",1570
Total Access Fund,rubiconmd,https://api.crunchbase.com/v3.1/organizations/rubiconmd,"",4369
Total Access Fund,mighty-buildings-yc-w18,https://api.crunchbase.com/v3.1/organizations/mighty-buildings-yc-w18,"",3637
Total Access Fund,datanomix,https://api.crunchbase.com/v3.1/organizations/datanomix,"",37039
Total Access Fund,smitten-ice-cream,https://api.crunchbase.com/v3.1/organizations/smitten-ice-cream,"",104587
Total Access Fund,accolade,https://api.crunchbase.com/v3.1/organizations/accolade,"",394
Total Access Fund,new-aera,https://api.crunchbase.com/v3.1/organizations/new-aera,"",366069
Total Access Fund,commonbond,https://api.crunchbase.com/v3.1/organizations/commonbond,"",1102
Total Access Fund,errand-solutions,https://api.crunchbase.com/v3.1/organizations/errand-solutions,"",52031
Total Access Fund,chatlingual,https://api.crunchbase.com/v3.1/organizations/chatlingual,"",46639
Total Access Fund,headlight-aa88,https://api.crunchbase.com/v3.1/organizations/headlight-aa88,"",143996
Total Access Fund,tari-labs,https://api.crunchbase.com/v3.1/organizations/tari-labs,"",91269
Total Access Fund,dots-devices,https://api.crunchbase.com/v3.1/organizations/dots-devices,"",17972
Total Access Fund,relayr,https://api.crunchbase.com/v3.1/organizations/relayr,"",1844
Total Access Fund,health-hero,https://api.crunchbase.com/v3.1/organizations/health-hero,"",14331
Total Access Fund,emme,https://api.crunchbase.com/v3.1/organizations/emme,"",92348
Total Access Fund,blockfi-inc,https://api.crunchbase.com/v3.1/organizations/blockfi-inc,"",29379
Total Access Fund,siris-medical,https://api.crunchbase.com/v3.1/organizations/siris-medical,"",31229
Total Access Fund,propelplm-inc,https://api.crunchbase.com/v3.1/organizations/propelplm-inc,"",5500
Total Access Fund,neuspera-medica,https://api.crunchbase.com/v3.1/organizations/neuspera-medica,"",12320
Total Access Fund,dog-parker,https://api.crunchbase.com/v3.1/organizations/dog-parker,"",23129
Total Access Fund,jump-bikes,https://api.crunchbase.com/v3.1/organizations/jump-bikes,"",36918
Total Access Fund,freewire-technologies,https://api.crunchbase.com/v3.1/organizations/freewire-technologies,"",5357
Total Access Fund,vahan,https://api.crunchbase.com/v3.1/organizations/vahan,"",59957
Total Access Fund,manus-biosynthesis,https://api.crunchbase.com/v3.1/organizations/manus-biosynthesis,"",13291
Total Access Fund,horsepower-technologies,https://api.crunchbase.com/v3.1/organizations/horsepower-technologies,"",35497
Total Access Fund,agile-stacks-inc,https://api.crunchbase.com/v3.1/organizations/agile-stacks-inc,"",10837
Total Access Fund,wylei-llc,https://api.crunchbase.com/v3.1/organizations/wylei-llc,"",28523
Total Access Fund,fabric-insurance-agency,https://api.crunchbase.com/v3.1/organizations/fabric-insurance-agency,"",6094
Total Access Fund,evernym,https://api.crunchbase.com/v3.1/organizations/evernym,"",8297
Total Access Fund,hiburrow,https://api.crunchbase.com/v3.1/organizations/hiburrow,"",30881
Total Access Fund,divergent3d,https://api.crunchbase.com/v3.1/organizations/divergent3d,"",6906
Total Access Fund,trocafone,https://api.crunchbase.com/v3.1/organizations/trocafone,"",8033
Total Access Fund,regalii,https://api.crunchbase.com/v3.1/organizations/regalii,"",2188
Total Access Fund,prenav,https://api.crunchbase.com/v3.1/organizations/prenav,"",13682
Total Access Fund,aurasense-therapeutics,https://api.crunchbase.com/v3.1/organizations/aurasense-therapeutics,"",9403
