Organization Name,Invested In,Api Url,Description,Rank
Techno Venture Management,precision-therapeutics,https://api.crunchbase.com/v3.1/organizations/precision-therapeutics,"",24148
Techno Venture Management,streaming21,https://api.crunchbase.com/v3.1/organizations/streaming21,"",197223
Techno Venture Management,revolt-technology,https://api.crunchbase.com/v3.1/organizations/revolt-technology,"",53286
Techno Venture Management,bluebird-bio,https://api.crunchbase.com/v3.1/organizations/bluebird-bio,"",2602
Techno Venture Management,itac-software,https://api.crunchbase.com/v3.1/organizations/itac-software,"",235226
Techno Venture Management,coley-pharmaceutical-group,https://api.crunchbase.com/v3.1/organizations/coley-pharmaceutical-group,"",151043
Techno Venture Management,enanta-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/enanta-pharmaceuticals,"",18406
Techno Venture Management,jerini,https://api.crunchbase.com/v3.1/organizations/jerini,"",285564
Techno Venture Management,addex-therapeutics,https://api.crunchbase.com/v3.1/organizations/addex-therapeutics,"",23342
Techno Venture Management,cambridge-broadband-networks,https://api.crunchbase.com/v3.1/organizations/cambridge-broadband-networks,"",40857
Techno Venture Management,evotec-neurosciences,https://api.crunchbase.com/v3.1/organizations/evotec-neurosciences,"",344064
Techno Venture Management,selectx-pharmaceuticals-inc,https://api.crunchbase.com/v3.1/organizations/selectx-pharmaceuticals-inc,"",277227
Techno Venture Management,coreoptics,https://api.crunchbase.com/v3.1/organizations/coreoptics,"",208562
Techno Venture Management,ardana-bioscience,https://api.crunchbase.com/v3.1/organizations/ardana-bioscience,"",207673
Techno Venture Management,intercell-biomedical-research-development-ag,https://api.crunchbase.com/v3.1/organizations/intercell-biomedical-research-development-ag,"",228319
Techno Venture Management,nanostream-inc,https://api.crunchbase.com/v3.1/organizations/nanostream-inc,"",234547
Techno Venture Management,sirna-therapeutics,https://api.crunchbase.com/v3.1/organizations/sirna-therapeutics,"",143912
Techno Venture Management,clearcube,https://api.crunchbase.com/v3.1/organizations/clearcube,"",107770
Techno Venture Management,direvo-biotech,https://api.crunchbase.com/v3.1/organizations/direvo-biotech,"",66788
Techno Venture Management,cardion,https://api.crunchbase.com/v3.1/organizations/cardion,"",238132
Techno Venture Management,confluent-surgical,https://api.crunchbase.com/v3.1/organizations/confluent-surgical,"",227428
Techno Venture Management,alfabet,https://api.crunchbase.com/v3.1/organizations/alfabet,"",170739
Techno Venture Management,ic-mechanics,https://api.crunchbase.com/v3.1/organizations/ic-mechanics,"",661165
Techno Venture Management,develogen-ag,https://api.crunchbase.com/v3.1/organizations/develogen-ag,"",283029
Techno Venture Management,b-there-com,https://api.crunchbase.com/v3.1/organizations/b-there-com,"",359982
Techno Venture Management,iolon-inc,https://api.crunchbase.com/v3.1/organizations/iolon-inc,"",245856
Techno Venture Management,zeptosens,https://api.crunchbase.com/v3.1/organizations/zeptosens,"",293599
Techno Venture Management,talia,https://api.crunchbase.com/v3.1/organizations/talia,"",212139
Techno Venture Management,epicept-corporation,https://api.crunchbase.com/v3.1/organizations/epicept-corporation,"",210794
Techno Venture Management,nanogram,https://api.crunchbase.com/v3.1/organizations/nanogram,"",54761
Techno Venture Management,impress-software-solutions,https://api.crunchbase.com/v3.1/organizations/impress-software-solutions,"",147235
Techno Venture Management,tantau-software,https://api.crunchbase.com/v3.1/organizations/tantau-software,"",361697
Techno Venture Management,hepavec-ag,https://api.crunchbase.com/v3.1/organizations/hepavec-ag,"",664831
Techno Venture Management,polytrax-information-technology,https://api.crunchbase.com/v3.1/organizations/polytrax-information-technology,"",515494
Techno Venture Management,ingenium-pharmaceuticals-ag,https://api.crunchbase.com/v3.1/organizations/ingenium-pharmaceuticals-ag,"",638227
