Organization Name,Invested In,Api Url,Description,Rank
Union Kitchen,bayo,https://api.crunchbase.com/v3.1/organizations/bayo,"",671023
Union Kitchen,cured-and-crisp,https://api.crunchbase.com/v3.1/organizations/cured-and-crisp,"",613837
Union Kitchen,good-acv,https://api.crunchbase.com/v3.1/organizations/good-acv,"",757223
Union Kitchen,para-hita,https://api.crunchbase.com/v3.1/organizations/para-hita,"",338670
Union Kitchen,walt-s-original-waffle-buns,https://api.crunchbase.com/v3.1/organizations/walt-s-original-waffle-buns,"",390618
Union Kitchen,jasmine-indian-foods,https://api.crunchbase.com/v3.1/organizations/jasmine-indian-foods,"",621294
Union Kitchen,rocket-foods-df7e,https://api.crunchbase.com/v3.1/organizations/rocket-foods-df7e,"",640688
Union Kitchen,bluenoon,https://api.crunchbase.com/v3.1/organizations/bluenoon,"",301218
Union Kitchen,sweet-dames,https://api.crunchbase.com/v3.1/organizations/sweet-dames,"",277316
Union Kitchen,park-pie-company,https://api.crunchbase.com/v3.1/organizations/park-pie-company,"",402458
Union Kitchen,wink-foods,https://api.crunchbase.com/v3.1/organizations/wink-foods,"",642867
Union Kitchen,easy-pesto,https://api.crunchbase.com/v3.1/organizations/easy-pesto,"",611640
Union Kitchen,haute-praline,https://api.crunchbase.com/v3.1/organizations/haute-praline,"",280272
Union Kitchen,swiss-cheese,https://api.crunchbase.com/v3.1/organizations/swiss-cheese,"",725858
Union Kitchen,woodfire-bakery,https://api.crunchbase.com/v3.1/organizations/woodfire-bakery,"",572603
Union Kitchen,sweetkiwi,https://api.crunchbase.com/v3.1/organizations/sweetkiwi,"",219497
Union Kitchen,afirma,https://api.crunchbase.com/v3.1/organizations/afirma,"",461122
Union Kitchen,veggie-confetti,https://api.crunchbase.com/v3.1/organizations/veggie-confetti,"",95520
Union Kitchen,genuine-roots,https://api.crunchbase.com/v3.1/organizations/genuine-roots,"",443676
Union Kitchen,swizzler,https://api.crunchbase.com/v3.1/organizations/swizzler,"",389661
Union Kitchen,the-meat-empire,https://api.crunchbase.com/v3.1/organizations/the-meat-empire,"",538350
Union Kitchen,owluma,https://api.crunchbase.com/v3.1/organizations/owluma,"",174761
Union Kitchen,tortilladora,https://api.crunchbase.com/v3.1/organizations/tortilladora,"",528557
Union Kitchen,lord-of-the-pies,https://api.crunchbase.com/v3.1/organizations/lord-of-the-pies,"",510329
Union Kitchen,tamago-creations,https://api.crunchbase.com/v3.1/organizations/tamago-creations,"",338033
Union Kitchen,ripe-gelato,https://api.crunchbase.com/v3.1/organizations/ripe-gelato,"",243015
Union Kitchen,blue-crate,https://api.crunchbase.com/v3.1/organizations/blue-crate,"",143317
Union Kitchen,splash-tea,https://api.crunchbase.com/v3.1/organizations/splash-tea,"",367532
Union Kitchen,8-myles,https://api.crunchbase.com/v3.1/organizations/8-myles,"",281677
Union Kitchen,swapples,https://api.crunchbase.com/v3.1/organizations/swapples,"",206941
Union Kitchen,sip-city,https://api.crunchbase.com/v3.1/organizations/sip-city,"",209259
Union Kitchen,vegetable-and-butcher,https://api.crunchbase.com/v3.1/organizations/vegetable-and-butcher,"",270877
Union Kitchen,gomix,https://api.crunchbase.com/v3.1/organizations/gomix,"",263522
Union Kitchen,poppy-s-stuffed-bagel-holes,https://api.crunchbase.com/v3.1/organizations/poppy-s-stuffed-bagel-holes,"",355207
Union Kitchen,modern-bar-cart,https://api.crunchbase.com/v3.1/organizations/modern-bar-cart,"",370984
Union Kitchen,eat-pizza,https://api.crunchbase.com/v3.1/organizations/eat-pizza,"",167080
Union Kitchen,larkin-cocktails,https://api.crunchbase.com/v3.1/organizations/larkin-cocktails,"",730271
Union Kitchen,berg-bites,https://api.crunchbase.com/v3.1/organizations/berg-bites,"",224496
Union Kitchen,caribe-juice,https://api.crunchbase.com/v3.1/organizations/caribe-juice,"",49956
Union Kitchen,superfood-water-0b46,https://api.crunchbase.com/v3.1/organizations/superfood-water-0b46,"",547330
Union Kitchen,cosmic-juice,https://api.crunchbase.com/v3.1/organizations/cosmic-juice,"",443692
Union Kitchen,veggan,https://api.crunchbase.com/v3.1/organizations/veggan,"",735648
Union Kitchen,dorjee-momo,https://api.crunchbase.com/v3.1/organizations/dorjee-momo,"",502450
Union Kitchen,milk-cult,https://api.crunchbase.com/v3.1/organizations/milk-cult,"",440648
Union Kitchen,au-some-foods,https://api.crunchbase.com/v3.1/organizations/au-some-foods,"",432955
Union Kitchen,sasya,https://api.crunchbase.com/v3.1/organizations/sasya,"",173244
Union Kitchen,holesum,https://api.crunchbase.com/v3.1/organizations/holesum,"",739141
Union Kitchen,al-sur,https://api.crunchbase.com/v3.1/organizations/al-sur,"",471631
Union Kitchen,brainy-belly,https://api.crunchbase.com/v3.1/organizations/brainy-belly,"",326990
Union Kitchen,caleb-s-cooking-co,https://api.crunchbase.com/v3.1/organizations/caleb-s-cooking-co,"",213526
Union Kitchen,chocotenango-5db3,https://api.crunchbase.com/v3.1/organizations/chocotenango-5db3,"",358543
Union Kitchen,restore,https://api.crunchbase.com/v3.1/organizations/restore,"",444072
Union Kitchen,snacklins,https://api.crunchbase.com/v3.1/organizations/snacklins,"",59431
