Organization Name,Invested In,Api Url,Description,Rank
UpHonest Capital,anyplace,https://api.crunchbase.com/v3.1/organizations/anyplace,"",7070
UpHonest Capital,dah-makan,https://api.crunchbase.com/v3.1/organizations/dah-makan,"",1054
UpHonest Capital,theta,https://api.crunchbase.com/v3.1/organizations/theta,"",26624
UpHonest Capital,ellebox,https://api.crunchbase.com/v3.1/organizations/ellebox,"",6885
UpHonest Capital,skymind,https://api.crunchbase.com/v3.1/organizations/skymind,"",3822
UpHonest Capital,seattle-food-tech-sft,https://api.crunchbase.com/v3.1/organizations/seattle-food-tech-sft,"",15171
UpHonest Capital,court-buddy,https://api.crunchbase.com/v3.1/organizations/court-buddy,"",3793
UpHonest Capital,oh-my-green,https://api.crunchbase.com/v3.1/organizations/oh-my-green,"",2955
UpHonest Capital,tripalink,https://api.crunchbase.com/v3.1/organizations/tripalink,"",10519
UpHonest Capital,frey-5255,https://api.crunchbase.com/v3.1/organizations/frey-5255,"",16457
UpHonest Capital,bungalow,https://api.crunchbase.com/v3.1/organizations/bungalow,"",1216
UpHonest Capital,grabb-it,https://api.crunchbase.com/v3.1/organizations/grabb-it,"",22277
UpHonest Capital,c16-biosciences,https://api.crunchbase.com/v3.1/organizations/c16-biosciences,"",18080
UpHonest Capital,eon-protocol,https://api.crunchbase.com/v3.1/organizations/eon-protocol,"",96138
UpHonest Capital,unbound-4,https://api.crunchbase.com/v3.1/organizations/unbound-4,"",7374
UpHonest Capital,chihuo-inc,https://api.crunchbase.com/v3.1/organizations/chihuo-inc,"",26422
UpHonest Capital,pact-pharma,https://api.crunchbase.com/v3.1/organizations/pact-pharma,"",3063
UpHonest Capital,cabin-2,https://api.crunchbase.com/v3.1/organizations/cabin-2,"",9966
UpHonest Capital,substack,https://api.crunchbase.com/v3.1/organizations/substack,"",6040
UpHonest Capital,bumblebee-spaces,https://api.crunchbase.com/v3.1/organizations/bumblebee-spaces,"",56011
UpHonest Capital,sketchbox,https://api.crunchbase.com/v3.1/organizations/sketchbox,"",40789
UpHonest Capital,reverie-labs,https://api.crunchbase.com/v3.1/organizations/reverie-labs,"",75347
UpHonest Capital,zenflow,https://api.crunchbase.com/v3.1/organizations/zenflow,"",13500
UpHonest Capital,pulse-q-a,https://api.crunchbase.com/v3.1/organizations/pulse-q-a,"",12518
UpHonest Capital,medumo-2,https://api.crunchbase.com/v3.1/organizations/medumo-2,"",997
UpHonest Capital,avro-life-science,https://api.crunchbase.com/v3.1/organizations/avro-life-science,"",19051
UpHonest Capital,proven-2932,https://api.crunchbase.com/v3.1/organizations/proven-2932,"",62499
UpHonest Capital,culture-robotics,https://api.crunchbase.com/v3.1/organizations/culture-robotics,"",7710
UpHonest Capital,evry-healthcare,https://api.crunchbase.com/v3.1/organizations/evry-healthcare,"",36020
UpHonest Capital,scanwell-health,https://api.crunchbase.com/v3.1/organizations/scanwell-health,"",20183
UpHonest Capital,tulip,https://api.crunchbase.com/v3.1/organizations/tulip,"",136907
UpHonest Capital,hims,https://api.crunchbase.com/v3.1/organizations/hims,"",14278
UpHonest Capital,wolf---shepherd,https://api.crunchbase.com/v3.1/organizations/wolf---shepherd,"",13948
UpHonest Capital,snap-ship,https://api.crunchbase.com/v3.1/organizations/snap-ship,"",21389
UpHonest Capital,darmiyan,https://api.crunchbase.com/v3.1/organizations/darmiyan,"",18408
UpHonest Capital,billiontoone,https://api.crunchbase.com/v3.1/organizations/billiontoone,"",3898
UpHonest Capital,pyka,https://api.crunchbase.com/v3.1/organizations/pyka,"",17567
UpHonest Capital,square-roots-urban-growers,https://api.crunchbase.com/v3.1/organizations/square-roots-urban-growers,"",13039
UpHonest Capital,skyways,https://api.crunchbase.com/v3.1/organizations/skyways,"",16648
UpHonest Capital,prx-co,https://api.crunchbase.com/v3.1/organizations/prx-co,"",32491
UpHonest Capital,junzi-kitchen,https://api.crunchbase.com/v3.1/organizations/junzi-kitchen,"",15333
UpHonest Capital,returnbase,https://api.crunchbase.com/v3.1/organizations/returnbase,"",116094
UpHonest Capital,boom-technology,https://api.crunchbase.com/v3.1/organizations/boom-technology,"",3418
UpHonest Capital,limebike,https://api.crunchbase.com/v3.1/organizations/limebike,"",1706
UpHonest Capital,rippling,https://api.crunchbase.com/v3.1/organizations/rippling,"",1067
UpHonest Capital,merit,https://api.crunchbase.com/v3.1/organizations/merit,"",11023
UpHonest Capital,mux-2,https://api.crunchbase.com/v3.1/organizations/mux-2,"",4399
UpHonest Capital,talkiq,https://api.crunchbase.com/v3.1/organizations/talkiq,"",8963
UpHonest Capital,rescale,https://api.crunchbase.com/v3.1/organizations/rescale,"",2470
UpHonest Capital,marble,https://api.crunchbase.com/v3.1/organizations/marble,"",5360
UpHonest Capital,cover-5,https://api.crunchbase.com/v3.1/organizations/cover-5,"",3343
