Organization Name,Invested In,Api Url,Description,Rank
UpTech Accelerator,wintro,https://api.crunchbase.com/v3.1/organizations/wintro,"",110559
UpTech Accelerator,convolytics,https://api.crunchbase.com/v3.1/organizations/convolytics,"",70562
UpTech Accelerator,crownmob,https://api.crunchbase.com/v3.1/organizations/crownmob,"",65904
UpTech Accelerator,kiwilive,https://api.crunchbase.com/v3.1/organizations/kiwilive,"",101074
UpTech Accelerator,themonetizr,https://api.crunchbase.com/v3.1/organizations/themonetizr,"",15026
UpTech Accelerator,papr-2,https://api.crunchbase.com/v3.1/organizations/papr-2,"",73256
UpTech Accelerator,ireportsource,https://api.crunchbase.com/v3.1/organizations/ireportsource,"",33332
UpTech Accelerator,fanbloom,https://api.crunchbase.com/v3.1/organizations/fanbloom,"",108198
UpTech Accelerator,fanvester,https://api.crunchbase.com/v3.1/organizations/fanvester,"",125633
UpTech Accelerator,lifecycle,https://api.crunchbase.com/v3.1/organizations/lifecycle,"",58483
UpTech Accelerator,blinkit,https://api.crunchbase.com/v3.1/organizations/blinkit,"",228998
UpTech Accelerator,gamejoule,https://api.crunchbase.com/v3.1/organizations/gamejoule,"",84502
UpTech Accelerator,hive-13,https://api.crunchbase.com/v3.1/organizations/hive-13,"",171227
UpTech Accelerator,stockpilz,https://api.crunchbase.com/v3.1/organizations/stockpilz,"",117809
UpTech Accelerator,capusule,https://api.crunchbase.com/v3.1/organizations/capusule,"",184313
UpTech Accelerator,travel-notes,https://api.crunchbase.com/v3.1/organizations/travel-notes,"",79587
UpTech Accelerator,helloparent,https://api.crunchbase.com/v3.1/organizations/helloparent,"",32641
UpTech Accelerator,waygr,https://api.crunchbase.com/v3.1/organizations/waygr,"",96468
UpTech Accelerator,nekst,https://api.crunchbase.com/v3.1/organizations/nekst,"",80449
UpTech Accelerator,tixers,https://api.crunchbase.com/v3.1/organizations/tixers,"",55875
UpTech Accelerator,linked-2,https://api.crunchbase.com/v3.1/organizations/linked-2,"",117723
UpTech Accelerator,hapzing,https://api.crunchbase.com/v3.1/organizations/hapzing,"",101086
UpTech Accelerator,inteo,https://api.crunchbase.com/v3.1/organizations/inteo,"",91346
UpTech Accelerator,dr-scribbles,https://api.crunchbase.com/v3.1/organizations/dr-scribbles,"",121555
UpTech Accelerator,citilogics,https://api.crunchbase.com/v3.1/organizations/citilogics,"",89838
UpTech Accelerator,bearhug-technologies,https://api.crunchbase.com/v3.1/organizations/bearhug-technologies,"",132777
UpTech Accelerator,liquid-4,https://api.crunchbase.com/v3.1/organizations/liquid-4,"",68282
UpTech Accelerator,3dlt-com,https://api.crunchbase.com/v3.1/organizations/3dlt-com,"",73445
UpTech Accelerator,touritz,https://api.crunchbase.com/v3.1/organizations/touritz,"",103891
UpTech Accelerator,text-and-the-city,https://api.crunchbase.com/v3.1/organizations/text-and-the-city,"",205452
UpTech Accelerator,new-home-marketing-services,https://api.crunchbase.com/v3.1/organizations/new-home-marketing-services,"",98313
UpTech Accelerator,makeuphaulic,https://api.crunchbase.com/v3.1/organizations/makeuphaulic,"",119619
UpTech Accelerator,onemorepallet,https://api.crunchbase.com/v3.1/organizations/onemorepallet,"",54586
UpTech Accelerator,crowdspark,https://api.crunchbase.com/v3.1/organizations/crowdspark,"",18907
UpTech Accelerator,student-designed,https://api.crunchbase.com/v3.1/organizations/student-designed,"",176322
UpTech Accelerator,gamigen,https://api.crunchbase.com/v3.1/organizations/gamigen,"",108329
UpTech Accelerator,instrumentlife,https://api.crunchbase.com/v3.1/organizations/instrumentlife,"",109491
