Organization Name,Invested In,Api Url,Description,Rank
URBAN-X,roadbotics-inc,https://api.crunchbase.com/v3.1/organizations/roadbotics-inc,"",1274
URBAN-X,the-free-ride,https://api.crunchbase.com/v3.1/organizations/the-free-ride,"",109213
URBAN-X,toggle,https://api.crunchbase.com/v3.1/organizations/toggle,"",103444
URBAN-X,buildstream,https://api.crunchbase.com/v3.1/organizations/buildstream,"",80552
URBAN-X,greenq,https://api.crunchbase.com/v3.1/organizations/greenq,"",107380
URBAN-X,prazo,https://api.crunchbase.com/v3.1/organizations/prazo,"",26259
URBAN-X,swiftera,https://api.crunchbase.com/v3.1/organizations/swiftera,"",92197
URBAN-X,blueprint-power,https://api.crunchbase.com/v3.1/organizations/blueprint-power,"",14036
URBAN-X,locumi-labs,https://api.crunchbase.com/v3.1/organizations/locumi-labs,"",18603
URBAN-X,qucit,https://api.crunchbase.com/v3.1/organizations/qucit,"",25564
URBAN-X,park-diamond,https://api.crunchbase.com/v3.1/organizations/park-diamond,"",29604
URBAN-X,open-data-nation,https://api.crunchbase.com/v3.1/organizations/open-data-nation,"",116709
URBAN-X,rentlogic,https://api.crunchbase.com/v3.1/organizations/rentlogic,"",17041
URBAN-X,avvir,https://api.crunchbase.com/v3.1/organizations/avvir,"",1336
URBAN-X,clearroad,https://api.crunchbase.com/v3.1/organizations/clearroad,"",137651
URBAN-X,campsyte,https://api.crunchbase.com/v3.1/organizations/campsyte,"",41876
URBAN-X,sapient-industries,https://api.crunchbase.com/v3.1/organizations/sapient-industries,"",9246
URBAN-X,mesh-motors,https://api.crunchbase.com/v3.1/organizations/mesh-motors,"",92841
URBAN-X,versatile-natures,https://api.crunchbase.com/v3.1/organizations/versatile-natures,"",81058
URBAN-X,lunewave,https://api.crunchbase.com/v3.1/organizations/lunewave,"",11303
URBAN-X,sencity,https://api.crunchbase.com/v3.1/organizations/sencity,"",61161
URBAN-X,revmax-io,https://api.crunchbase.com/v3.1/organizations/revmax-io,"",65039
URBAN-X,upcycles,https://api.crunchbase.com/v3.1/organizations/upcycles,"",85243
URBAN-X,citiesense,https://api.crunchbase.com/v3.1/organizations/citiesense,"",47896
URBAN-X,envairo,https://api.crunchbase.com/v3.1/organizations/envairo,"",53838
URBAN-X,o2-o2,https://api.crunchbase.com/v3.1/organizations/o2-o2,"",68263
URBAN-X,wearworks,https://api.crunchbase.com/v3.1/organizations/wearworks,"",54531
URBAN-X,numina,https://api.crunchbase.com/v3.1/organizations/numina,"",80770
URBAN-X,farmshelf,https://api.crunchbase.com/v3.1/organizations/farmshelf,"",12283
URBAN-X,samocat,https://api.crunchbase.com/v3.1/organizations/samocat,"",50277
URBAN-X,stae,https://api.crunchbase.com/v3.1/organizations/stae,"",17470
URBAN-X,industrial-organic,https://api.crunchbase.com/v3.1/organizations/industrial-organic,"",18526
URBAN-X,brooklyness,https://api.crunchbase.com/v3.1/organizations/brooklyness,"",39019
URBAN-X,buzzware,https://api.crunchbase.com/v3.1/organizations/buzzware,"",96504
