Organization Name,Invested In,Api Url,Description,Rank
Vaizra Investments,volley-2,https://api.crunchbase.com/v3.1/organizations/volley-2,"",15384
Vaizra Investments,moovitapp,https://api.crunchbase.com/v3.1/organizations/moovitapp,"",1987
Vaizra Investments,allset,https://api.crunchbase.com/v3.1/organizations/allset,"",2382
Vaizra Investments,kettlespace,https://api.crunchbase.com/v3.1/organizations/kettlespace,"",79202
Vaizra Investments,smilo,https://api.crunchbase.com/v3.1/organizations/smilo,"",17542
Vaizra Investments,wove,https://api.crunchbase.com/v3.1/organizations/wove,"",6907
Vaizra Investments,scentbird,https://api.crunchbase.com/v3.1/organizations/scentbird,"",2802
Vaizra Investments,june,https://api.crunchbase.com/v3.1/organizations/june,"",2298
Vaizra Investments,maxwell-health,https://api.crunchbase.com/v3.1/organizations/maxwell-health,"",5174
Vaizra Investments,boxed,https://api.crunchbase.com/v3.1/organizations/boxed,"",20850
Vaizra Investments,socialrank,https://api.crunchbase.com/v3.1/organizations/socialrank,"",29618
Vaizra Investments,citus-data,https://api.crunchbase.com/v3.1/organizations/citus-data,"",8396
Vaizra Investments,casper,https://api.crunchbase.com/v3.1/organizations/casper,"",226
Vaizra Investments,bloomthat,https://api.crunchbase.com/v3.1/organizations/bloomthat,"",11039
Vaizra Investments,cymbal,https://api.crunchbase.com/v3.1/organizations/cymbal,"",48159
Vaizra Investments,robinhood,https://api.crunchbase.com/v3.1/organizations/robinhood,"",740
Vaizra Investments,life-on-air,https://api.crunchbase.com/v3.1/organizations/life-on-air,"",1049
Vaizra Investments,yik-yak,https://api.crunchbase.com/v3.1/organizations/yik-yak,"",14673
Vaizra Investments,coub,https://api.crunchbase.com/v3.1/organizations/coub,"",12059
Vaizra Investments,rebelmail,https://api.crunchbase.com/v3.1/organizations/rebelmail,"",8888
Vaizra Investments,webflow,https://api.crunchbase.com/v3.1/organizations/webflow,"",2157
Vaizra Investments,turf-geography-club,https://api.crunchbase.com/v3.1/organizations/turf-geography-club,"",157603
Vaizra Investments,macrocure,https://api.crunchbase.com/v3.1/organizations/macrocure,"",38418
Vaizra Investments,urtak,https://api.crunchbase.com/v3.1/organizations/urtak,"",96632
Vaizra Investments,law-pivot,https://api.crunchbase.com/v3.1/organizations/law-pivot,"",28926
Vaizra Investments,docracy,https://api.crunchbase.com/v3.1/organizations/docracy,"",39624
Vaizra Investments,zerocater,https://api.crunchbase.com/v3.1/organizations/zerocater,"",4461
Vaizra Investments,guestmob,https://api.crunchbase.com/v3.1/organizations/guestmob,"",83569
Vaizra Investments,primesense,https://api.crunchbase.com/v3.1/organizations/primesense,"",12361
Vaizra Investments,face-com,https://api.crunchbase.com/v3.1/organizations/face-com,"",9734
Vaizra Investments,wilocity,https://api.crunchbase.com/v3.1/organizations/wilocity,"",43144
