Organization Name,Invested In,Api Url,Description,Rank
VilCap Investments,satsure,https://api.crunchbase.com/v3.1/organizations/satsure,"",102783
VilCap Investments,mutuo-financiera,https://api.crunchbase.com/v3.1/organizations/mutuo-financiera,"",150369
VilCap Investments,tribunat,https://api.crunchbase.com/v3.1/organizations/tribunat,"",9025
VilCap Investments,global-data-consortium,https://api.crunchbase.com/v3.1/organizations/global-data-consortium,"",111179
VilCap Investments,kuli-kuli,https://api.crunchbase.com/v3.1/organizations/kuli-kuli,"",10644
VilCap Investments,siembro,https://api.crunchbase.com/v3.1/organizations/siembro,"",244119
VilCap Investments,vexi,https://api.crunchbase.com/v3.1/organizations/vexi,"",216113
VilCap Investments,advocatia-solutions,https://api.crunchbase.com/v3.1/organizations/advocatia-solutions,"",137249
VilCap Investments,vartega-carbon-fiber-recycling-llc,https://api.crunchbase.com/v3.1/organizations/vartega-carbon-fiber-recycling-llc,"",26515
VilCap Investments,wexus-technologies,https://api.crunchbase.com/v3.1/organizations/wexus-technologies,"",19922
VilCap Investments,impact-micro-ventures,https://api.crunchbase.com/v3.1/organizations/impact-micro-ventures,"",186362
VilCap Investments,vega-coffee,https://api.crunchbase.com/v3.1/organizations/vega-coffee,"",42555
VilCap Investments,nursedash,https://api.crunchbase.com/v3.1/organizations/nursedash,"",45183
VilCap Investments,youverify-ng,https://api.crunchbase.com/v3.1/organizations/youverify-ng,"",124184
VilCap Investments,gokid,https://api.crunchbase.com/v3.1/organizations/gokid,"",13796
VilCap Investments,mpokket,https://api.crunchbase.com/v3.1/organizations/mpokket,"",83070
VilCap Investments,tailored-care-enterprises,https://api.crunchbase.com/v3.1/organizations/tailored-care-enterprises,"",21968
VilCap Investments,gumption-labs,https://api.crunchbase.com/v3.1/organizations/gumption-labs,"",293270
VilCap Investments,landit,https://api.crunchbase.com/v3.1/organizations/landit,"",4802
VilCap Investments,qualified,https://api.crunchbase.com/v3.1/organizations/qualified,"",75263
VilCap Investments,paykii,https://api.crunchbase.com/v3.1/organizations/paykii,"",26120
VilCap Investments,fintual,https://api.crunchbase.com/v3.1/organizations/fintual,"",17815
VilCap Investments,upswing,https://api.crunchbase.com/v3.1/organizations/upswing,"",12521
VilCap Investments,epesos,https://api.crunchbase.com/v3.1/organizations/epesos,"",14866
VilCap Investments,finix-payments,https://api.crunchbase.com/v3.1/organizations/finix-payments,"",655
VilCap Investments,loans4sme,https://api.crunchbase.com/v3.1/organizations/loans4sme,"",155592
