Organization Name,Invested In,Api Url,Description,Rank
Village Global,bravado-network,https://api.crunchbase.com/v3.1/organizations/bravado-network,"",2125
Village Global,distru,https://api.crunchbase.com/v3.1/organizations/distru,"",7646
Village Global,try-pico,https://api.crunchbase.com/v3.1/organizations/try-pico,"",6413
Village Global,part-parcel,https://api.crunchbase.com/v3.1/organizations/part-parcel,"",11879
Village Global,airbase,https://api.crunchbase.com/v3.1/organizations/airbase,"",4709
Village Global,rocket-dollar,https://api.crunchbase.com/v3.1/organizations/rocket-dollar,"",6201
Village Global,mosaic-tech,https://api.crunchbase.com/v3.1/organizations/mosaic-tech,"",27853
Village Global,truckmap,https://api.crunchbase.com/v3.1/organizations/truckmap,"",89717
Village Global,evisort,https://api.crunchbase.com/v3.1/organizations/evisort,"",2449
Village Global,darkstore,https://api.crunchbase.com/v3.1/organizations/darkstore,"",32854
Village Global,ontic-technologies,https://api.crunchbase.com/v3.1/organizations/ontic-technologies,"",17138
Village Global,vetd,https://api.crunchbase.com/v3.1/organizations/vetd,"",29597
Village Global,synapse-technology-corporation,https://api.crunchbase.com/v3.1/organizations/synapse-technology-corporation,"",5485
Village Global,spring-discovery,https://api.crunchbase.com/v3.1/organizations/spring-discovery,"",48157
Village Global,crossbeam,https://api.crunchbase.com/v3.1/organizations/crossbeam,"",7726
Village Global,forethought-7dc2,https://api.crunchbase.com/v3.1/organizations/forethought-7dc2,"",3047
Village Global,circadia,https://api.crunchbase.com/v3.1/organizations/circadia,"",95004
Village Global,cultivate-2,https://api.crunchbase.com/v3.1/organizations/cultivate-2,"",12095
Village Global,nubundle,https://api.crunchbase.com/v3.1/organizations/nubundle,"",22541
Village Global,cybele-microbiome-inc,https://api.crunchbase.com/v3.1/organizations/cybele-microbiome-inc,"",47277
Village Global,tripscout,https://api.crunchbase.com/v3.1/organizations/tripscout,"",10343
Village Global,shipwell,https://api.crunchbase.com/v3.1/organizations/shipwell,"",4808
Village Global,addi,https://api.crunchbase.com/v3.1/organizations/addi,"",5548
Village Global,whitehat,https://api.crunchbase.com/v3.1/organizations/whitehat,"",538
Village Global,wagestream,https://api.crunchbase.com/v3.1/organizations/wagestream,"",2821
Village Global,avian-e7b8,https://api.crunchbase.com/v3.1/organizations/avian-e7b8,"",18275
Village Global,mlvx,https://api.crunchbase.com/v3.1/organizations/mlvx,"",86973
Village Global,dfinity-network,https://api.crunchbase.com/v3.1/organizations/dfinity-network,"",19708
Village Global,rdmd,https://api.crunchbase.com/v3.1/organizations/rdmd,"",10988
Village Global,tangotrade,https://api.crunchbase.com/v3.1/organizations/tangotrade,"",82737
Village Global,vantage-point-99a0,https://api.crunchbase.com/v3.1/organizations/vantage-point-99a0,"",15010
Village Global,radar-relay,https://api.crunchbase.com/v3.1/organizations/radar-relay,"",7492
Village Global,sokowatch,https://api.crunchbase.com/v3.1/organizations/sokowatch,"",7345
Village Global,kapwing,https://api.crunchbase.com/v3.1/organizations/kapwing,"",4533
Village Global,dirt-protocol,https://api.crunchbase.com/v3.1/organizations/dirt-protocol,"",20525
Village Global,obsess,https://api.crunchbase.com/v3.1/organizations/obsess,"",20810
Village Global,quit-genius-87bd,https://api.crunchbase.com/v3.1/organizations/quit-genius-87bd,"",12984
Village Global,canvas-medical,https://api.crunchbase.com/v3.1/organizations/canvas-medical,"",20815
Village Global,alembic-6007,https://api.crunchbase.com/v3.1/organizations/alembic-6007,"",23693
Village Global,verisim-life,https://api.crunchbase.com/v3.1/organizations/verisim-life,"",85035
Village Global,ephemeral-solutions,https://api.crunchbase.com/v3.1/organizations/ephemeral-solutions,"",13698
Village Global,topfunnel,https://api.crunchbase.com/v3.1/organizations/topfunnel,"",63748
