Organization Name,Invested In,Api Url,Description,Rank
Wakestream Ventures,workit-health,https://api.crunchbase.com/v3.1/organizations/workit-health,"",8871
Wakestream Ventures,jio-inc,https://api.crunchbase.com/v3.1/organizations/jio-inc,"",7900
Wakestream Ventures,shoulder-innovations,https://api.crunchbase.com/v3.1/organizations/shoulder-innovations,"",33528
Wakestream Ventures,ballotready,https://api.crunchbase.com/v3.1/organizations/ballotready,"",21036
Wakestream Ventures,inductive-intelligence,https://api.crunchbase.com/v3.1/organizations/inductive-intelligence,"",44582
Wakestream Ventures,certifid,https://api.crunchbase.com/v3.1/organizations/certifid,"",30629
Wakestream Ventures,blue-medora,https://api.crunchbase.com/v3.1/organizations/blue-medora,"",6795
Wakestream Ventures,jool-health,https://api.crunchbase.com/v3.1/organizations/jool-health,"",23472
Wakestream Ventures,work-truck-solutions,https://api.crunchbase.com/v3.1/organizations/work-truck-solutions,"",18509
Wakestream Ventures,sportsman-tracker,https://api.crunchbase.com/v3.1/organizations/sportsman-tracker,"",24540
Wakestream Ventures,haasalert,https://api.crunchbase.com/v3.1/organizations/haasalert,"",11804
Wakestream Ventures,exo-protein-bars,https://api.crunchbase.com/v3.1/organizations/exo-protein-bars,"",10335
Wakestream Ventures,magnesium-development-company,https://api.crunchbase.com/v3.1/organizations/magnesium-development-company,"",53813
Wakestream Ventures,scanalytics,https://api.crunchbase.com/v3.1/organizations/scanalytics,"",18119
Wakestream Ventures,odyssey-inc,https://api.crunchbase.com/v3.1/organizations/odyssey-inc,"",1324
Wakestream Ventures,alsentis,https://api.crunchbase.com/v3.1/organizations/alsentis,"",64680
Wakestream Ventures,varsity-news-network,https://api.crunchbase.com/v3.1/organizations/varsity-news-network,"",10441
Wakestream Ventures,smartroost,https://api.crunchbase.com/v3.1/organizations/smartroost,"",7846
Wakestream Ventures,benefit-mobile-inc,https://api.crunchbase.com/v3.1/organizations/benefit-mobile-inc,"",34777
Wakestream Ventures,fluency-2,https://api.crunchbase.com/v3.1/organizations/fluency-2,"",308052
Wakestream Ventures,nitrocell-biosciences,https://api.crunchbase.com/v3.1/organizations/nitrocell-biosciences,"",10287
Wakestream Ventures,roomations,https://api.crunchbase.com/v3.1/organizations/roomations,"",101213
Wakestream Ventures,adadapted,https://api.crunchbase.com/v3.1/organizations/adadapted,"",32868
Wakestream Ventures,modalyst,https://api.crunchbase.com/v3.1/organizations/modalyst,"",94206
Wakestream Ventures,birdhouse-for-autism,https://api.crunchbase.com/v3.1/organizations/birdhouse-for-autism,"",49921
Wakestream Ventures,britehub,https://api.crunchbase.com/v3.1/organizations/britehub,"",31142
Wakestream Ventures,silikids,https://api.crunchbase.com/v3.1/organizations/silikids,"",90779
Wakestream Ventures,sols,https://api.crunchbase.com/v3.1/organizations/sols,"",13902
Wakestream Ventures,corkcrm,https://api.crunchbase.com/v3.1/organizations/corkcrm,"",89082
Wakestream Ventures,surgeryedu,https://api.crunchbase.com/v3.1/organizations/surgeryedu,"",171619
Wakestream Ventures,greenlancer,https://api.crunchbase.com/v3.1/organizations/greenlancer,"",34031
Wakestream Ventures,ginkgotree,https://api.crunchbase.com/v3.1/organizations/ginkgotree,"",47134
Wakestream Ventures,chalkfly,https://api.crunchbase.com/v3.1/organizations/chalkfly,"",58640
Wakestream Ventures,local-orbit,https://api.crunchbase.com/v3.1/organizations/local-orbit,"",148807
Wakestream Ventures,exo-platform,https://api.crunchbase.com/v3.1/organizations/exo-platform,"",27552
