Organization Name,Invested In,Api Url,Description,Rank
Washington Research Foundation.,mdmetrix,https://api.crunchbase.com/v3.1/organizations/mdmetrix,"",24301
Washington Research Foundation.,absci,https://api.crunchbase.com/v3.1/organizations/absci,"",19300
Washington Research Foundation.,phase-genomics,https://api.crunchbase.com/v3.1/organizations/phase-genomics,"",35213
Washington Research Foundation.,phytelligence,https://api.crunchbase.com/v3.1/organizations/phytelligence,"",23118
Washington Research Foundation.,rodeo-therapeutics,https://api.crunchbase.com/v3.1/organizations/rodeo-therapeutics,"",26502
Washington Research Foundation.,arzeda,https://api.crunchbase.com/v3.1/organizations/arzeda,"",10147
Washington Research Foundation.,wibotic-corp,https://api.crunchbase.com/v3.1/organizations/wibotic-corp,"",19255
Washington Research Foundation.,hypersciences,https://api.crunchbase.com/v3.1/organizations/hypersciences,"",11551
Washington Research Foundation.,apogen-biotechnologies,https://api.crunchbase.com/v3.1/organizations/apogen-biotechnologies,"",25736
Washington Research Foundation.,nexgenia,https://api.crunchbase.com/v3.1/organizations/nexgenia,"",55350
Washington Research Foundation.,aavogen,https://api.crunchbase.com/v3.1/organizations/aavogen,"",57088
Washington Research Foundation.,answerdash,https://api.crunchbase.com/v3.1/organizations/answerdash,"",22530
Washington Research Foundation.,faraday-pharmaceuticals,https://api.crunchbase.com/v3.1/organizations/faraday-pharmaceuticals,"",25524
Washington Research Foundation.,csats,https://api.crunchbase.com/v3.1/organizations/csats,"",22500
Washington Research Foundation.,cardeas-pharma,https://api.crunchbase.com/v3.1/organizations/cardeas-pharma,"",35814
Washington Research Foundation.,flexminder,https://api.crunchbase.com/v3.1/organizations/flexminder,"",48676
Washington Research Foundation.,skytap,https://api.crunchbase.com/v3.1/organizations/skytap,"",4914
Washington Research Foundation.,resolve-therapeutics,https://api.crunchbase.com/v3.1/organizations/resolve-therapeutics,"",51693
Washington Research Foundation.,alder-biopharmaceuticals,https://api.crunchbase.com/v3.1/organizations/alder-biopharmaceuticals,"",7380
Washington Research Foundation.,uptake-medical,https://api.crunchbase.com/v3.1/organizations/uptake-medical,"",35977
Washington Research Foundation.,groove-biopharma,https://api.crunchbase.com/v3.1/organizations/groove-biopharma,"",55849
Washington Research Foundation.,oncofactor-corporation,https://api.crunchbase.com/v3.1/organizations/oncofactor-corporation,"",71964
Washington Research Foundation.,mirador-biomedical,https://api.crunchbase.com/v3.1/organizations/mirador-biomedical,"",63928
Washington Research Foundation.,physware,https://api.crunchbase.com/v3.1/organizations/physware,"",48214
Washington Research Foundation.,petravm,https://api.crunchbase.com/v3.1/organizations/petravm,"",59255
Washington Research Foundation.,globeimmune,https://api.crunchbase.com/v3.1/organizations/globeimmune,"",30888
Washington Research Foundation.,hyperion,https://api.crunchbase.com/v3.1/organizations/hyperion,"",21189
Washington Research Foundation.,accelerator-corp,https://api.crunchbase.com/v3.1/organizations/accelerator-corp,"",102817
Washington Research Foundation.,halosource,https://api.crunchbase.com/v3.1/organizations/halosource,"",25434
Washington Research Foundation.,omeros,https://api.crunchbase.com/v3.1/organizations/omeros,"",7491
Washington Research Foundation.,targeted-growth,https://api.crunchbase.com/v3.1/organizations/targeted-growth,"",56299
Washington Research Foundation.,farecast,https://api.crunchbase.com/v3.1/organizations/farecast,"",69095
Washington Research Foundation.,vlst-corporation,https://api.crunchbase.com/v3.1/organizations/vlst-corporation,"",196608
Washington Research Foundation.,teranode,https://api.crunchbase.com/v3.1/organizations/teranode,"",90786
Washington Research Foundation.,vanson-halosource,https://api.crunchbase.com/v3.1/organizations/vanson-halosource,"",322930
Washington Research Foundation.,triphub,https://api.crunchbase.com/v3.1/organizations/triphub,"",341518
